GLITTER4.4.4: Laser Ablation Analysis Results

\\shares.ad.jcu.edu.au\ri\AAC_General\ICP\TraceCassiterite_Jason23-11-17.msws Iso.prn
Created: Thu Nov 23 18:08:01 2017

All values are reported in ppm

GLITTER!: Trace Element Concentrations MDL filtered.
Element,NIST612-1,NIST612-2,NIST612-3,NIST610-1,NIST610-2,NIST610-3,Bischoff_2a_T1,Bischoff_2a_T2,Bischoff_2a_T3,Bischoff_2a_T4,Bischoff_2a_T5,Bischoff_2a_P1,Bischoff_2a_P2,Bischoff_2a_P3,Bischoff_2a_P4,Bischoff_2a_P5,Bischoff_2a_P6,Bischoff_2a_P7,Bischoff_2a_P8,Bischoff_2a_P9,Bischoff_2a_P10,Bischoff_2a_P11,Bischoff_2a_P12,Bischoff_2a_P13,Bischoff_2a_P14,Bischoff_2a_P15,Bischoff_2a_P16,Bischoff_2a_P17,Bischoff_2a_P18,NIST612-4,NIST612-5,NIST612-6,NIST610-4,NIST610-5,NIST610-6
Mo97,1.60,1.60,1.54,15.79,15.52,15.54,0.028,<0.00,0.032,0.023,0.27,0.046,0.051,0.051,0.047,0.014,0.042,0.021,0.039,0.040,0.054,0.040,0.039,<0.00,0.056,0.030,0.045,0.059,0.030,1.72,1.49,1.71,17.53,17.28,17.36
In115,1.46,1.46,1.39,15.01,15.10,15.08,134.69,153.40,136.02,137.26,131.28,137.86,138.46,139.09,137.68,136.34,136.35,138.71,142.23,140.44,140.13,138.40,142.29,147.01,135.34,135.61,134.99,150.76,138.17,1.53,1.34,1.52,15.96,15.78,15.83
Sn119,1.28,1.27,1.26,12.58,12.58,12.58,24907.92,24908.82,24911.02,24910.86,24910.60,24907.83,24907.82,24907.82,24907.82,24907.83,24907.83,24907.83,24908.02,24907.83,24907.84,24907.83,24907.83,24908.37,24907.86,24907.83,24907.83,24908.27,24907.84,1.26,1.23,1.25,12.58,12.58,12.58
Sn118,1.29,1.30,1.23,12.78,12.82,12.81,26199.83,29378.83,25984.21,29465.41,28683.24,26722.82,26389.05,26125.22,25894.03,26578.58,26547.28,26866.70,26663.84,27031.72,27095.04,27251.24,26645.54,28457.36,26948.00,27126.31,26136.89,26954.42,27020.53,1.29,1.15,1.28,13.09,12.97,13.04
Sb121,1.33,1.34,1.27,13.74,13.90,13.90,0.42,0.51,0.31,0.26,0.71,0.16,0.70,0.56,0.40,0.052,0.20,0.20,0.071,0.24,0.47,0.57,0.37,0.093,0.061,0.094,0.11,0.11,0.062,1.36,1.21,1.35,14.27,14.19,14.28
Cs133,1.50,1.52,1.45,11.49,11.58,11.58,0.0069,0.018,0.030,0.025,0.023,0.0070,0.0059,0.0054,0.0051,0.0048,0.0049,0.0053,0.0083,0.0068,0.0057,0.0053,0.0062,0.010,0.0054,0.0058,0.0046,0.011,0.0058,1.50,1.34,1.53,11.83,11.76,11.87
La139,1.43,1.45,1.39,14.74,14.91,14.82,0.0023,0.0056,0.0021,0.016,0.00084,0.0020,0.0025,0.0018,0.0020,0.0019,0.0023,0.0024,0.0017,0.0030,0.0022,0.0027,0.0017,0.0011,0.0030,0.0022,0.0011,0.0028,0.0011,1.40,1.24,1.41,15.30,15.21,15.28
Ce140,1.38,1.43,1.35,14.20,14.32,14.29,0.0070,0.015,0.027,0.026,0.0022,0.0049,0.0043,0.0047,0.0048,0.0038,0.0055,0.0047,0.0076,0.0044,0.0044,0.0036,0.0039,0.011,0.0071,0.0047,0.0054,0.010,0.0043,1.39,1.24,1.43,14.67,14.57,14.70
Nd143,1.32,1.36,1.29,13.69,13.89,13.80,0.013,<0.00,0.0077,0.0055,<0.00,0.012,0.0080,0.0067,0.0093,0.011,0.0096,0.0094,0.010,0.0048,0.011,0.0097,0.0067,0.0096,0.016,0.015,0.0050,0.022,0.0049,1.31,1.16,1.35,14.36,14.30,14.45
Sm147,1.43,1.46,1.39,14.62,14.84,14.91,0.010,0.0045,0.0064,0.0045,0.076,0.0098,0.0093,0.014,0.0082,0.0039,0.0074,0.015,0.011,<0.00,0.012,0.0088,0.014,0.019,0.013,0.0069,0.0058,0.015,0.0091,1.45,1.30,1.50,15.83,15.80,16.06
Eu151,1.41,1.46,1.39,15.28,15.66,15.62,0.0024,<0.00,0.0019,0.0024,0.023,0.0024,0.0026,0.0012,0.0037,0.0025,0.0021,0.0022,0.0042,0.0025,0.0038,0.0029,0.0022,0.0017,0.0027,0.0025,0.0018,<0.00,0.0040,1.50,1.36,1.56,17.26,17.22,17.53
Gd157,1.46,1.47,1.39,14.37,14.60,14.61,0.12,0.27,0.31,0.35,0.37,0.100,0.11,0.11,0.11,0.11,0.11,0.12,0.14,0.11,0.12,0.12,0.12,0.20,0.12,0.12,0.12,0.15,0.11,1.48,1.27,1.48,15.43,15.45,15.69
Tb159,1.46,1.49,1.40,14.36,14.62,14.59,0.020,0.037,0.053,0.058,0.042,0.018,0.018,0.019,0.018,0.020,0.018,0.019,0.023,0.018,0.018,0.018,0.018,0.026,0.020,0.019,0.019,0.026,0.018,1.47,1.32,1.51,15.61,15.61,15.89
Dy163,1.33,1.34,1.28,13.62,13.78,13.79,0.0050,0.017,0.0036,<0.00,0.043,0.0051,0.0048,0.0074,0.0076,0.0040,0.0074,0.0050,0.0060,0.0059,<0.00,0.0039,0.0044,<0.00,<0.00,0.0051,0.0033,0.010,0.0046,1.31,1.17,1.35,14.36,14.37,14.58
Er167,1.39,1.38,1.31,13.49,13.64,13.67,0.0054,<0.00,0.051,0.0060,0.045,0.0053,0.0063,0.0046,0.0057,0.0062,0.0033,0.0066,0.0081,0.0080,0.0052,0.0057,0.0064,<0.00,0.0083,0.0071,0.0079,0.013,0.0048,1.31,1.19,1.36,14.15,14.14,14.33
Hf178,1.41,1.42,1.35,13.95,14.11,14.18,0.24,0.42,0.60,0.39,0.32,0.14,0.15,0.20,0.30,0.11,0.15,0.11,0.39,0.19,0.25,0.32,0.50,0.35,0.26,0.18,0.16,0.63,0.14,1.40,1.27,1.45,15.04,14.96,15.24
Ta181,1.41,1.44,1.37,14.60,14.75,14.76,0.0073,0.0074,0.021,0.00078,0.0013,0.0012,0.0016,0.0015,0.0016,0.00068,0.0014,0.0012,0.0026,<0.00,0.0015,0.0018,0.0028,0.011,0.0079,0.0046,0.00071,0.0037,0.013,1.42,1.29,1.47,15.31,15.25,15.48
W183,1.45,1.44,1.37,14.50,14.57,14.60,47.80,26.50,7.33,387.49,14.77,3.74,31.45,23.40,9.22,0.58,307.52,144.35,6.95,6.16,10.80,16.28,15.29,97.22,114.37,284.89,369.82,415.89,122.99,1.42,1.28,1.47,14.74,14.66,14.75
Pb206,1.33,1.36,1.29,13.69,13.71,13.74,0.066,0.30,0.40,0.20,0.19,0.029,0.056,0.055,0.049,0.026,0.043,0.042,0.037,0.028,0.040,0.047,0.046,0.22,0.029,0.041,0.045,0.13,0.027,1.42,1.29,1.44,14.17,14.02,14.16
U238,1.50,1.52,1.46,15.97,16.44,16.44,0.12,0.13,0.049,0.12,0.19,0.026,0.16,0.15,0.11,0.0075,0.088,0.069,0.013,0.041,0.079,0.11,0.092,0.039,0.034,0.068,0.097,0.11,0.027,1.64,1.56,1.78,18.85,19.08,19.55
Tc97,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00
Sn115,1.20,1.20,1.14,12.26,12.33,12.31,109.88,125.16,111.00,112.01,107.15,112.49,113.00,113.53,112.39,111.31,111.35,113.30,116.21,114.77,114.56,113.17,116.39,120.30,110.79,111.05,110.59,123.57,113.29,1.26,1.10,1.25,13.12,12.97,13.02
Pm147,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00
Pu238,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00

GLITTER!: Minimum detection limits (99% confidence).
Element,NIST612-1,NIST612-2,NIST612-3,NIST610-1,NIST610-2,NIST610-3,Bischoff_2a_T1,Bischoff_2a_T2,Bischoff_2a_T3,Bischoff_2a_T4,Bischoff_2a_T5,Bischoff_2a_P1,Bischoff_2a_P2,Bischoff_2a_P3,Bischoff_2a_P4,Bischoff_2a_P5,Bischoff_2a_P6,Bischoff_2a_P7,Bischoff_2a_P8,Bischoff_2a_P9,Bischoff_2a_P10,Bischoff_2a_P11,Bischoff_2a_P12,Bischoff_2a_P13,Bischoff_2a_P14,Bischoff_2a_P15,Bischoff_2a_P16,Bischoff_2a_P17,Bischoff_2a_P18,NIST612-4,NIST612-5,NIST612-6,NIST610-4,NIST610-5,NIST610-6
Li7,0.337,0.308,0.331,0.293,0.308,0.295,0.872,0.606,0.884,0.780,0.720,0.961,0.969,0.903,0.998,0.898,1.02,1.03,0.887,1.04,1.05,0.988,1.03,0.808,1.07,1.00,1.07,0.829,1.01,0.229,0.192,0.214,0.373,0.356,0.360
Al27,1.16,1.09,1.16,1.05,1.08,1.05,2.95,2.04,3.22,2.59,2.46,3.20,3.13,3.19,3.30,3.29,3.43,3.45,2.89,3.52,3.48,3.24,3.31,2.62,3.41,3.37,3.58,2.56,3.33,0.766,0.636,0.733,1.16,1.18,1.19
Si29,1091.43,948.77,899.73,962.41,963.45,859.77,2684.02,1707.23,2943.54,2378.50,2379.81,2757.20,2683.02,2604.66,2660.52,2517.25,2925.46,2863.95,2275.11,2792.01,2726.88,2904.65,2649.00,2149.57,2858.12,2763.16,2823.34,2252.82,2779.83,787.75,588.21,662.92,1125.22,1052.79,1111.59
S33,15.49,13.65,14.03,13.35,12.63,11.81,40.56,28.12,44.37,35.12,33.68,44.30,41.45,40.74,42.49,41.40,43.34,43.55,36.60,42.69,42.85,40.83,41.61,32.22,42.33,40.28,42.48,33.57,40.07,10.86,7.70,8.83,15.44,13.53,13.31
Ca44,13.67,12.56,12.85,12.22,11.95,11.51,36.34,24.62,39.31,31.01,29.86,39.14,37.48,35.79,36.87,36.00,38.05,38.63,31.89,39.09,38.03,35.90,37.53,29.73,39.00,36.63,38.89,30.02,35.72,9.85,7.55,8.59,14.67,13.34,13.06
Sc45,0.154,0.143,0.149,0.143,0.141,0.137,0.397,0.273,0.441,0.359,0.354,0.431,0.420,0.444,0.436,0.440,0.459,0.464,0.394,0.462,0.480,0.426,0.449,0.348,0.456,0.451,0.488,0.362,0.447,0.111,0.0837,0.0976,0.155,0.157,0.159
Ti49,0.229,0.183,0.259,0.217,0.136,0.243,0.571,0.430,0.810,0.575,0.380,0.670,0.627,0.653,0.758,0.610,0.845,1.00,0.836,0.683,0.837,0.721,0.769,0.344,0.584,1.03,1.07,0.581,0.770,0.134,0.172,0.169,0.262,0.283,0.202
V51,0.0312,0.0317,0.0297,0.0343,0.0298,0.0340,0.0844,0.0502,0.101,0.0661,0.0631,0.119,0.0752,0.0988,0.110,0.0991,0.119,0.0869,0.0806,0.113,0.133,0.0855,0.0864,0.0820,0.0819,0.105,0.0985,0.0891,0.0815,0.0207,0.0201,0.0249,0.0371,0.0423,0.0470
Cr52,1.57,1.42,1.48,1.39,1.37,1.31,4.15,2.80,4.41,3.56,3.37,4.49,4.19,4.18,4.26,4.16,4.35,4.41,3.71,4.33,4.33,4.03,4.18,3.31,4.32,4.16,4.41,3.33,4.06,1.11,0.821,0.931,1.54,1.46,1.43
Cr53,1.64,1.54,1.58,1.47,1.42,1.40,4.22,2.97,4.57,3.81,3.61,4.64,4.54,4.55,4.77,4.59,4.70,4.54,3.95,4.94,4.74,4.57,4.58,3.71,4.88,4.72,4.78,3.83,4.57,1.22,0.919,1.02,1.74,1.66,1.70
Mn55,0.305,0.274,0.281,0.266,0.266,0.252,0.772,0.519,0.818,0.655,0.631,0.821,0.776,0.758,0.782,0.765,0.783,0.817,0.688,0.799,0.805,0.750,0.780,0.616,0.816,0.778,0.832,0.626,0.746,0.209,0.155,0.183,0.293,0.273,0.274
Fe57,6.32,5.69,5.95,5.67,5.49,5.40,16.32,10.99,17.40,14.19,13.49,17.52,16.23,16.32,17.15,16.89,17.32,17.58,15.52,19.20,18.76,16.50,17.12,13.31,19.05,17.57,18.98,13.97,16.73,4.40,3.47,3.98,6.49,6.43,6.51
Co59,0.0905,0.0881,0.0880,0.0879,0.0812,0.0867,0.239,0.162,0.277,0.213,0.212,0.276,0.278,0.263,0.276,0.280,0.297,0.315,0.238,0.326,0.292,0.273,0.286,0.233,0.310,0.285,0.314,0.239,0.276,0.0713,0.0568,0.0651,0.0982,0.106,0.113
Ni60,1.43,1.30,1.38,1.28,1.27,1.28,3.66,2.56,3.96,3.23,3.07,4.15,3.92,4.07,4.17,4.24,4.24,4.46,3.57,4.26,4.51,4.17,4.24,3.33,4.45,4.36,4.56,3.42,4.39,1.02,0.847,0.942,1.56,1.54,1.48
Cu65,0.681,0.690,0.696,0.635,0.647,0.612,1.85,1.28,2.04,1.61,1.62,2.04,1.99,2.04,2.08,2.04,2.25,2.33,1.88,2.35,2.20,2.09,2.16,1.74,2.38,2.21,2.36,1.73,2.21,0.518,0.417,0.452,0.796,0.784,0.776
Zn66,0.247,0.202,0.219,0.209,0.208,0.230,0.668,0.459,0.679,0.572,0.527,0.689,0.740,0.737,0.862,0.882,0.818,0.826,0.585,0.866,0.781,0.766,0.845,0.581,0.818,0.785,0.691,0.687,0.744,0.170,0.138,0.161,0.293,0.286,0.296
Ga71,0.0508,0.0428,0.0474,0.0428,0.0429,0.0444,0.123,0.0922,0.153,0.114,0.0931,0.128,0.104,0.117,0.144,0.145,0.132,0.147,0.105,0.162,0.140,0.129,0.141,0.115,0.147,0.128,0.189,0.0949,0.144,0.0258,0.0256,0.0363,0.0492,0.0515,0.0489
Ge72,0.362,0.354,0.369,0.343,0.346,0.336,1.01,0.680,1.09,0.896,0.845,1.16,1.05,1.08,1.08,1.04,1.13,1.14,0.962,1.10,1.11,1.04,1.11,0.887,1.17,1.11,1.23,0.914,1.09,0.289,0.221,0.255,0.406,0.411,0.411
As75,0.247,0.220,0.216,0.213,0.210,0.225,0.639,0.453,0.690,0.517,0.506,0.732,0.612,0.632,0.625,0.663,0.667,0.667,0.633,0.763,0.654,0.726,0.662,0.533,0.717,0.692,0.654,0.523,0.676,0.153,0.136,0.144,0.270,0.275,0.216
Rb85,0.0134,0.0135,0.0126,0.0138,0.0149,0.0119,0.0453,0.0244,0.0381,0.0364,0.0315,0.0380,0.0479,0.0323,0.0342,0.0362,0.0391,0.0541,0.0343,0.0455,0.0405,0.0441,0.0371,0.0315,0.0385,0.0403,0.0475,0.0371,0.0417,0.0137,0.00806,0.0107,0.0151,0.0233,0.0209
Sr88,0.00373,0.00337,0.00199,0.00525,0.00380,0.0107,0.0109,0.00928,0.0159,0.0122,0.00791,0.00719,0.0134,0.0156,0.0105,0.0103,0.00761,0.0112,0.0109,0.0115,0.00810,0.00697,0.00742,0.00994,0.0112,0.0164,0.0168,0.00609,0.0147,0.00256,0.00513,0.00161,0.00386,0.0157,0.0189
Y89,0.00237,0.00303,<0.00000,0.00289,0.00295,0.00728,0.0116,0.00416,0.0101,0.00716,0.00818,0.0112,0.0134,0.0140,0.00661,0.00650,0.00962,0.0142,0.00560,0.0102,<0.00000,0.0108,0.00934,0.00723,0.0142,<0.00000,0.0167,0.00938,0.0113,0.00279,0.00399,0.00202,0.00419,0.0141,0.0144
Zr90,0.00877,0.00856,0.00764,0.00874,0.00893,0.0134,0.0210,0.0178,0.0306,0.0251,0.0152,0.0239,0.0223,0.0190,0.0402,0.0342,0.0327,0.0341,0.0295,0.0348,0.0561,0.0299,0.0285,0.0220,0.0153,0.0315,0.0511,0.0203,0.0245,0.00492,0.00610,0.00756,0.00741,0.0200,0.0194
Nb93,0.00291,0.00322,0.00220,0.00205,0.00420,0.00848,0.00764,<0.00000,0.0102,<0.00000,0.00716,0.0113,0.0105,<0.00000,0.00821,0.00808,0.00846,<0.00000,0.00698,0.00901,0.0128,0.00776,0.00826,0.0111,0.0154,0.00818,0.0133,<0.00000,<0.00000,0.00202,0.00356,0.00180,<0.00000,0.0157,0.0174
Mo97,0.0299,0.0331,<0.00000,0.0422,0.0374,0.0366,0.0555,<0.00000,0.105,0.0743,0.0736,0.116,0.133,0.138,0.146,<0.00000,0.0869,<0.00000,0.0718,0.131,0.161,0.113,0.0849,<0.00000,0.158,0.0841,0.136,0.0699,<0.00000,0.0208,<0.00000,0.0320,0.0314,0.0619,0.0440
In115,0.00353,<0.00000,<0.00000,0.00274,0.00162,0.00760,0.0172,0.00561,<0.00000,0.0268,0.0283,0.00618,0.0183,0.0687,0.0482,0.0857,0.0411,0.0664,0.0308,0.0955,0.0852,0.0379,0.0348,0.0201,0.0287,0.0920,0.123,0.0441,0.0670,0.00319,0.00307,0.00284,0.00341,0.0128,0.0150
Sn119,0.0935,0.0735,0.0546,0.0606,0.0620,0.0569,0.548,0.238,0.234,0.647,0.929,0.260,0.610,2.67,2.12,3.47,2.09,2.87,1.42,3.58,3.26,1.40,1.35,1.27,2.36,4.02,6.44,1.71,3.07,0.0605,0.0475,0.0453,0.0746,0.0781,0.0926
Sn118,0.0630,0.0433,0.0365,0.0348,0.0407,0.0388,0.262,0.107,0.151,0.206,0.701,0.154,0.298,1.76,1.31,2.20,1.39,1.88,0.552,2.00,2.24,1.05,0.801,0.841,0.763,2.12,3.48,1.21,1.81,0.0444,0.0276,0.0297,0.0540,0.0471,0.0409
Sb121,0.0126,0.0114,0.0112,0.0105,0.0177,0.0178,0.0314,0.0173,0.0420,0.0358,0.0241,0.0310,0.0355,0.0501,0.0320,0.0417,0.0404,0.0422,0.0236,0.0528,0.0305,0.0401,0.0485,0.0250,0.0301,0.0227,0.0319,0.0298,0.0161,0.00973,0.00987,0.0117,0.0134,0.0330,0.0372
Cs133,0.00228,0.00291,0.00287,0.00227,0.00254,0.00567,0.00655,0.00359,0.00713,0.00506,0.00501,0.00789,0.00737,0.00858,0.00575,0.00400,0.00418,0.00758,0.00691,0.0141,0.00773,0.00543,0.0100,<0.00000,0.00760,0.00991,0.00465,0.00673,0.00705,0.00173,0.00343,0.00236,0.00338,0.00989,0.00971
La139,0.00111,0.00174,<0.00000,0.00157,0.00160,0.00638,0.00505,<0.00000,0.00673,0.00389,0.00272,0.00429,0.00400,0.00417,0.00441,0.00434,0.00454,0.00474,<0.00000,0.00682,<0.00000,0.00587,<0.00000,0.00341,0.00473,0.00436,<0.00000,<0.00000,<0.00000,<0.00000,0.00224,0.00135,0.00229,0.0115,0.0120
Ce140,0.00107,0.00096,<0.00000,0.00150,0.00243,0.0186,0.00484,0.00266,0.00645,0.00264,0.00692,<0.00000,0.00384,0.00400,0.00734,0.00417,0.00872,0.00644,0.00360,0.00656,0.00656,<0.00000,<0.00000,<0.00000,<0.00000,<0.00000,<0.00000,0.00350,0.00422,0.00104,0.00283,0.00092,<0.00000,0.0113,0.0129
Nd143,0.00716,0.00647,0.00763,<0.00000,0.0103,0.0143,<0.00000,<0.00000,0.0249,0.0177,<0.00000,0.0276,<0.00000,<0.00000,<0.00000,0.0278,<0.00000,0.0304,0.0340,<0.00000,0.0310,<0.00000,<0.00000,0.0310,0.0429,0.0485,<0.00000,0.0403,<0.00000,0.00691,0.00543,<0.00000,0.0104,0.0178,0.0326
Sm147,<0.00000,0.00761,0.00897,0.0103,0.00855,0.0168,0.0269,0.0148,0.0207,0.0147,0.0145,0.0228,0.0213,0.0443,0.0234,<0.00000,0.0241,0.0435,0.0198,<0.00000,0.0255,0.0220,0.0467,0.0255,0.0250,<0.00000,<0.00000,<0.00000,0.0231,0.0114,0.00446,0.00713,<0.00000,0.0266,0.0268
Eu151,<0.00000,<0.00000,0.00274,0.00313,0.00369,0.00700,0.00474,<0.00000,0.00631,0.00775,<0.00000,<0.00000,0.00650,<0.00000,0.0101,0.00703,<0.00000,<0.00000,0.00606,<0.00000,0.0110,0.00672,0.00714,0.00552,0.00765,<0.00000,<0.00000,<0.00000,0.0123,0.00246,0.00273,<0.00000,0.00453,0.0106,0.0147
Gd157,0.0101,0.00909,0.00875,0.00578,0.00834,0.0141,0.0152,<0.00000,0.0349,0.0202,0.0245,0.0385,<0.00000,0.0305,0.0228,<0.00000,0.0234,0.0346,0.0193,0.0249,<0.00000,0.0370,0.0322,0.0176,0.0422,0.0224,0.0364,0.0263,0.0225,0.00957,0.00751,0.00849,0.0166,0.0183,0.0319
Tb159,<0.00000,<0.00000,0.00091,0.00085,0.00214,0.00452,0.00224,0.00213,0.00422,0.00211,0.00209,0.00329,0.00307,0.00319,<0.00000,<0.00000,<0.00000,0.00513,0.00286,0.00522,0.00369,0.00317,<0.00000,0.00261,0.00361,<0.00000,<0.00000,<0.00000,<0.00000,<0.00000,0.00170,0.00103,<0.00000,0.00918,0.00947
Dy163,0.00338,0.00683,0.00806,0.00336,0.00595,0.0106,<0.00000,0.0119,0.0117,<0.00000,0.0143,0.0130,0.0121,0.0218,0.0188,0.0131,0.0193,0.0143,0.0195,0.0145,<0.00000,<0.00000,<0.00000,<0.00000,<0.00000,0.0131,<0.00000,0.0188,<0.00000,0.00322,0.00253,0.00286,0.00485,0.0172,0.0173
Er167,0.00494,0.00316,0.00372,<0.00000,0.00615,0.00983,0.0129,<0.00000,0.0121,0.0192,0.0147,0.0134,0.0177,<0.00000,0.0137,0.0135,<0.00000,0.0147,0.0116,0.0212,0.0150,0.0129,0.0194,<0.00000,0.0207,0.0135,0.0219,0.0112,0.0135,0.00576,0.00261,0.00418,<0.00000,0.0156,0.0172
Hf178,0.00531,0.00479,<0.00000,<0.00000,0.00311,0.00860,0.0159,<0.00000,<0.00000,0.00751,0.0129,<0.00000,0.0218,0.0113,0.0120,0.0235,0.0174,<0.00000,0.0101,<0.00000,0.0130,0.0194,0.0119,0.00919,0.0127,0.0117,<0.00000,0.00972,<0.00000,0.00407,0.00391,<0.00000,0.00612,0.0165,0.0201
Ta181,0.00231,0.00162,0.00110,0.00178,0.00210,0.00504,0.00539,0.00256,0.00507,0.00254,0.00436,<0.00000,0.00522,0.00384,0.00406,<0.00000,<0.00000,<0.00000,0.00486,<0.00000,0.00443,0.00538,0.00809,0.00542,<0.00000,0.00691,<0.00000,<0.00000,0.00400,0.00098,0.00204,0.00151,0.00148,0.0104,0.0106
W183,0.0126,0.0161,<0.00000,0.00885,0.0222,0.0198,0.0403,0.0221,0.0438,0.0310,0.0486,0.0592,0.0451,0.0664,0.0609,0.0691,0.0361,0.239,0.0516,0.0666,0.0384,0.0739,0.0703,0.0385,0.0842,0.190,0.429,0.166,0.304,0.0121,<0.00000,0.00761,0.0129,0.0360,0.0338
Pb206,0.0195,0.0163,0.0209,0.0488,0.0214,0.0210,0.0399,0.0309,0.0307,0.0378,0.0445,0.0589,0.0503,0.0497,0.0464,0.0546,0.0543,0.0655,0.0448,0.0473,0.0546,0.0552,0.0588,0.0434,0.0466,0.0582,0.0534,0.0439,0.0530,0.00754,0.00838,0.0122,0.0186,0.0337,0.0299
U238,<0.00000,0.00112,0.00162,<0.00000,0.00126,0.00462,0.00229,<0.00000,0.00432,0.00306,0.00303,0.00337,0.00314,0.00327,0.00599,0.00680,0.00795,0.00371,0.00293,<0.00000,0.00378,0.00325,0.00489,0.00463,0.00370,0.00483,0.00391,0.00283,0.00342,0.00084,0.00209,0.00106,0.00179,0.0103,0.0111
Tc97,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00
Sn115,0.00317,<0.00000,<0.00000,0.00246,0.00145,0.00683,0.0154,0.00504,<0.00000,0.0241,0.0254,0.00555,0.0164,0.0617,0.0433,0.0770,0.0369,0.0597,0.0277,0.0857,0.0765,0.0341,0.0313,0.0180,0.0258,0.0826,0.111,0.0396,0.0602,0.00287,0.00276,0.00255,0.00307,0.0115,0.0135
Pm147,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00
Pu238,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00,<0.00

GLITTER!: Trace element concentrations normalised to chondrite.
Element,NIST612-1,NIST612-2,NIST612-3,NIST610-1,NIST610-2,NIST610-3,Bischoff_2a_T1,Bischoff_2a_T2,Bischoff_2a_T3,Bischoff_2a_T4,Bischoff_2a_T5,Bischoff_2a_P1,Bischoff_2a_P2,Bischoff_2a_P3,Bischoff_2a_P4,Bischoff_2a_P5,Bischoff_2a_P6,Bischoff_2a_P7,Bischoff_2a_P8,Bischoff_2a_P9,Bischoff_2a_P10,Bischoff_2a_P11,Bischoff_2a_P12,Bischoff_2a_P13,Bischoff_2a_P14,Bischoff_2a_P15,Bischoff_2a_P16,Bischoff_2a_P17,Bischoff_2a_P18,NIST612-4,NIST612-5,NIST612-6,NIST610-4,NIST610-5,NIST610-6
Li7,20.20,20.03,18.55,206.45,201.19,198.20,0.00,0.00,1.76,0.00,3.80,0.00,0.00,0.00,0.00,0.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.36,18.31,19.70,209.68,198.95,198.83
Al27,1.08,1.07,0.99,0.86,0.83,0.82,0.0145,0.0187,0.176,0.00217,0.342,0.00495,0.0140,0.0156,0.0138,0.00087,0.0082,0.0089,0.00115,0.00263,0.00530,0.0065,0.00605,0.00211,0.00094,0.00077,0.00161,0.0077,0.00000,0.86,0.496,0.78,0.87,0.83,0.82
Si29,2.48,2.45,2.30,2.12,2.03,1.98,0.00,0.01,0.05,0.02,0.06,0.000,0.00,0.00,0.00,0.000,0.00,0.000,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0.02,0.00,2.71,2.30,2.48,2.17,2.01,1.98
S33,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
Ca44,7.63,7.50,6.97,6.29,6.07,5.90,0.0000,0.0000,0.0065,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.75,6.40,7.16,6.42,6.00,5.92
