GLITTER4.4.4: Laser Ablation Analysis Results

\\shares.ad.jcu.edu.au\ri\AAC_General\ICP\TraceCassiterite_Jason23-11-17.msws Iso.prn
Created: Thu Nov 23 18:08:01 2017

All values are reported in ppm

GLITTER!: Trace Element Concentrations MDL filtered.
Element,NIST612-1,NIST612-2,NIST612-3,NIST610-1,NIST610-2,NIST610-3,Bischoff_2a_T1,Bischoff_2a_T2,Bischoff_2a_T3,Bischoff_2a_T4,Bischoff_2a_T5,Bischoff_2a_P1,Bischoff_2a_P2,Bischoff_2a_P3,Bischoff_2a_P4,Bischoff_2a_P5,Bischoff_2a_P6,Bischoff_2a_P7,Bischoff_2a_P8,Bischoff_2a_P9,Bischoff_2a_P10,Bischoff_2a_P11,Bischoff_2a_P12,Bischoff_2a_P13,Bischoff_2a_P14,Bischoff_2a_P15,Bischoff_2a_P16,Bischoff_2a_P17,Bischoff_2a_P18,NIST612-4,NIST612-5,NIST612-6,NIST610-4,NIST610-5,NIST610-6
Ge72,43.19,43.35,40.00,435.74,424.54,416.97,<1.01,<0.68,<1.09,<0.90,<0.85,<1.16,<1.05,<1.08,<1.08,<1.04,<1.13,<1.14,<0.96,<1.10,<1.11,<1.04,<1.11,<0.89,<1.17,<1.11,<1.23,<0.91,<1.09,44.03,38.48,42.59,438.85,422.35,418.89
As75,36.51,36.43,33.41,322.07,316.45,312.00,<0.64,0.89,0.88,0.88,0.66,<0.73,<0.61,<0.63,<0.63,<0.66,<0.67,<0.67,<0.63,<0.76,<0.65,<0.73,<0.66,<0.53,<0.72,<0.69,<0.65,<0.52,<0.68,38.89,32.64,36.71,322.90,315.46,313.53
Rb85,35.27,35.52,34.24,427.36,426.31,422.97,<0.045,<0.024,<0.038,0.169,<0.031,0.038,<0.048,<0.032,<0.034,<0.036,<0.039,<0.054,<0.034,<0.046,<0.040,<0.044,<0.037,<0.031,<0.038,<0.040,<0.048,<0.037,<0.042,35.58,31.85,35.03,431.63,423.92,422.25
Sr88,89.23,90.17,86.09,517.05,515.93,512.94,<0.0109,<0.0093,0.121,0.073,0.117,0.0264,<0.0134,<0.0156,0.0151,0.0224,0.0089,<0.0112,<0.0109,<0.0115,<0.0081,0.0072,<0.0074,0.049,0.0166,<0.0164,<0.0168,0.0215,<0.0147,87.31,78.18,87.93,523.28,513.74,510.41
Y89,43.43,44.19,42.13,452.47,450.45,446.60,<0.0116,<0.0042,0.076,<0.0072,0.214,<0.0112,<0.0134,<0.0140,<0.0066,0.0081,<0.0096,<0.0142,0.0185,<0.0102,0.0121,<0.0108,<0.0093,0.0119,<0.0142,0.0039,<0.0167,<0.0094,<0.0113,41.71,36.98,41.99,456.12,448.08,446.56
Zr90,43.38,43.84,42.06,442.40,441.26,435.84,120.96,157.30,156.09,84.96,97.10,74.14,97.06,116.55,147.27,66.75,100.56,81.68,126.82,123.96,141.52,164.69,199.96,97.68,82.80,75.00,72.17,177.39,58.84,41.79,37.00,42.01,446.09,438.37,436.32
Nb93,39.02,39.51,37.70,422.32,420.26,413.83,13.74,0.108,0.360,0.90,<0.0072,0.0275,<0.0105,0.0118,0.0677,0.283,0.520,0.262,0.382,<0.0090,<0.0128,<0.0078,<0.0083,16.01,18.60,6.51,0.853,2.53,17.57,39.13,34.80,38.83,426.47,417.66,413.97
Mo97,39.74,40.05,38.81,414.36,407.38,407.82,<0.056,<0.00,<0.105,<0.074,0.42,<0.116,<0.133,<0.138,<0.146,0.025,<0.087,0.051,<0.072,<0.131,<0.161,<0.113,<0.085,<0.00,<0.158,<0.084,<0.136,<0.070,0.102,40.10,35.13,39.88,416.31,407.56,406.87
In115,41.48,41.70,39.66,439.55,442.09,441.17,3947.82,4492.55,3976.84,4010.50,3833.11,4026.43,4040.02,4053.67,4007.57,3962.93,3957.64,4019.60,4114.51,4055.60,4039.17,3981.19,4084.54,4209.82,3867.64,3866.17,3838.67,4275.49,3908.44,42.23,37.24,41.87,445.43,438.98,438.89
Sn119,37.96,37.96,37.96,396.00,396.00,396.00,787649.88,787649.81,787649.81,787649.81,787649.81,787649.81,787649.88,787649.81,787649.81,787649.88,787649.81,787649.81,787649.81,787649.81,787649.88,787649.81,787649.81,787649.88,787649.81,787649.81,787649.81,787649.81,787649.81,37.96,37.96,37.96,396.00,396.00,396.00
Sn118,38.18,39.02,36.87,395.23,396.57,396.15,812651.25,911102.50,805630.44,913364.00,888886.50,827938.75,817313.56,808828.25,801327.00,822125.88,820739.88,830159.31,823402.06,834242.19,835637.69,839861.06,820580.81,875677.44,828559.25,833322.19,802203.38,826508.25,827734.50,38.32,34.52,38.29,398.03,394.21,395.84
Sb121,34.31,34.79,33.07,366.21,370.47,370.47,10.35,9.94,2.48,1.87,11.11,3.69,18.00,14.48,10.05,0.864,4.83,4.64,0.993,5.72,11.86,14.51,9.25,0.992,1.068,1.971,2.29,1.37,1.152,34.69,31.13,34.60,370.19,367.51,369.21
Cs133,45.49,46.17,44.10,359.26,362.01,361.84,0.0562,0.105,0.096,0.069,0.063,0.0818,0.0603,0.0412,0.0497,0.0464,0.0475,0.0443,0.0616,0.0414,0.0502,0.0524,0.0528,0.059,0.0401,0.0417,0.0396,0.061,0.0559,45.13,40.77,46.11,361.84,359.16,361.93
La139,42.59,43.56,41.92,454.27,459.78,457.00,<0.0050,0.0097,<0.0067,0.024,<0.00272,<0.0043,0.0090,<0.0042,<0.0044,<0.0043,0.0053,0.0054,0.0029,<0.0068,0.0108,<0.0059,0.0063,<0.0034,0.0109,<0.0044,0.0027,0.0049,0.0026,41.37,37.01,41.76,458.99,455.29,456.74
Ce140,41.97,43.57,41.36,445.77,449.69,448.64,0.0612,0.073,0.075,0.076,<0.0069,0.0508,0.0370,0.0442,0.0340,0.0274,0.0413,0.0358,0.0561,0.0290,0.0288,0.0288,0.0342,0.067,0.0878,0.0466,0.0591,0.060,0.0346,41.86,37.81,43.03,449.38,445.57,448.99
Nd143,39.23,40.76,38.80,427.88,434.07,431.21,0.039,<0.00,<0.0249,<0.0177,<0.00,<0.028,0.0238,0.0163,0.0321,<0.028,0.0330,<0.0304,<0.034,0.0084,<0.031,0.0334,0.0163,<0.0310,<0.043,<0.049,0.0086,<0.040,0.0085,38.54,34.51,39.77,431.79,428.86,432.23
Sm147,41.74,43.16,41.18,446.09,452.70,454.75,<0.027,<0.0148,<0.0207,<0.0147,0.124,<0.0228,<0.0213,<0.044,<0.0234,0.0068,<0.0241,<0.044,<0.020,<0.00,<0.026,<0.0220,<0.047,<0.026,0.026,0.0207,0.0141,0.026,<0.0231,40.76,36.91,42.21,450.95,448.21,453.49
Eu151,40.51,42.11,40.36,454.01,465.56,464.11,<0.0047,<0.00,<0.0063,<0.0077,0.040,0.0084,<0.0065,0.0021,<0.0101,<0.0070,0.0062,0.0064,0.0061,0.0085,<0.0110,<0.0067,<0.0071,<0.0055,<0.0077,0.0085,0.0043,<0.00,<0.0123,40.13,36.49,41.32,462.01,457.80,462.85
Gd157,42.89,43.50,41.16,439.27,446.51,446.73,2.38,3.49,1.88,2.50,2.92,2.152,2.51,2.49,2.57,2.40,2.60,2.72,2.54,2.55,2.69,2.63,2.62,2.91,2.48,2.56,2.60,2.12,2.47,41.73,36.35,41.81,443.15,441.78,446.73
Tb159,43.07,44.18,41.66,438.15,446.18,445.19,0.428,0.448,0.366,0.453,0.264,0.412,0.415,0.433,0.422,0.476,0.423,0.422,0.440,0.420,0.395,0.395,0.406,0.352,0.434,0.434,0.434,0.404,0.411,41.29,37.31,42.32,442.36,440.18,446.14
Dy163,39.63,40.37,38.64,423.56,428.73,429.11,0.0122,0.021,<0.0117,<0.00,0.061,<0.0130,<0.0121,<0.0218,<0.0188,<0.0131,<0.0193,<0.0143,<0.0195,<0.0145,<0.00,0.0117,0.0153,<0.00,<0.00,<0.0131,0.0080,<0.019,0.0158,38.16,34.43,39.47,425.96,424.93,429.82
Er167,41.72,41.86,39.80,422.72,427.32,428.33,<0.0129,<0.00,0.082,<0.0192,0.063,<0.0134,<0.0177,0.0158,<0.0137,<0.0135,0.0080,<0.0147,0.0116,<0.0212,<0.0150,<0.0129,<0.0194,<0.00,<0.0207,0.0171,<0.0219,0.024,<0.0135,38.63,35.37,40.15,425.41,423.96,428.37
Hf178,41.76,42.13,40.30,428.02,433.16,435.27,6.51,9.51,10.04,5.13,3.89,3.82,3.97,5.68,8.73,2.90,4.11,2.77,10.57,5.12,7.09,9.19,14.37,8.33,7.07,4.94,4.15,16.65,3.62,39.90,36.43,41.11,432.54,428.41,434.79
Ta181,41.90,43.20,41.21,448.77,453.55,454.02,0.0670,0.0167,0.048,<0.00254,<0.0044,0.0036,<0.0052,<0.0038,<0.0041,0.00118,0.0047,0.0036,<0.0049,<0.00,<0.0044,<0.0054,<0.0081,0.059,0.1094,0.0319,0.00122,0.0090,0.249,41.23,37.80,42.69,452.15,448.98,454.65
W183,42.24,42.27,40.37,443.16,445.46,446.51,1464.47,801.20,192.43,11857.25,423.48,113.12,963.31,716.02,281.08,16.14,9423.56,4421.00,209.20,186.85,328.80,496.47,466.01,2963.34,3490.66,8692.84,11277.63,12669.70,3744.22,41.61,38.05,43.53,445.98,443.32,445.60
Pb206,39.58,40.95,38.78,425.42,425.87,426.69,1.056,5.03,3.77,1.00,0.98,0.163,1.037,0.980,0.819,0.128,0.620,0.491,0.215,0.236,0.495,0.715,0.665,3.95,0.240,0.513,0.656,1.97,0.160,42.09,38.58,42.80,428.45,423.09,426.54
U238,41.31,42.19,40.63,453.01,466.51,466.20,3.10,2.71,0.308,1.60,3.28,0.607,4.30,4.07,2.86,0.1045,2.291,1.747,0.178,0.993,1.986,2.69,2.317,0.621,0.755,1.640,2.378,2.36,0.579,40.25,38.31,43.23,458.12,459.41,466.37
Tc97,<-NaN,<-NaN,<-NaN,<-NaN,<-NaN,<-NaN,<-NaN,<-NaN,<-NaN,<-NaN,<-NaN,<-NaN,<-NaN,<-NaN,<-NaN,<-NaN,<-NaN,<-NaN,<-NaN,<-NaN,<-NaN,<-NaN,<-NaN,<-NaN,<-NaN,<-NaN,<-NaN,<-NaN,<-NaN,<-NaN,<-NaN,<-NaN,<-NaN,<-NaN,<-NaN
Sn115,37.25,37.45,35.61,394.70,396.98,396.15,3544.99,4034.13,3571.04,3601.26,3441.98,3615.57,3627.77,3640.03,3598.64,3558.55,3553.80,3609.43,3694.66,3641.76,3627.01,3574.94,3667.75,3780.25,3472.98,3471.66,3446.97,3839.21,3509.62,37.92,33.44,37.60,399.98,394.19,394.11
Pm147,<-NaN,<-NaN,<-NaN,<-NaN,<-NaN,<-NaN,<-NaN,<-NaN,<-NaN,<-NaN,<-NaN,<-NaN,<-NaN,<-NaN,<-NaN,<-NaN,<-NaN,<-NaN,<-NaN,<-NaN,<-NaN,<-NaN,<-NaN,<-NaN,<-NaN,<-NaN,<-NaN,<-NaN,<-NaN,<-NaN,<-NaN,<-NaN,<-NaN,<-NaN,<-NaN
