Sample	Sn
NIST612_1	0.00386
NIST610_1	0.043
NIST610_2	0.043
NIST612_2	0.00386
BT_main_1	78.76496534
BT_main_2	78.76496534
BT_main_3	78.76496534
BT_main_4	78.76496534
BT_main_5	78.76496534
BT_main_6	78.76496534
NIST610_3	0.043
NIST612_3	0.00386
BT_main_7	78.76496534
BT_main_8	78.76496534
BT_main_9	78.76496534
BT_main_10	78.76496534
BT_main_11	78.76496534
BT_main_12	78.76496534
NIST610_4	0.043
NIST612_4	0.00386
BT_main_13	78.76496534
BT_main_14	78.76496534
BT_main_15	78.76496534
BT_main_16	78.76496534
BT_main_17	78.76496534
BT_main_18	78.76496534
NIST610_5	0.043
NIST612_5	0.00386
BT_main_19	78.76496534
BT_main_20	78.76496534
BT_main_21	78.76496534
BT_main_22	78.76496534
BT_main_23	78.76496534
BT_main_24	78.76496534
NIST610_6	0.043
NIST612_6	0.00386
BT_main_25	78.76496534
BT_main_26	78.76496534
BT_main_27	78.76496534
BT_main_28	78.76496534
BT_main_29	78.76496534
BT_main_30	78.76496534
NIST610_7	0.043
NIST612_7	0.00386
BT_main_31	78.76496534
BT_main_32	78.76496534
BT_main_33	78.76496534
BT_main_34	78.76496534
BT_main_35	78.76496534
BT_main_36	78.76496534
BT_main_37	78.76496534
NIST610_8	0.043
NIST612_8	0.00386
BT_main_38	78.76496534
BT_main_39	78.76496534
BT_main_40	78.76496534
BT_main_41	78.76496534
BT_main_42	78.76496534
BT_main_43	78.76496534
BT_main_44	78.76496534
NIST610_9	0.043
NIST612_9	0.00386
BT_main_45	78.76496534
BT_main_46	78.76496534
BT_main_47	78.76496534
BT_main_48	78.76496534
BT_main_49	78.76496534
BT_main_50	78.76496534
BT_main_51	78.76496534
NIST610_10	0.043
NIST612_10	0.00386
BT_main_52	78.76496534
BT_main_53	78.76496534
BT_main_54	78.76496534
BT_main_55	78.76496534
BT_main_56	78.76496534
BT_main_57	78.76496534
BT_main_58	78.76496534
NIST610_11	0.043
NIST612_11	0.00386
BT_main_59	78.76496534
BT_main_60	78.76496534
BT_main_61	78.76496534
BT_main_62	78.76496534
BT_main_63	78.76496534
BT_main_64	78.76496534
BT_main_65	78.76496534
NIST610_12	0.043
NIST612_12	0.00386
BT_main_66	78.76496534
BT_main_67	78.76496534
BT_main_68	78.76496534
BT_main_69	78.76496534
BT_main_70	78.76496534
BT_main_71	78.76496534
BT_main_72	78.76496534
NIST610_13	0.043
NIST612_13	0.00386
BT_main_73	78.76496534
BT_main_74	78.76496534
BT_main_75	78.76496534
BT_main_76	78.76496534
BT_main_77	78.76496534
BT_main_78	78.76496534
BT_main_79	78.76496534
NIST610_14	0.043
NIST612_14	0.00386
BT_main_80	78.76496534
BT_main_81	78.76496534
BT_main_82	78.76496534
BT_main_83	78.76496534
BT_main_84	78.76496534
BT_main_85	78.76496534
BT_main_86	78.76496534
NIST610_15	0.043
NIST612_15	0.00386
BT_main_87	78.76496534
BT_main_88	78.76496534
BT_main_89	78.76496534
BT_main_90	78.76496534
BT_main_91	78.76496534
BT_main_92	78.76496534
BT_main_93	78.76496534
BT_main_94	78.76496534
NIST610_16	0.043
NIST612_16	0.00386
BT_main_95	78.76496534
BT_main_96	78.76496534
BT_main_97	78.76496534
BT_main_98	78.76496534
BT_main_99	78.76496534
BT_main_100	78.76496534
BT_main_101	78.76496534
BT_main_102	78.76496534
NIST610_17	0.043
NIST612_17	0.00386
BT_main_103	78.76496534
BT_main_104	78.76496534
BT_main_105	78.76496534
BT_main_106	78.76496534
BT_main_107	78.76496534
BT_main_108	78.76496534
BT_main_109	78.76496534
BT_main_110	78.76496534
BT_main_111	0.043
BT_main_112	0.00386
BT_main_113	78.76496534
BT_main_114	78.76496534
BT_main_115	78.76496534
BT_main_116	78.76496534
BT_main_117	78.76496534
BT_main_118	78.76496534
NIST610_18	78.76496534
NIST612_18	78.76496534
NIST610_19	0.043
NIST612_19	0.00386
BT_main_119	78.76496534
BT_main_120	78.76496534
BT_main_121	78.76496534
BT_main_122	78.76496534
BT_main_123	78.76496534
BT_main_124	78.76496534
BT_main_125	78.76496534
BT_main_126	78.76496534
NIST610_20	0.043
NIST612_20	0.00386
BT_main_127	78.76496534
BT_main_128	78.76496534
BT_main_129	78.76496534
BT_main_130	78.76496534
BT_main_131	78.76496534
BT_main_132	78.76496534
BT_main_133	78.76496534
BT_main_134	78.76496534
NIST610_21	0.043
NIST612_21	0.00386
BT_main_135	78.76496534
BT_main_136	78.76496534
BT_main_137	78.76496534
BT_main_138	78.76496534
BT_main_139	78.76496534
BT_main_140	78.76496534
BT_main_141	78.76496534
BT_main_142	78.76496534
NIST610_22	0.043
NIST612_22	0.00386
BT_main_143	78.76496534
BT_main_144	78.76496534
BT_main_145	78.76496534
BT_main_146	78.76496534
BT_main_147	78.76496534
BT_main_148	78.76496534
BT_main_149	78.76496534
BT_main_150	78.76496534
NIST610_23	0.043
NIST612_23	0.00386
BT_main_151	78.76496534
BT_main_152	78.76496534
BT_main_153	78.76496534
BT_main_154	78.76496534
BT_main_155	78.76496534
BT_main_156	78.76496534
BT_main_157	78.76496534
BT_main_158	78.76496534
NIST610_24	0.043
NIST612_24	0.00386
BT_main_159	78.76496534
BT_main_160	78.76496534
BT_main_161	78.76496534
BT_main_162	78.76496534
BT_main_163	78.76496534
BT_main_164	78.76496534
BT_main_165	78.76496534
BT_main_166	78.76496534
NIST610_25	0.043
NIST612_25	0.00386
BT_main_167	78.76496534
BT_main_168	78.76496534
BT_main_169	78.76496534
BT_main_170	78.76496534
BT_main_171	78.76496534
BT_main_172	78.76496534
BT_main_173	78.76496534
BT_main_174	78.76496534
NIST610_26	0.043
NIST612_26	0.00386
BT_main_175	78.76496534
BT_main_176	78.76496534
BT_main_177	78.76496534
BT_main_178	78.76496534
BT_main_179	78.76496534
BT_main_180	78.76496534
BT_main_181	78.76496534
BT_main_182	78.76496534
NIST610_27	0.043
NIST612_27	0.00386
BT_main_183	78.76496534
BT_main_184	78.76496534
BT_main_185	78.76496534
BT_main_186	78.76496534
BT_main_187	78.76496534
BT_main_188	78.76496534
BT_main_189	78.76496534
BT_main_190	78.76496534
NIST610_28	0.043
NIST612_28	0.00386
BT_main_191	78.76496534
BT_main_192	78.76496534
BT_main_193	78.76496534
BT_main_194	78.76496534
BT_main_195	78.76496534
BT_main_196	78.76496534
BT_main_197	78.76496534
BT_main_198	78.76496534
NIST610_29	0.043
NIST612_29	0.00386
BT_main_199	78.76496534
BT_main_200	78.76496534
BT_main_201	78.76496534
BT_main_202	78.76496534
BT_main_203	78.76496534
BT_main_204	78.76496534
BT_main_205	78.76496534
BT_main_206	78.76496534
NIST610_30	0.043
NIST612_30	0.00386
BT_main_207	78.76496534
BT_main_208	78.76496534
BT_main_209	78.76496534
BT_main_210	78.76496534
BT_main_211	78.76496534
BT_main_212	78.76496534
BT_main_213	78.76496534
BT_main_214	78.76496534
NIST610_31	0.043
NIST612_31	0.00386
BT_main_215	78.76496534
BT_main_216	78.76496534
BT_main_217	78.76496534
BT_main_218	78.76496534
BT_main_219	78.76496534
BT_main_220	78.76496534
BT_main_221	78.76496534
BT_main_222	78.76496534
NIST610_32	0.043
NIST612_32	0.00386
BT_main_223	78.76496534
BT_main_224	78.76496534
BT_main_225	78.76496534
BT_main_226	78.76496534
BT_main_227	78.76496534
BT_main_228	78.76496534
BT_main_229	78.76496534
BT_main_230	78.76496534
NIST610_33	0.043
NIST612_33	0.00386
BT_main_231	78.76496534
BT_main_232	78.76496534
BT_main_233	78.76496534
BT_main_234	78.76496534
BT_main_235	78.76496534
BT_main_236	78.76496534
BT_main_237	78.76496534
BT_main_238	78.76496534
NIST610_34	0.043
NIST612_34	0.00386
BT_main_239	78.76496534
BT_main_240	78.76496534
BT_main_241	78.76496534
BT_main_242	78.76496534
BT_main_243	78.76496534
BT_main_244	78.76496534
BT_main_245	78.76496534
BT_main_246	78.76496534
NIST610_35	0.043
NIST612_35	0.00386
BT_main_247	78.76496534
BT_main_248	78.76496534
BT_main_249	78.76496534
BT_main_250	78.76496534
BT_main_251	78.76496534
BT_main_252	78.76496534
BT_main_253	78.76496534
BT_main_254	78.76496534
NIST610_36	0.043
NIST612_36	0.00386
BT_main_255	78.76496534
BT_main_256	78.76496534
BT_main_257	78.76496534
BT_main_258	78.76496534
BT_main_259	78.76496534
BT_main_260	78.76496534
BT_main_261	78.76496534
BT_main_262	78.76496534
NIST610_37	0.043
NIST612_37	0.00386
BT_main_263	78.76496534
BT_main_264	78.76496534
BT_main_265	78.76496534
BT_main_266	78.76496534
BT_main_267	78.76496534
BT_main_268	78.76496534
BT_main_269	78.76496534
BT_main_270	78.76496534
NIST610_38	0.043
NIST612_38	0.00386
BT_main_271	78.76496534
BT_main_272	78.76496534
BT_main_273	78.76496534
BT_main_274	78.76496534
BT_main_275	78.76496534
BT_main_276	78.76496534
BT_main_277	78.76496534
BT_main_278	78.76496534
NIST610_39	0.043
NIST612_39	0.00386
BT_main_279	78.76496534
