Order	Sample	Sn	Fe	
142	CS13_Goias_B3_7	78.76496534		
143	CS13_Goias_B3_8	78.76496534		
144	CS13_Goias_B3_9	78.76496534		
145	CS13_Goias_B3_10	78.76496534		
146	NIST610_18	0.043	0.0458	
147	NIST612_18	0.00386	0.0051	
148	CS13_Goias_B3_11	78.76496534		
149	CS13_Goias_B3_12	78.76496534		
150	CS13_Goias_B3_13	78.76496534		
151	CS13_Goias_B3_14	78.76496534		
152	CS13_Goias_B3_15	78.76496534		
153	CS13_Goias_B3_16	78.76496534		
154	CS13_Goias_B3_17	78.76496534		
155	CS13_Goias_B3_18	78.76496534		
156	NIST612_19	0.00386	0.0051	
157	NIST610_19	0.043	0.0458	
158	CS13_Goias_B3_19	78.76496534		
159	CS13_Goias_B3_20	78.76496534		
160	CS13_Goias_B3_21	78.76496534		
161	CS13_Goias_B3_22	78.76496534		
162	CS13_Goias_B3_23	78.76496534		
163	CS13_Goias_B3_24	78.76496534		
164	CS13_Poona_D4_1	78.76496534		
165	CS13_Poona_D4_2	78.76496534		
166	NIST612_20	0.00386	0.0051	
167	NIST610_20	0.043	0.0458	
168	CS13_Poona_D4_3	78.76496534		
169	CS13_Poona_D4_4	78.76496534		
170	CS13_Poona_D4_5	78.76496534		
171	CS13_Poona_D4_6	78.76496534		
172	CS13_Poona_D4_7	78.76496534		
173	CS13_Poona_D4_8	78.76496534		
174	CS13_Poona_D4_9	78.76496534		
175	CS13_Poona_D4_10	78.76496534		
176	NIST612_21	0.00386	0.0051	
177	NIST610_21	0.043	0.0458	
178	CS13_Poona_D4_11	78.76496534		
179	CS13_Poona_D4_12	78.76496534		
180	CS13_Poona_D4_13	78.76496534		
181	CS13_Poona_D4_14	78.76496534		
182	CS13_Poona_D4_15	78.76496534		
183	CS13_Poona_D4_16	78.76496534		
184	CS13_Poona_D4_17	78.76496534		
185	CS13_Poona_D4_18	78.76496534		
186	NIST612_22	0.00386	0.0051	
187	NIST610_22	0.043	0.0458	
188	CS13_Poona_D4_19	78.76496534		
189	CS13_Poona_D4_20	78.76496534		
190	CS13_Poona_D4_21	78.76496534		
191	CS13_Poona_D4_22	78.76496534		
192	CS14_Bamboo_I_1	78.76496534	0.2026	
193	CS14_Bamboo_I_2	78.76496534	0.2171	
194	CS14_Bamboo_I_3	78.76496534	0.2318	
195	CS14_Bamboo_I_4	78.76496534	0.2496	
196	NIST612_23	0.00386	0.0051	
197	NIST610_23	0.043	0.0458	
198	CS14_Bamboo_I_5	78.76496534	0.2414	
199	CS14_Bamboo_I_6	78.76496534	0.2474	
200	CS14_Bamboo_I_7	78.76496534	0.2761	
201	CS14_Bamboo_I_8	78.76496534	0.3165	
202	CS14_Bamboo_I_9	78.76496534	0.3164	
203	CS14_Bamboo_I_10	78.76496534	0.3096	
204	CS14_Bamboo_I_11	78.76496534	0.3022	
205	CS14_Bamboo_I_12	78.76496534	0.3023	
206	NIST612_24	0.00386	0.0051	
207	NIST610_24	0.043	0.0458	
208	CS14_Bamboo_I_13	78.76496534	0.3074	
209	CS14_Bamboo_I_14	78.76496534	0.3093	
210	CS14_Bamboo_I_15	78.76496534	0.3038	
211	CS14_Bamboo_I_16	78.76496534	0.3074	
212	CS14_Goias_J_1	78.76496534	0.3030	0.1066
213	CS14_Goias_J_2	78.76496534	0.0045	0.0432
214	CS14_Goias_J_3	78.76496534	0.1092	0.1088
215	CS14_Goias_J_4	78.76496534	0.0621	0.0827
216	NIST612_25	0.00386	0.0051	
217	NIST610_25	0.043	0.0458	
218	CS14_Goias_J_5	78.76496534	0.2204	0.1610
219	CS14_Goias_J_6	78.76496534	0.2217	0.0515
220	CS14_Goias_J_7	78.76496534	0.3102	0.0415
221	CS14_Goias_J_8	78.76496534	0.0448	0.0494
222	CS14_Goias_J_9	78.76496534	0.1631	0.0249
223	CS14_Goias_J_10	78.76496534	0.1486	0.0662
224	CS14_Goias_J_11	78.76496534	0.1212	0.0846
225	NIST612_26	0.00386	0.0051	
226	NIST610_26	0.043	0.0458	
227	CS14_Moolyella_B_1	78.76496534	0.1439	
228	CS14_Moolyella_B_2	78.76496534	0.1448	
229	CS14_Moolyella_B_3	78.76496534	0.1466	
230	CS14_Moolyella_B_4	78.76496534	0.1548	
231	CS14_Moolyella_B_5	78.76496534	0.1541	
232	CS14_Moolyella_B_6	78.76496534	0.1491	
233	CS14_Moolyella_B_7	78.76496534	0.1634	
234	CS14_Moolyella_B_8	78.76496534	0.1667	
235	NIST612_27	0.00386	0.0051	
236	NIST610_27	0.043	0.0458	
237	CS14_Moolyella_B_9	78.76496534	0.1638	
238	CS14_Moolyella_B_10	78.76496534	0.1647	
239	CS14_Moolyella_B_11	78.76496534	0.1672	
240	CS14_Moolyella_B_12	78.76496534	0.1808	
241	CS14_Moolyella_B_13	78.76496534	0.1888	
242	CS14_Moolyella_B_14	78.76496534	0.1785	
243	CS14_Moolyella_B_15	78.76496534	0.1785	
244	NIST612_28	0.00386	0.0051	
245	NIST610_28	0.043	0.0458	
246	CS14_Renison_K_1	78.76496534	0.7082	
247	CS14_Renison_K_2	78.76496534	0.7495	
248	CS14_Renison_K_3	78.76496534	0.5707	
249	CS14_Renison_K_4	78.76496534	0.6615	
250	CS14_Renison_K_5	78.76496534	0.3996	
251	CS14_Renison_K_6	78.76496534	0.3224	
252	CS14_Renison_K_7	78.76496534	0.3253	
253	CS14_Renison_K_8	78.76496534	0.4316	
254	NIST612_29	0.00386	0.0051	
255	NIST610_29	0.043	0.0458	
256	CS14_Renison_K_9	78.76496534	0.3055	
257	CS14_Renison_K_10	78.76496534	0.0635	
258	CS14_Renison_K_11	78.76496534	0.3731	
259	CS14_Renison_K_12	78.76496534	0.7471	
