"NIST 612-2","Thu Nov 23 14:52:11 2017"
Time in Seconds,"Li7","Al27","Si29","S33","Ca44","Sc45","Ti49","V51","Cr52","Cr53","Mn55","Fe57","Co59","Ni60","Cu65","Zn66","Ga71","Ge72","As75","Rb85","Sr88","Y89","Zr90","Nb93","Mo97","In115","Sn119","Sn118","Sb121","Cs133","La139","Ce140","Nd143","Sm147","Eu151","Gd157","Tb159","Dy163","Er167","Hf178","Ta181","W183","Pb206","U238","Tc97","Sn115","Pm147","Pu238"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.52,1100,8601,500,3700,7901,1700,0,0,62678,1200,6501,1500,500,2200,1200,100,0,1200,200,0,0,0,0,0,0,0,200,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.04,500,7301,500,3200,8201,1800,0,0,63581,600,4700,1000,300,3600,1900,0,300,1600,200,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.56,200,5701,800,4000,10102,1200,0,100,69496,1200,5801,1200,300,2800,1100,100,200,1200,500,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.08,900,7601,200,3000,7101,1400,0,100,66488,1000,4900,1200,100,3400,1200,0,0,1200,200,0,0,0,100,0,0,0,400,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.61,1200,6201,300,3900,10502,1700,0,100,64583,1200,5901,700,500,2400,500,200,0,700,300,400,0,0,0,0,0,0,100,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,400,6001,200,3400,7801,2500,0,0,62979,600,4300,500,500,2500,1000,400,0,1300,300,200,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0
3.65,800,4800,200,3800,8401,1400,0,0,63480,1100,5901,1100,400,2400,1200,0,100,1100,400,0,0,0,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.17,400,7101,400,3300,8101,1300,0,100,65686,1200,5501,600,300,2600,1600,0,100,1100,200,100,0,0,0,0,0,0,0,200,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.69,1100,6101,300,4600,9702,1300,100,100,61676,900,6801,1500,100,1900,1100,0,0,600,300,100,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
