"NIST 610-3","Thu Nov 23 15:03:02 2017"
Time in Seconds,"Li7","Al27","Si29","S33","Ca44","Sc45","Ti49","V51","Cr52","Cr53","Mn55","Fe57","Co59","Ni60","Cu65","Zn66","Ga71","Ge72","As75","Rb85","Sr88","Y89","Zr90","Nb93","Mo97","In115","Sn119","Sn118","Sb121","Cs133","La139","Ce140","Nd143","Sm147","Eu151","Gd157","Tb159","Dy163","Er167","Hf178","Ta181","W183","Pb206","U238","Tc97","Sn115","Pm147","Pu238"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.52,500,7201,500,3100,9502,1100,0,200,55662,1100,3900,1000,600,2300,600,0,0,1300,100,0,100,100,100,100,0,0,0,0,0,0,100,0,0,0,0,0,0,100,0,0,0,0,100,300,0,0,0,300
1.04,500,7201,400,4100,7401,1500,0,0,58067,1200,5301,400,300,2000,300,100,0,900,200,0,300,0,100,200,0,100,100,300,0,100,0,200,0,0,100,0,100,100,0,300,100,0,0,100,0,100,0,100
1.56,400,7801,400,2700,7901,1600,0,100,55862,300,4400,900,500,2200,800,0,100,900,0,0,100,0,0,0,0,400,100,0,0,300,0,200,0,200,0,0,0,0,100,100,100,100,200,400,0,400,200,400
2.09,1200,8001,500,1900,5601,1100,0,0,54860,700,3900,1100,600,2500,1000,100,0,900,300,0,0,100,0,0,0,0,0,200,0,300,100,0,0,0,100,0,300,0,100,0,0,100,200,0,0,0,0,0
2.61,100,6701,400,3800,9802,1700,0,0,53958,900,4700,1000,400,2300,1300,300,0,1000,200,0,0,0,0,200,0,100,0,200,0,100,100,100,0,0,100,100,300,200,0,0,100,0,0,300,0,100,0,300
3.13,400,7401,200,4200,8001,2700,0,100,57867,700,3100,1200,300,2300,1100,200,0,1300,200,100,200,200,0,0,0,100,0,200,0,0,0,0,0,200,0,0,100,0,0,0,200,0,100,100,0,100,200,100
3.65,500,7001,200,2700,8001,2500,0,0,57466,400,4500,1200,100,3200,400,200,0,1100,200,0,100,0,100,300,0,300,200,0,200,200,300,0,0,0,0,0,100,0,0,0,0,0,0,0,0,300,0,0
4.17,1000,6401,500,3400,6301,1100,100,0,59070,600,4200,800,200,1500,900,100,0,1300,200,0,200,100,0,300,100,0,0,0,100,200,100,100,200,0,0,0,0,0,0,0,0,0,100,0,100,0,0,0
4.69,500,7001,300,3500,8301,1700,0,0,60273,1000,5101,1500,400,2500,1200,400,0,700,0,200,400,0,0,0,0,100,0,100,100,200,0,100,0,100,200,100,200,0,0,100,0,0,0,0,0,100,100,0
5.21,400,6201,400,3700,6401,1600,0,300,53658,1200,4700,1300,500,1800,500,100,0,600,200,100,0,400,100,100,0,300,100,200,100,100,600,0,0,0,0,0,200,100,0,100,300,0,0,200,0,300,0,200
5.73,1500,6801,300,2100,6401,1700,0,0,54159,1200,4700,1000,500,2300,800,200,0,700,100,100,300,0,0,100,0,0,100,200,0,0,300,200,0,0,200,0,100,0,0,0,0,0,0,300,0,0,0,300
6.25,700,6501,400,3800,8802,1100,0,100,54660,800,6701,800,0,2600,1100,100,300,900,200,0,200,300,100,0,0,0,0,100,0,0,100,100,0,0,100,0,0,0,100,0,0,0,100,0,0,0,0,0
6.77,1200,7101,400,2800,5801,1400,0,200,61475,800,5101,700,400,2100,1400,100,100,700,200,100,0,100,0,0,0,0,0,100,100,100,0,0,0,0,0,0,100,0,0,0,0,0,100,300,0,0,0,300
7.30,1000,7701,100,3400,6301,1000,0,0,55562,1100,4100,700,100,2000,1000,200,100,1100,200,0,100,0,0,0,0,200,100,200,0,0,100,100,0,0,0,0,0,200,0,0,0,0,100,100,0,200,0,100
7.82,600,6201,300,2800,7701,1700,100,300,54259,400,3900,1200,600,2300,1200,300,0,1400,0,0,0,0,0,0,0,0,100,200,0,100,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0
8.34,1100,6301,100,3300,6001,1000,100,100,57165,1100,6401,900,600,1800,1000,200,0,1100,200,100,0,0,0,0,0,0,100,0,200,100,400,0,0,0,0,100,400,0,0,0,300,0,100,0,0,0,0,0
8.86,900,7301,200,2100,9402,2400,0,200,55361,900,5501,1200,300,2500,1000,0,100,1700,100,100,0,0,200,0,0,0,0,100,0,0,0,200,0,100,0,0,200,0,0,0,100,0,0,0,0,0,100,0
