"NIST 612-6","Thu Nov 23 17:08:55 2017"
Time in Seconds,"Li7","Al27","Si29","S33","Ca44","Sc45","Ti49","V51","Cr52","Cr53","Mn55","Fe57","Co59","Ni60","Cu65","Zn66","Ga71","Ge72","As75","Rb85","Sr88","Y89","Zr90","Nb93","Mo97","In115","Sn119","Sn118","Sb121","Cs133","La139","Ce140","Nd143","Sm147","Eu151","Gd157","Tb159","Dy163","Er167","Hf178","Ta181","W183","Pb206","U238","Tc97","Sn115","Pm147","Pu238"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.52,500,6801,200,3900,8702,1000,0,0,58569,700,5301,1100,300,2700,1100,100,0,800,0,100,0,0,0,0,0,0,100,200,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0
1.04,700,7601,200,4700,9102,1400,0,100,50150,1200,4600,1100,300,2700,500,100,100,1100,0,200,0,0,0,0,0,0,200,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.56,1200,8702,400,5301,7601,1200,0,100,51252,300,6101,200,400,3000,500,100,100,900,400,200,0,100,100,0,100,0,0,200,100,0,0,0,0,0,0,0,0,0,100,0,0,0,100,0,100,0,0,0
2.08,1000,4900,100,3800,7501,1900,0,100,51353,900,5301,1400,800,3200,1700,0,0,700,100,100,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.61,700,9002,600,4200,7801,2400,0,0,57266,500,4300,1200,100,1700,1100,100,0,800,300,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,1300,8501,200,4400,7401,1000,0,0,53758,800,4300,1400,200,2700,800,0,100,1200,0,0,0,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,100,0,0
3.65,300,6701,400,4100,5501,1600,0,100,57065,500,4600,800,400,2100,1200,0,0,1200,200,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.17,500,6701,300,3600,7801,1500,0,0,50250,1100,5301,1000,100,1900,800,0,300,1200,200,0,0,0,0,0,0,0,100,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0
4.69,500,8301,100,3600,6901,2300,0,0,54259,1400,4400,1000,0,2700,1400,100,0,1000,100,100,0,0,0,0,0,0,0,200,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.21,600,6301,300,5101,9202,1700,0,0,54058,700,5601,1000,300,2400,900,0,0,1200,300,0,0,0,0,100,0,0,0,0,100,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,0,0,0,100
5.73,700,10102,100,2700,7801,1100,0,0,48948,700,5000,1300,300,2000,1700,0,0,1000,200,100,0,100,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.26,800,5801,400,3400,6601,1600,0,300,52856,1500,4200,1700,300,2000,1100,100,0,900,200,100,0,0,100,0,0,0,100,300,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.78,1500,8802,200,4400,6401,1600,0,200,52655,1400,4100,1300,800,1700,400,300,0,800,0,0,100,0,100,0,0,0,100,200,0,0,0,0,0,0,0,100,100,0,100,0,0,0,100,0,0,0,0,0
7.30,800,6501,300,4300,6401,1100,0,100,53056,800,3600,1700,200,1600,1100,0,0,800,100,0,0,0,0,0,0,0,0,500,0,100,0,0,0,0,0,0,100,100,0,0,100,0,0,0,0,0,0,0
7.82,1000,7301,200,4300,7801,1400,100,0,52455,900,4400,1000,200,2900,1400,100,0,800,200,100,0,0,0,0,0,0,100,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.34,600,8001,100,5000,7501,2100,0,0,48247,900,4100,500,0,2200,1000,100,0,800,100,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
8.86,1300,6901,300,4400,7401,1300,100,0,48747,1000,4000,1300,0,2700,1400,100,0,900,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,100,0
9.38,400,7901,300,5401,7301,2000,0,0,53758,1200,3900,1100,300,1900,400,100,300,500,300,100,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.90,900,6101,300,4200,8702,1600,0,100,52756,900,3500,1200,500,2300,1000,300,100,1000,0,0,0,0,0,0,0,0,100,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.43,600,7401,200,5701,8601,2400,0,200,53457,200,4000,1100,400,2600,700,100,0,900,300,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.95,400,8301,300,2800,7501,1400,0,0,47846,800,4400,800,300,2100,800,0,0,1600,100,200,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,100
11.47,800,6201,400,3700,9302,600,0,0,49449,1100,5101,800,500,3200,1200,200,100,800,0,0,0,0,100,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.99,1300,8802,700,4300,6701,1600,0,0,51353,600,5000,900,200,1800,1000,200,100,900,300,300,0,0,100,0,0,0,100,300,0,100,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0
12.51,800,6001,600,3500,9102,1300,200,0,52355,1100,3900,1300,200,2100,1200,0,100,700,200,100,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.03,400,7201,600,4700,7801,1600,0,400,47044,1000,5201,600,200,1400,400,0,0,800,300,200,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
13.55,1000,5801,300,3000,7201,1700,0,0,51653,1200,4500,1400,200,2300,800,0,200,1100,200,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.07,1300,7601,400,4600,7001,1100,0,300,52655,1000,3700,900,800,2200,500,200,0,1200,0,0,0,0,0,0,0,0,100,200,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0
