"Bischoff_2a_P14","Thu Nov 23 16:46:49 2017"
Time in Seconds,"Li7","Al27","Si29","S33","Ca44","Sc45","Ti49","V51","Cr52","Cr53","Mn55","Fe57","Co59","Ni60","Cu65","Zn66","Ga71","Ge72","As75","Rb85","Sr88","Y89","Zr90","Nb93","Mo97","In115","Sn119","Sn118","Sb121","Cs133","La139","Ce140","Nd143","Sm147","Eu151","Gd157","Tb159","Dy163","Er167","Hf178","Ta181","W183","Pb206","U238","Tc97","Sn115","Pm147","Pu238"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.52,900,9502,200,4300,9502,1500,0,0,52355,900,4300,800,200,3200,1200,100,0,700,0,100,0,0,0,100,0,0,2100,3900,0,0,0,0,0,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0
1.04,1100,6701,300,4100,7901,1900,0,0,51754,900,5000,1300,100,1500,1000,400,0,1700,300,0,0,0,0,0,0,100,19608,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,100,0,0
1.56,900,7301,500,4800,7201,2200,0,0,49048,800,5601,1500,700,3100,1300,200,0,900,200,0,0,0,0,100,0,0,100,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.08,900,6001,300,4400,7301,1200,0,0,53958,1300,4000,400,800,1500,900,100,0,1100,200,0,0,0,0,0,0,0,43237,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.61,600,6401,500,3500,7501,1200,0,0,55361,1300,3600,1100,400,2100,1300,100,0,800,300,100,0,100,100,0,0,0,3900,22010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,1300,5701,100,4100,7301,1700,100,0,56564,1100,3500,1300,700,2900,1600,0,0,500,400,100,0,100,0,0,0,0,4300,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,100
3.65,1100,7401,200,3900,6701,800,100,300,51052,900,3900,800,100,2500,1900,100,0,1100,300,0,0,0,0,0,100,0,5000,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0
4.17,1200,7201,400,4200,9002,1900,0,100,49649,1200,3600,400,200,2100,1500,100,0,1300,300,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0
4.69,1100,7501,400,5000,7201,2100,0,0,58468,1000,4700,1600,300,1800,800,100,200,800,300,100,0,0,0,0,0,0,1700,2900,200,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0
5.21,1100,8001,700,4600,6501,1600,0,200,52154,1100,4200,800,300,2400,1000,0,100,1200,200,0,100,0,0,0,0,300,100,2500,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0
5.73,400,6201,200,3900,7601,1300,0,100,52054,900,3900,1400,700,2100,1500,300,0,900,0,100,0,0,0,0,0,0,29117,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0
6.25,300,7701,100,3400,6401,1300,100,0,47245,700,3600,900,400,2600,600,300,0,800,200,0,0,0,0,0,0,600,2500,300,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,600,0,0
6.77,600,6801,100,3700,6801,800,0,0,55261,800,4300,1000,400,2400,1500,100,0,900,100,0,0,0,0,0,0,0,1300,3100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.30,800,6101,200,4900,5101,1700,0,0,55461,1100,4000,1200,400,2600,1500,0,200,800,200,0,0,0,0,0,0,0,3900,7901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0
7.82,700,6601,200,4000,7101,1600,0,0,51854,800,3600,1700,200,2100,1100,300,100,700,200,100,0,100,0,0,0,0,17006,1400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.34,800,10002,400,4200,7501,2200,0,100,54058,900,3900,1100,200,2700,900,100,0,800,600,100,0,0,0,0,0,200,1000,100,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100,0,0,200,0,0
8.86,600,5000,200,4900,8702,1600,0,0,53658,600,3200,800,200,2000,1700,0,100,400,100,0,0,0,0,0,0,100,200,1400,0,0,100,0,0,0,0,0,0,0,0,0,0,100,100,0,0,100,0,0
9.38,800,8201,200,5000,7901,1400,0,0,56865,1100,4900,1600,200,3200,1700,0,100,900,200,100,0,0,0,0,100,0,1400,600,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,100,0,100,0
9.90,500,7701,500,5501,7801,1600,0,100,48848,500,5801,800,400,2200,1800,300,100,1600,400,100,0,0,0,100,100,0,500,200,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0
10.42,1300,9302,0,4000,7001,1800,0,0,53958,700,5101,1000,400,2100,1500,0,0,1100,300,0,0,0,0,0,0,0,700,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.94,600,6301,200,2900,5701,1700,0,0,49549,400,4600,1300,200,3300,1300,0,0,1300,100,100,0,0,0,0,0,0,200,2600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.47,1200,4300,100,5000,8001,1400,0,0,51152,500,4000,600,600,2400,1200,0,100,1100,200,0,0,0,0,0,0,0,300,65686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.99,1200,6801,600,5201,6701,1300,0,0,48046,1200,5501,1100,300,3100,700,100,100,600,200,0,0,0,0,0,0,0,7101,400,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0
12.51,1200,7001,200,4400,5701,1600,0,100,53658,1300,4700,1100,700,1900,800,100,0,900,200,100,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.03,800,5301,0,3500,7401,1200,0,200,51754,1300,4900,900,100,2700,1700,100,100,1200,100,0,0,0,0,0,0,0,100,100,0,0,0,0,100,0,0,0,100,0,0,100,0,0,0,0,0,0,0,0
