"Bischoff_2a_T2","Thu Nov 23 15:32:40 2017"
Time in Seconds,"Li7","Al27","Si29","S33","Ca44","Sc45","Ti49","V51","Cr52","Cr53","Mn55","Fe57","Co59","Ni60","Cu65","Zn66","Ga71","Ge72","As75","Rb85","Sr88","Y89","Zr90","Nb93","Mo97","In115","Sn119","Sn118","Sb121","Cs133","La139","Ce140","Nd143","Sm147","Eu151","Gd157","Tb159","Dy163","Er167","Hf178","Ta181","W183","Pb206","U238","Tc97","Sn115","Pm147","Pu238"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.52,1100,4900,100,5701,9602,1100,0,200,69095,400,5501,1100,400,1600,900,0,0,1200,200,100,0,0,0,0,0,0,300,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.04,900,7501,100,5401,8601,700,0,0,61676,800,5000,800,400,3000,900,100,100,300,200,100,0,0,0,0,0,0,3000,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.56,800,7901,700,5101,8702,2100,0,0,64383,1000,5201,600,300,3200,1100,200,0,700,400,200,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.09,600,7001,200,5501,8201,1800,0,200,70299,1400,5000,1700,100,1300,1200,400,100,1200,200,0,0,0,0,0,0,100,100,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
2.61,700,6201,500,4800,8401,2500,0,100,66087,1200,6001,900,400,1700,1500,100,100,1200,300,100,0,0,0,0,0,0,0,200,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,1100,5401,200,4200,9002,1500,0,0,63480,800,3900,1400,0,2600,900,100,0,400,200,0,0,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.65,700,9202,200,5000,8201,2300,100,100,64583,800,7001,1100,300,2200,1400,300,100,900,200,0,0,0,100,0,0,0,100,400,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.17,1200,7801,400,4600,6201,1900,0,100,64583,1100,4700,1400,300,2600,1000,200,0,800,100,100,0,0,0,0,0,0,0,400,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,100,0
4.69,1000,7001,100,3100,9402,1200,100,0,59872,1000,4600,900,500,2600,1000,300,0,800,800,0,0,0,0,0,0,0,500,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.21,600,7201,100,5601,7901,1800,100,100,65586,900,4500,1300,500,3000,500,0,100,800,200,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.73,600,7201,500,4100,9902,1600,0,100,65085,800,4500,1200,200,3000,1800,100,0,1000,200,0,0,0,0,0,0,0,200,200,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
