"NIST610-4","Thu Nov 23 17:12:19 2017"
Time in Seconds,"Li7","Al27","Si29","S33","Ca44","Sc45","Ti49","V51","Cr52","Cr53","Mn55","Fe57","Co59","Ni60","Cu65","Zn66","Ga71","Ge72","As75","Rb85","Sr88","Y89","Zr90","Nb93","Mo97","In115","Sn119","Sn118","Sb121","Cs133","La139","Ce140","Nd143","Sm147","Eu151","Gd157","Tb159","Dy163","Er167","Hf178","Ta181","W183","Pb206","U238","Tc97","Sn115","Pm147","Pu238"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.52,800,6701,400,5501,7301,1700,0,0,55361,1300,4300,600,400,2600,1300,0,100,300,200,0,0,0,0,0,0,0,100,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.04,1000,7601,700,5501,8601,1600,0,0,52455,700,5601,1000,200,2100,1400,100,100,500,400,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.56,500,6901,300,6201,8101,2000,100,0,55261,1300,5501,800,200,3000,1300,0,0,700,500,200,0,0,0,0,100,0,100,100,0,0,0,0,0,0,0,100,0,0,0,100,0,0,0,0,100,0,0,0
2.09,800,5501,100,6201,7801,1300,0,0,55061,800,4300,1400,800,2500,1200,0,0,1600,400,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,100
2.61,900,6601,700,6101,7301,1500,0,100,51754,1000,4500,1000,600,3200,800,100,200,1800,400,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0
3.13,1000,6501,300,4900,10102,1500,0,200,54960,400,3100,1300,500,2400,900,0,100,1200,300,0,0,0,0,0,0,0,200,100,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0
3.65,1200,6201,400,4000,8902,2400,0,500,53858,500,3800,700,200,2200,1000,400,100,1300,100,100,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.17,800,5901,200,4700,8401,1600,100,0,56464,900,4700,1300,300,2900,1500,0,0,1000,100,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.69,600,7801,500,4800,7601,1600,0,0,54860,700,4100,1100,300,2700,800,300,0,1100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0
5.21,700,6501,100,4900,9202,1200,0,0,53557,1200,3300,600,400,1500,1400,100,0,800,200,0,0,0,100,0,0,100,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
5.74,700,6301,200,4900,8301,600,0,0,54760,500,4100,1100,300,2700,1100,100,0,900,100,100,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.26,1100,7301,500,6801,9702,1400,0,200,53257,900,4700,1500,400,2400,1900,100,0,1000,400,0,0,0,100,0,0,100,200,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
6.78,600,7301,300,4300,9802,1700,0,100,51052,1100,3500,1200,100,1500,1000,200,100,700,400,0,0,0,0,0,0,0,100,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,100
7.30,1100,8101,600,4000,7601,1100,0,100,49950,1100,4000,500,200,2200,1300,200,0,1100,100,0,0,0,0,0,0,0,0,100,0,100,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
7.82,900,7701,200,4600,7801,1500,100,0,49649,1200,3400,900,200,3100,1100,100,100,1000,0,100,0,100,0,0,0,0,0,300,0,100,100,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0
8.34,1000,6401,100,5901,8702,1200,0,0,56664,1100,4300,1000,400,2200,700,100,0,1200,0,100,0,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.86,1300,5301,300,3800,8001,1800,0,100,57165,700,5000,1700,200,3500,1100,0,0,800,200,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0
9.39,1600,6001,400,5201,8101,1100,0,0,56163,900,5201,1200,500,2000,1500,200,0,1400,300,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0
9.91,700,7201,300,4200,8902,1200,0,0,56564,1000,4300,1000,100,2700,1600,500,0,500,200,100,0,0,0,0,0,0,0,300,100,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
10.43,1300,7701,200,4600,8101,2400,100,0,52856,1100,5201,1000,400,1700,1400,100,0,1200,200,0,0,0,0,0,0,0,100,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.95,400,7201,500,4700,7301,1400,0,0,55963,1100,4900,1900,100,2800,1400,200,0,800,0,100,0,100,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0
11.47,1000,5601,400,5301,6701,1700,0,300,50451,1000,5401,1300,300,2500,1000,0,0,1000,500,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.99,1100,7901,100,4800,10102,900,0,200,51653,500,4500,900,300,2000,900,100,300,800,300,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.52,700,8301,500,5501,8702,800,0,100,57366,1500,4500,1300,400,2100,1400,200,200,700,200,0,0,0,0,0,0,0,200,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.04,600,6201,600,4900,7701,1200,0,0,56764,500,4100,1200,500,1600,1000,0,100,600,400,100,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0
13.56,500,8301,400,4900,8601,2400,0,0,53758,1400,3300,1200,200,2700,1000,300,100,700,100,0,0,0,0,0,0,0,100,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.08,900,6501,600,4600,9102,900,100,0,52856,600,4200,900,200,2600,1100,100,0,500,200,100,0,100,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0
14.60,600,6401,100,4200,8201,2000,0,200,50451,1700,5301,900,0,2400,1100,200,0,700,200,0,100,0,0,0,0,0,0,200,0,100,0,0,100,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0
15.12,700,7301,100,3800,7901,1800,0,0,56163,1200,4700,900,100,2400,800,200,0,600,100,100,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.64,900,8001,600,4900,7001,900,0,0,55161,400,5401,1000,200,2600,1100,0,0,1200,400,100,100,0,0,0,0,0,100,200,200,0,100,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0
16.17,1000,7001,300,3600,8401,1000,0,0,54660,700,4500,1200,100,2900,900,0,0,500,300,0,0,0,0,0,0,0,100,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.69,900,6001,300,4100,7501,1300,0,200,53958,1300,6201,500,100,2400,1600,100,0,1700,200,200,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17.21,600,6101,700,5101,7301,1400,0,100,52154,800,3800,600,500,2300,900,0,100,1200,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17.73,400,7501,200,3700,8301,2000,100,0,50250,1100,3900,1100,900,1900,900,0,200,1100,200,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.25,1800,6301,300,4500,6101,1500,100,100,54960,900,3800,800,600,2100,1500,200,0,700,200,100,0,0,100,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.77,600,7901,200,4200,7101,1500,100,0,53357,800,3300,900,500,2500,800,0,0,600,200,0,0,0,0,0,100,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0
19.29,900,7501,500,4600,7101,900,0,100,53658,700,5000,1200,400,2300,800,0,200,1200,200,0,0,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0
19.82,600,5501,100,4700,7301,1300,0,0,54559,500,3900,1100,300,3100,900,100,100,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.34,1000,6801,700,4900,8902,1600,0,100,53257,800,5101,1000,100,1800,900,200,100,1100,200,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.86,800,6701,500,5101,9502,1700,0,0,55762,800,4600,2100,600,1900,800,100,100,400,300,0,0,0,0,0,0,100,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,100,0,0
21.38,600,6901,200,3500,7001,1800,0,200,53858,1100,4000,1100,200,2300,1200,100,0,1100,300,0,100,200,500,700,0,5601,1800,3600,7701,34324,55562,65887,10702,17706,63380,21910,157897,43037,43638,59771,201307,22310,42135,273892,0,5601,17706,273892
21.90,21709,477619,3800,3600,371439,80630,6201,76116,98092,6901,97791,2800,64684,17706,19608,18307,62177,32020,18006,223495,399060,419694,195360,323885,24112,389409,46643,117978,138684,554993,748850,746069,114060,140996,476192,150552,972556,243783,241864,291186,878468,96687,172694,1017181,24112,389409,140996,1017181
22.42,63681,1457588,11303,8301,989918,222082,13604,195260,168466,13103,232678,4900,153369,36026,38730,36326,130138,65185,37328,447062,792980,803405,362002,600732,49148,745863,87051,227632,269040,1054375,1481854,1474964,224705,277835,948041,299483,1992347,505050,475581,566343,1664848,175111,330774,1917630,49148,745863,277835,1917630
22.94,123404,2724040,17906,12903,1800052,384535,21409,336550,243076,22510,375905,7501,224403,52054,54058,59571,188407,91467,58969,619276,1137189,1108126,488119,796592,65285,947107,111749,285926,310314,1279842,1692410,1708982,255701,310010,1045514,328849,2224448,528222,533737,613947,1843127,192236,354698,2124164,65285,947107,310010,2124164
23.47,133757,2870330,20208,12603,1992130,409527,27815,372555,282993,28516,422643,10102,269242,55963,60072,64383,215122,106125,60473,709836,1293730,1234443,575345,897009,78423,1052081,121695,310314,348310,1441176,1915473,1887243,279352,338577,1157803,347194,2399147,586193,568798,660717,2050693,211793,406275,2374996,78423,1052081,338577,2374996
23.99,149546,3101217,21609,14504,2225648,464169,28216,424270,307581,30719,474562,9202,282892,58468,71502,70499,239138,119284,68093,794734,1393166,1355160,624811,988774,87954,1178749,144516,342226,399161,1650652,2127533,2118839,307378,392558,1363601,403023,2785713,691431,656406,762452,2300380,246307,464475,2706922,87954,1178749,392558,2706922
24.51,182161,3527574,27115,19107,2447626,509846,29918,462540,327329,33322,525158,10702,330774,71302,79125,80429,263986,136974,78724,896180,1511555,1500095,686806,1073879,103012,1325112,154576,394996,435765,1731666,2179648,2246713,324492,420405,1378168,415525,2880954,704385,665851,776371,2382349,250650,453883,2708033,103012,1325112,420405,2708033
25.03,172392,3481312,23211,16305,2409473,530673,31119,469875,329659,28316,510561,11503,313048,69898,71402,75313,243379,128027,70700,852698,1422765,1391264,636603,1011559,86750,1257027,147232,369308,425389,1722354,2134816,2113407,306265,400787,1294257,404242,2715813,674169,654764,740610,2256324,232072,447265,2577010,86750,1257027,400787,2577010
25.55,167258,3492642,23911,19307,2306617,494748,30218,453476,331382,31420,507091,12003,324290,68293,81131,73708,246206,130238,70499,887270,1457482,1425092,655482,1029468,89660,1317210,151156,392863,449709,1724923,2161576,2197951,316795,417762,1342188,413695,2775127,679819,650145,749262,2366768,246812,480371,2655080,89660,1317210,417762,2655080
26.07,173299,3587582,24612,20108,2439375,521483,33723,465086,327228,34023,528324,10502,336043,66990,79426,76918,258025,136471,75714,898563,1479203,1492351,664824,1060840,95080,1319001,160816,392050,464475,1769374,2258290,2245403,339388,414711,1372784,423761,2799202,699347,666467,758948,2345278,257317,494646,2686262,95080,1319001,414711,2686262
26.59,178837,3609530,25413,20108,2472945,534350,32621,491484,344457,32121,527609,12103,335030,70198,81031,80931,270152,142304,74310,921060,1486201,1471042,656919,1074506,97289,1327957,146226,396520,451439,1746121,2156570,2151130,320947,410543,1320792,404344,2675494,661128,633014,742670,2236124,237826,470588,2596478,97289,1327957,410543,2596478
27.12,160413,3352227,26714,17106,2310120,508214,27815,475581,331686,35025,522912,11303,322264,66188,86650,80630,278644,144014,77721,910276,1459176,1475812,652506,1124849,95884,1336705,151457,393574,444415,1772483,2202311,2182371,315478,405360,1354738,410543,2720038,682388,653224,749983,2339360,245399,495869,2773568,95884,1336705,405360,2773568
27.64,176924,3582987,25913,19007,2472394,533022,29918,473848,334827,33222,522708,10702,325911,69196,83138,81733,273993,132651,76517,891828,1501686,1486201,670574,1089744,103313,1345878,163533,396926,484551,1812183,2212560,2239508,328139,409324,1365712,423965,2802882,696776,670574,782456,2442015,252771,505969,2667393,103313,1345878,409324,2667393
28.16,175413,3539038,24912,20108,2466668,528835,31119,467327,340098,35625,513622,12103,317605,71703,84643,82636,285926,142505,80128,927803,1532473,1490654,674169,1119204,98092,1408067,164439,400076,470588,1792325,2230231,2173986,327430,409019,1375528,411052,2742394,670882,627067,761834,2330705,248933,483022,2633241,98092,1408067,409019,2633241
28.68,181355,3488636,26214,18807,2325338,480983,27615,453476,338881,34824,507601,9702,316896,67892,81432,80128,259439,136572,75915,867598,1436519,1387567,639578,1028010,90363,1294678,150351,373469,423863,1704169,2072160,2053078,322669,379560,1332067,385753,2695812,652813,641219,745760,2281677,251458,460197,2657076,90363,1294678,379560,2657076
29.20,170479,3490810,25113,19408,2298410,503724,31219,451439,329659,33923,505050,13003,309605,63280,77018,75614,258833,128329,70499,880332,1449434,1404050,638860,1048641,96887,1341871,147132,396621,440242,1737019,2143624,2168651,314060,409527,1444034,416135,2784153,692048,670472,800514,2400356,264593,489343,2816604,96887,1341871,409527,2816604
29.72,186292,3682744,27415,17706,2454228,530877,28616,479454,344862,38129,500970,10802,338881,71903,80229,70098,264896,138181,76517,869668,1428160,1375528,628605,1010206,97490,1309732,157495,376717,422032,1703314,2010519,2045925,283498,369917,1263334,378138,2597474,615177,602780,701609,2227830,246913,449607,2563744,97490,1309732,369917,2563744
30.24,163130,3327190,23111,20608,2204055,472422,29317,442787,308897,33623,486284,10802,301811,59170,72405,79928,236715,130741,69797,829641,1338392,1329222,576982,937868,88557,1232133,146528,374382,410035,1629851,1917414,1997321,274701,380981,1232973,374890,2513948,611693,596431,699038,2190324,237018,461114,2617400,88557,1232133,380981,2617400
30.76,165345,3331286,25213,19408,2219866,482002,28216,437190,333307,34524,491586,11102,299483,65185,80329,71001,253176,139488,62979,868426,1362018,1326798,595714,976194,93876,1257448,145120,373570,406173,1650331,1985103,1991374,286432,362306,1245890,381793,2510528,615382,591516,686190,2181500,240047,446044,2577120,93876,1257448,362306,2577120
