"Bischoff_2a_P17","Thu Nov 23 16:52:38 2017"
Time in Seconds,"Li7","Al27","Si29","S33","Ca44","Sc45","Ti49","V51","Cr52","Cr53","Mn55","Fe57","Co59","Ni60","Cu65","Zn66","Ga71","Ge72","As75","Rb85","Sr88","Y89","Zr90","Nb93","Mo97","In115","Sn119","Sn118","Sb121","Cs133","La139","Ce140","Nd143","Sm147","Eu151","Gd157","Tb159","Dy163","Er167","Hf178","Ta181","W183","Pb206","U238","Tc97","Sn115","Pm147","Pu238"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.52,1100,6101,400,4100,6701,1600,100,200,52054,700,4700,1000,200,2000,1000,200,0,900,300,0,0,0,0,0,0,0,30318,8201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0
1.04,500,7101,200,5801,8601,2400,0,100,54760,700,3100,1300,300,2100,1300,100,200,1700,200,0,0,0,100,0,0,0,5601,3400,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,100
1.56,500,6501,300,4700,7001,1800,0,100,51754,900,3400,1000,300,1600,1100,200,0,900,200,0,0,0,0,0,0,400,9602,8001,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,400,0,0
2.09,1200,5801,300,5301,7101,1200,0,100,49349,600,3200,900,600,2900,1200,100,0,600,600,0,0,0,0,0,0,0,7901,2200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.61,400,6101,100,4000,8401,1700,0,0,52756,1200,4700,1100,300,2600,1000,0,0,600,0,100,0,0,0,0,0,100,14504,15105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
3.13,900,6501,400,4200,7601,1400,0,0,50751,800,3600,1200,400,2000,1700,100,100,1100,0,0,0,0,0,0,0,300,16906,20008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0
3.65,1100,6901,200,4100,7001,1500,0,100,53257,1200,4600,1200,600,2300,1700,100,0,600,0,0,0,0,0,0,0,1300,6201,400,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,1300,0,0
4.17,900,6601,300,4200,6801,1400,100,200,52756,700,4900,1100,0,1700,1000,200,100,1300,200,300,0,0,0,0,0,400,4700,1800,0,0,0,0,100,0,0,0,0,0,0,0,0,300,200,0,0,400,0,0
4.69,400,5801,400,4600,6201,1400,0,100,54860,700,4400,1200,300,3400,1200,0,0,1100,300,100,0,0,0,0,0,600,100,3300,100,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,600,0,0
5.21,900,7101,200,4400,7401,2200,0,0,46243,1100,3200,1400,300,3500,700,200,0,1300,100,100,0,0,0,0,0,0,3900,2300,0,0,0,0,0,0,0,0,0,0,0,0,0,200,100,0,0,0,0,0
5.73,800,5901,200,3800,6001,1500,0,0,51152,1000,4400,400,500,3300,1000,400,0,900,200,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.26,800,7001,300,6301,8101,1400,0,0,51152,1300,4800,1500,300,3100,1200,300,0,1100,400,100,0,0,0,0,0,0,400,49248,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0
6.78,1000,6001,100,4300,7501,1700,0,0,50451,1600,4400,400,500,2100,1400,200,0,700,100,100,0,0,0,0,0,0,100,41735,0,0,0,0,0,0,0,0,0,0,0,0,0,600,0,0,0,0,0,0
7.30,900,6301,400,5201,6501,2000,0,100,50150,600,3400,400,400,1700,1200,100,0,1200,100,100,0,0,0,0,0,0,5701,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0
7.82,600,5601,300,5301,6601,1700,0,100,49950,400,3900,1400,400,3500,300,100,0,900,100,0,0,0,0,0,0,600,6801,15205,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,600,0,0
8.34,300,6901,500,5701,6501,1600,0,100,52455,400,4800,1500,200,2300,500,400,100,1000,200,100,0,0,0,0,0,200,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,200,0,0
8.86,1100,7001,100,4200,6301,1300,0,0,54559,2000,4400,1200,200,2400,1500,500,0,1100,100,0,100,0,0,0,0,0,800,600,0,0,0,0,0,0,0,0,0,0,0,0,0,900,0,0,0,0,0,0
9.38,1100,7601,200,4500,8001,1600,100,100,55261,700,4700,900,300,1300,1400,100,0,600,300,0,0,0,0,0,0,0,100,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.90,1300,6201,200,3900,6601,1500,0,400,53156,1500,4700,1000,300,2500,900,100,0,400,0,0,0,200,0,0,0,0,0,7701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.43,1300,6401,300,4100,6901,2100,100,100,48247,700,3000,800,400,1700,1000,0,0,1200,500,100,0,0,0,0,0,1800,18407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1800,0,0
10.95,1100,7001,400,5000,6501,900,0,0,52655,1000,4400,700,100,2200,1500,300,0,1400,100,100,0,0,0,0,0,0,4200,19207,200,0,0,0,0,0,0,0,0,100,0,0,0,300,0,0,0,0,0,0
11.47,1100,6101,700,3000,6201,1600,0,100,53858,1500,4000,1000,600,2000,600,0,100,1100,100,100,0,0,100,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,100,0,0,0,0,0
11.99,700,6601,200,3800,5801,800,0,0,45041,1100,4000,800,200,2100,1200,100,0,900,200,200,0,0,0,0,0,0,500,5901,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0
12.51,700,7101,100,6501,7701,2300,0,200,50351,1200,4100,1000,600,2500,1100,0,0,1100,0,0,0,100,0,0,0,0,0,58368,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.03,1500,6701,900,4500,5000,1600,0,100,48948,500,3800,600,100,2000,1300,200,0,400,300,200,0,0,0,0,0,600,0,56363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,0,0
13.56,900,6401,100,3900,6701,1900,0,0,48146,1100,4000,1200,300,2400,900,0,100,1100,0,0,0,0,0,0,0,0,200,20308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0
14.08,600,6601,300,4200,6701,1500,0,100,51754,500,3700,1200,400,2300,1500,100,0,1100,200,0,0,0,0,0,0,300,200,300,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0
14.60,1000,6901,300,4100,7001,1200,0,100,46543,800,5000,700,500,2400,1200,0,200,1700,100,100,0,0,0,0,0,0,1200,8001,100,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0
15.12,800,6101,300,4000,6901,1300,0,100,52956,1100,3300,800,600,1100,1400,100,0,500,0,100,0,0,0,0,0,0,300,59571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
