"Bischoff_2a_P11","Thu Nov 23 16:38:40 2017"
Time in Seconds,"Li7","Al27","Si29","S33","Ca44","Sc45","Ti49","V51","Cr52","Cr53","Mn55","Fe57","Co59","Ni60","Cu65","Zn66","Ga71","Ge72","As75","Rb85","Sr88","Y89","Zr90","Nb93","Mo97","In115","Sn119","Sn118","Sb121","Cs133","La139","Ce140","Nd143","Sm147","Eu151","Gd157","Tb159","Dy163","Er167","Hf178","Ta181","W183","Pb206","U238","Tc97","Sn115","Pm147","Pu238"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.52,500,6401,300,4100,7001,1600,0,100,51754,1100,4200,1200,500,2500,1300,0,0,900,0,0,0,0,0,0,0,0,7901,5601,0,0,100,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
1.04,400,6701,100,4900,7201,1500,0,0,51052,1100,3600,700,400,3100,1000,200,100,800,200,100,0,0,0,0,0,0,0,23111,100,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0
1.56,800,7701,500,4800,8401,1700,0,0,54058,700,4100,1000,200,2600,1300,100,0,700,600,0,0,0,0,0,0,100,900,1200,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
2.09,1100,7301,600,3200,6401,1400,200,100,54559,900,2900,1100,400,1800,700,0,0,1000,200,0,0,100,0,0,0,300,5701,46143,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,0,0,300,0,0
2.61,900,8001,300,4500,8401,1300,100,0,54760,1700,3400,1900,200,2400,1300,300,200,1100,400,0,0,0,0,0,0,0,100,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,700,6801,500,5401,6101,2000,0,0,51854,600,4300,1200,100,3300,1400,0,0,1000,300,100,0,0,0,0,0,0,0,62478,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,0,0,0,0
3.65,1100,9002,0,3400,8101,700,0,200,52455,1400,2700,400,300,3200,1300,200,0,500,200,100,0,0,0,0,0,0,8101,1300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.17,1300,6401,100,4400,7201,1700,0,0,51453,600,4000,600,400,1700,800,300,0,1100,400,0,0,0,100,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0
4.69,800,6701,600,2800,8001,1300,0,0,48046,400,3500,500,0,2000,600,100,100,1400,100,0,0,0,0,0,0,0,5801,28516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.21,1100,7501,100,4200,7401,1100,0,100,54860,1200,5301,1000,200,1800,1200,300,0,800,300,0,0,0,0,0,0,0,400,5501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0
5.74,600,7501,200,5000,7601,1500,100,0,52455,1200,4400,800,300,1700,1000,200,0,1000,200,0,0,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.26,700,6901,0,4400,6301,1600,0,0,54159,1400,3700,500,500,2100,1300,400,100,1500,0,0,0,0,0,0,0,300,1100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,300,0,0
6.78,500,7001,500,4400,5601,2000,0,0,53758,900,4100,900,400,3200,1100,200,100,600,0,0,0,100,0,100,0,100,1300,17306,200,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,100,0,0
7.30,500,7901,200,4500,7601,1400,0,200,48948,1200,3700,800,200,2700,700,200,0,700,100,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.82,1200,6801,500,4100,6901,1900,100,100,49749,900,4000,1000,300,1900,1100,100,0,1100,300,200,0,0,0,0,0,100,0,13504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
8.34,600,5901,300,4600,7301,1300,0,0,50751,1300,4900,900,300,2400,900,100,0,800,300,100,0,0,0,0,0,100,100,11102,0,100,0,0,0,0,0,200,0,0,0,100,0,0,0,0,0,100,0,0
8.86,700,6401,300,4500,6701,1200,100,100,51854,300,3200,800,400,3500,1600,100,0,700,200,200,0,0,0,0,0,600,2800,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,0,0
9.39,700,8201,200,4400,6501,1600,0,0,48247,800,4400,900,300,2000,1000,200,0,1000,0,100,0,0,0,0,0,100,100,27615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,100,0,0
9.91,1000,6701,400,3100,6801,1400,0,100,54459,600,4500,500,100,2500,900,0,100,700,100,0,0,0,100,0,0,0,0,6401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0
