"Bischoff_2a_P3","Thu Nov 23 16:20:41 2017"
Time in Seconds,"Li7","Al27","Si29","S33","Ca44","Sc45","Ti49","V51","Cr52","Cr53","Mn55","Fe57","Co59","Ni60","Cu65","Zn66","Ga71","Ge72","As75","Rb85","Sr88","Y89","Zr90","Nb93","Mo97","In115","Sn119","Sn118","Sb121","Cs133","La139","Ce140","Nd143","Sm147","Eu151","Gd157","Tb159","Dy163","Er167","Hf178","Ta181","W183","Pb206","U238","Tc97","Sn115","Pm147","Pu238"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.52,300,8101,0,3200,8401,1800,0,100,60172,600,5000,1100,400,2800,1000,100,0,1000,100,200,0,0,0,0,0,400,6201,21409,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,400,0,0
1.04,800,5901,300,4700,6501,2300,0,0,56664,1100,4200,500,400,1600,900,0,0,1400,200,0,0,0,0,0,0,3800,6401,39331,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,3800,0,0
1.56,400,5801,0,3400,8101,1900,0,100,57366,1100,4000,1700,300,3900,1100,0,0,1000,200,0,0,100,0,0,0,500,17206,4800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0
2.08,500,6701,200,4400,6701,1600,0,100,56764,1200,4300,1300,200,2600,1100,0,100,1400,100,0,0,0,0,0,0,500,11303,101305,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0
2.61,900,6201,300,5201,5901,1900,0,0,55662,900,3500,800,300,3000,600,200,100,800,100,0,0,0,0,0,0,0,5101,119786,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,100,0
3.13,800,6901,300,3600,7401,1600,0,100,53858,1100,4200,1300,200,2300,1100,300,0,1800,400,0,0,100,100,0,0,0,2800,3900,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,100
3.65,500,5701,300,3900,8401,2000,0,100,59571,1200,4900,1500,400,2200,1300,100,100,800,100,100,100,0,0,0,0,0,8401,32221,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.17,1300,6401,500,4400,7801,2200,0,100,57065,600,4100,700,300,2000,400,300,0,1000,200,0,0,0,0,0,0,200,200,17806,200,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,200,0,0
4.69,600,7101,200,4600,7901,1600,0,100,60172,800,5901,700,300,1900,800,200,0,700,300,100,0,0,0,0,0,700,1700,63982,0,100,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,700,0,0
5.21,600,8201,400,3300,6601,1400,0,0,54559,1200,4200,1100,700,2300,1800,0,100,1100,100,100,0,0,0,0,0,0,13203,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
