"Bischoff_2a_P15","Thu Nov 23 16:48:34 2017"
Time in Seconds,"Li7","Al27","Si29","S33","Ca44","Sc45","Ti49","V51","Cr52","Cr53","Mn55","Fe57","Co59","Ni60","Cu65","Zn66","Ga71","Ge72","As75","Rb85","Sr88","Y89","Zr90","Nb93","Mo97","In115","Sn119","Sn118","Sb121","Cs133","La139","Ce140","Nd143","Sm147","Eu151","Gd157","Tb159","Dy163","Er167","Hf178","Ta181","W183","Pb206","U238","Tc97","Sn115","Pm147","Pu238"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.52,1100,6101,300,2900,8501,2200,0,100,54559,600,5801,700,400,3600,1200,0,0,1200,300,0,0,0,0,0,0,1100,31820,84442,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,1100,0,0
1.04,700,8301,200,4500,5901,800,0,0,51954,800,4600,1300,300,1600,1500,0,0,900,100,100,0,0,0,0,0,600,28917,39932,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,600,0,0
1.56,700,7201,200,5401,6501,2100,0,0,51252,1200,3700,1400,400,3400,1200,0,0,1300,200,100,0,0,0,0,0,700,10602,1700,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700,0,0
2.09,700,5901,100,3100,7301,1200,100,0,55161,1000,4200,1400,0,2200,1400,100,100,700,0,0,0,0,0,0,0,500,30819,37428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0
2.61,600,7401,200,4300,7501,1500,0,200,53658,600,3800,600,400,2300,1700,0,0,900,200,100,0,0,100,0,0,0,31920,79326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0
3.13,800,7301,200,3500,5301,1200,0,0,46543,900,3500,600,300,3400,700,0,100,1000,0,0,0,0,0,0,0,0,22410,54660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.65,600,6901,300,3700,7001,1100,100,0,50351,700,5501,700,100,3600,1500,200,0,500,100,200,0,0,0,0,0,900,19207,56464,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,900,0,0
4.17,500,9402,400,3400,7301,1900,0,100,52555,600,2500,1000,200,3000,1400,200,200,700,100,0,0,0,100,0,0,100,37128,300,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,100,0,0
4.69,1300,9502,400,3900,8101,1100,0,0,49549,1100,4400,1400,700,2200,700,100,100,800,300,100,100,0,0,0,0,1200,4900,2800,0,100,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,1200,0,0
5.21,900,7501,100,5101,6301,1900,0,0,50952,700,3400,1100,200,2900,1300,100,200,1700,100,100,0,0,100,0,100,300,20308,29317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,100,300,0,0
5.73,400,7201,300,3900,8301,1700,0,0,54058,1500,5101,700,400,3200,600,100,0,1500,200,0,0,0,100,0,0,400,36627,14704,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,400,0,0
6.26,900,6301,400,3000,7201,2400,0,0,49649,1000,3300,800,400,2000,1000,0,100,1700,0,0,0,0,0,0,0,600,6001,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,0,0
6.78,700,7601,300,3800,6201,1400,100,100,51152,800,3800,800,300,2000,1500,200,100,700,600,0,0,0,0,0,0,2200,30519,84933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2200,0,0
7.30,600,7501,0,5000,6901,2000,0,200,45742,1000,4600,1400,300,2200,1400,0,0,1200,100,0,200,0,0,0,0,900,28016,9002,0,0,0,0,0,0,0,0,0,0,0,0,0,400,0,0,0,900,0,0
7.82,900,6301,300,2800,6301,1700,0,0,52956,1000,3500,700,200,1700,1000,300,0,900,0,100,0,0,0,0,0,1500,47846,46143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,0,0
8.34,700,6501,200,4100,6401,1900,0,0,46443,600,4100,1500,0,1900,1700,100,0,400,300,100,0,0,0,0,0,100,28116,38329,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,100,0,0
8.86,800,6701,100,4900,6001,1900,0,100,46944,1200,4600,900,100,1900,1700,200,0,800,200,0,0,0,0,0,0,300,10802,74912,0,0,100,0,0,0,0,0,0,0,0,0,0,700,0,0,0,300,0,0
9.38,700,7901,300,3200,7201,1300,0,0,47645,900,3000,1000,400,3200,1400,200,0,600,200,0,0,0,0,0,0,400,16806,44339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,0,0
9.91,700,6701,100,4600,5501,1300,0,100,48347,1000,3900,1200,100,2000,1800,100,0,1000,100,100,100,0,0,0,0,100,13304,10302,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,0,100,0,0
