"Bischoff_2a_P1","Thu Nov 23 16:15:23 2017"
Time in Seconds,"Li7","Al27","Si29","S33","Ca44","Sc45","Ti49","V51","Cr52","Cr53","Mn55","Fe57","Co59","Ni60","Cu65","Zn66","Ga71","Ge72","As75","Rb85","Sr88","Y89","Zr90","Nb93","Mo97","In115","Sn119","Sn118","Sb121","Cs133","La139","Ce140","Nd143","Sm147","Eu151","Gd157","Tb159","Dy163","Er167","Hf178","Ta181","W183","Pb206","U238","Tc97","Sn115","Pm147","Pu238"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.52,700,7401,200,5501,9902,1000,0,100,63982,700,4900,800,300,2400,500,100,0,1200,200,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0
1.04,1200,6101,100,4800,9402,2200,0,200,64984,1500,6101,1100,100,2600,1000,0,0,1500,300,100,0,0,0,0,0,0,200,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.56,1000,5501,600,4900,9902,1500,0,100,67992,1000,5601,1000,600,3600,1300,0,0,1300,200,0,0,0,0,0,0,0,100,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.09,600,5701,100,4600,7701,900,0,100,66087,1100,5301,1200,600,2400,1500,100,0,1100,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.61,900,6001,400,3500,7101,1800,0,100,63581,700,4100,1300,400,2300,700,100,100,1500,600,0,0,0,0,0,0,0,200,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,100
3.13,500,5101,300,6201,8902,1600,0,0,62378,800,5601,1100,100,1900,1100,100,0,800,200,100,0,0,0,0,0,0,100,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0
3.65,400,5801,400,4300,9002,1800,0,0,60172,1000,4900,800,100,1700,1200,0,0,1400,500,100,0,0,0,0,0,0,100,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0
4.17,900,8001,100,5101,8301,1600,100,100,69496,900,3800,800,400,1700,700,100,0,1300,200,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.69,1400,7401,300,4800,8301,500,100,300,65385,1100,5701,900,300,2700,1300,0,0,900,200,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.21,1100,5701,400,4300,8902,1900,0,100,63079,1100,4800,1400,400,2200,1200,0,100,800,300,100,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.74,500,8001,200,4600,7501,1300,0,100,65786,1300,3700,1000,200,2800,1400,0,0,1400,100,0,0,0,100,0,100,0,100,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0
6.26,500,6801,300,4200,7301,2200,0,100,64684,1000,5601,900,400,2800,800,200,100,1300,300,0,0,0,0,0,0,0,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.78,1000,6001,200,3600,8501,1500,100,100,65586,900,5801,700,200,2100,1200,200,0,900,200,200,100,0,0,0,0,0,100,100,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0
7.30,600,5401,400,4200,8301,1500,0,200,64082,900,4800,1400,300,3200,900,500,100,1200,400,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.82,1100,6901,600,4900,7701,1800,0,300,63681,1300,4800,600,400,2600,800,200,0,800,300,100,0,0,0,0,0,100,200,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
8.34,1000,5901,200,3800,8501,2200,0,0,64984,900,5101,1400,200,2600,600,100,0,1100,100,100,0,0,0,0,0,0,300,200,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0
8.86,1200,6201,100,5401,7801,1800,0,100,65385,500,4100,1300,400,3000,1600,100,200,900,100,100,0,0,0,0,100,0,100,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0
9.39,400,7201,200,4900,10402,1300,0,0,65185,1300,6501,1200,600,1700,800,0,0,900,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
