"NIST 610-1","Thu Nov 23 14:59:12 2017"
Time in Seconds,"Li7","Al27","Si29","S33","Ca44","Sc45","Ti49","V51","Cr52","Cr53","Mn55","Fe57","Co59","Ni60","Cu65","Zn66","Ga71","Ge72","As75","Rb85","Sr88","Y89","Zr90","Nb93","Mo97","In115","Sn119","Sn118","Sb121","Cs133","La139","Ce140","Nd143","Sm147","Eu151","Gd157","Tb159","Dy163","Er167","Hf178","Ta181","W183","Pb206","U238","Tc97","Sn115","Pm147","Pu238"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.52,1100,7001,0,3900,9402,2400,200,0,66488,400,4700,1300,300,2200,1400,100,100,700,100,0,0,0,100,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.04,1000,7701,300,5401,9902,1900,0,400,67090,500,5000,1100,100,2100,1000,300,200,1200,0,100,0,0,100,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.56,100,6201,100,4500,9502,1000,0,100,65185,1100,5301,1800,300,2200,800,100,100,1300,300,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.08,1000,7301,200,3900,8301,2300,0,100,67290,1000,5201,1400,400,2500,1100,0,0,900,500,100,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0
2.61,600,7001,400,3800,8401,2300,0,200,66488,1100,5801,1300,0,2600,1600,0,0,1700,100,200,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.13,700,6501,400,4400,8501,1900,100,0,62979,800,4400,900,100,2200,1800,300,100,1200,300,100,100,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
3.65,800,7401,100,4600,8802,1600,0,200,62678,1000,5601,1300,500,1600,1300,100,0,1300,100,0,0,0,0,100,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0
4.17,1000,8101,600,3800,6701,1400,0,0,59070,1700,5401,900,800,2600,900,100,100,900,600,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.69,800,7101,400,5201,9402,2300,100,200,67290,1100,5701,400,200,2900,1100,100,0,700,300,100,0,0,0,0,0,0,200,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.21,600,6801,200,4000,7401,2100,0,200,63380,1000,5201,1500,300,2000,1200,0,0,1100,300,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.73,700,6901,500,3300,8902,1500,100,0,62879,900,4400,1300,400,2200,700,0,100,1300,200,0,0,0,100,0,0,0,200,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
6.25,600,7101,600,5301,10802,1400,0,200,63180,1000,4600,1100,600,3100,1600,100,0,900,200,200,100,100,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0
6.78,700,7001,500,4900,6701,2300,0,100,60473,800,5501,900,400,2300,900,300,0,1300,600,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0
7.30,900,6801,200,3900,7701,2000,0,200,62779,1100,3800,1200,600,1900,1000,200,0,800,500,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
