Sample	Fe
CS13_Poona_D4_21	0.296
CS13_Poona_D4_22	0.296
CS14_Bamboo_I_1	0.2026
CS14_Bamboo_I_2	0.2171
CS14_Bamboo_I_3	0.2318
CS14_Bamboo_I_4	0.2496
NIST612_23	0.0051
NIST610_23	0.0458
CS14_Bamboo_I_5	0.2414
CS14_Bamboo_I_6	0.2474
CS14_Bamboo_I_7	0.2761
CS14_Bamboo_I_8	0.3165
CS14_Bamboo_I_9	0.3164
CS14_Bamboo_I_10	0.3096
CS14_Bamboo_I_11	0.3022
CS14_Bamboo_I_12	0.3023
NIST612_24	0.0051
NIST610_24	0.0458
CS14_Bamboo_I_13	0.3074
CS14_Bamboo_I_14	0.3093
CS14_Bamboo_I_15	0.3038
CS14_Bamboo_I_16	0.3074
CS14_Goias_J_1	0.303
CS14_Goias_J_2	0.0045
CS14_Goias_J_3	0.1092
CS14_Goias_J_4	0.0621
NIST612_25	0.0051
NIST610_25	0.0458
CS14_Goias_J_5	0.2204
CS14_Goias_J_6	0.2217
CS14_Goias_J_7	0.3102
CS14_Goias_J_8	0.0448
CS14_Goias_J_9	0.1631
CS14_Goias_J_10	0.1486
CS14_Goias_J_11	0.1212
NIST612_26	0.0051
NIST610_26	0.0458
CS14_Moolyella_B_1	0.1439
CS14_Moolyella_B_2	0.1448
CS14_Moolyella_B_3	0.1466
CS14_Moolyella_B_4	0.1548
CS14_Moolyella_B_5	0.1541
CS14_Moolyella_B_6	0.1491
CS14_Moolyella_B_7	0.1634
CS14_Moolyella_B_8	0.1667
NIST612_27	0.0051
NIST610_27	0.0458
CS14_Moolyella_B_9	0.1638
CS14_Moolyella_B_10	0.1647
CS14_Moolyella_B_11	0.1672
CS14_Moolyella_B_12	0.1808
CS14_Moolyella_B_13	0.1888
CS14_Moolyella_B_14	0.1785
CS14_Moolyella_B_15	0.1785
NIST612_28	0.0051
NIST610_28	0.0458
CS14_Renison_K_1	0.7082
CS14_Renison_K_2	0.7495
CS14_Renison_K_3	0.5707
CS14_Renison_K_4	0.6615
CS14_Renison_K_5	0.3996
CS14_Renison_K_6	0.3224
CS14_Renison_K_7	0.3253
CS14_Renison_K_8	0.4316
NIST612_29	0.0051
NIST610_29	0.0458
CS14_Renison_K_9	0.3055
CS14_Renison_K_10	0.0635
CS14_Renison_K_11	0.3731
CS14_Renison_K_12	0.7471
CS14_Renison_K_13	0.5771
CS14_Tinshafts_D_1	0.3898
CS14_Tinshafts_D_2	0.3898
CS14_Tinshafts_D_3	0.4081
NIST612_30	0.0051
NIST610_30	0.0458
CS14_Tinshafts_D_4	0.4571
CS14_Tinshafts_D_5	0.4982
CS14_Tinshafts_D_6	0.5083
CS14_Tinshafts_D_7	0.5442
CS14_Tinshafts_D_8	0.5495
CS14_Tinshafts_D_9	0.5637
CS14_Tinshafts_D_10	0.5209
NIST612_31	0.0051
