Order,Sample,Fe,CONFIDENCE
181,CS13_Poona_D4_14,0.296,MEAN
182,CS13_Poona_D4_15,0.296,MEAN
183,CS13_Poona_D4_16,0.296,MEAN
184,CS13_Poona_D4_17,0.296,MEAN
185,CS13_Poona_D4_18,0.296,MEAN
188,CS13_Poona_D4_19,0.296,MEAN
189,CS13_Poona_D4_20,0.296,MEAN
190,CS13_Poona_D4_21,0.296,MEAN
191,CS13_Poona_D4_22,0.296,MEAN
261,CS14_Tinshafts_D_1,0.3898,POINT
262,CS14_Tinshafts_D_2,0.3898,POINT
263,CS14_Tinshafts_D_3,0.4081,POINT
266,CS14_Tinshafts_D_4,0.4571,POINT
267,CS14_Tinshafts_D_5,0.4982,POINT
268,CS14_Tinshafts_D_6,0.5083,POINT
269,CS14_Tinshafts_D_7,0.5442,POINT
270,CS14_Tinshafts_D_8,0.5495,POINT
271,CS14_Tinshafts_D_9,0.5637,POINT
272,CS14_Tinshafts_D_10,0.5209,POINT
275,CS14_Tinshafts_D_11,0.4969,POINT
276,CS14_Tinshafts_D_12,0.503,POINT
277,CS14_Tinshafts_D_13,0.5187,POINT
278,CS14_Tinshafts_D_14,0.5226,POINT
279,CS14_Tinshafts_D_15,0.5213,POINT
280,CS14_Tinshafts_D_16,0.5232,POINT
281,CS14_Tinshafts_D_17,0.4448,POINT
282,CS14_Tinshafts_D_18,0.341,POINT
246,CS14_Renison_K_1,0.7082,POINT
247,CS14_Renison_K_2,0.7495,POINT
248,CS14_Renison_K_3,0.5707,POINT
249,CS14_Renison_K_4,0.6615,POINT
250,CS14_Renison_K_5,0.3996,POINT
251,CS14_Renison_K_6,0.3224,POINT
252,CS14_Renison_K_7,0.3253,POINT
253,CS14_Renison_K_8,0.4316,POINT
256,CS14_Renison_K_9,0.3055,POINT
257,CS14_Renison_K_10,0.0635,POINT
258,CS14_Renison_K_11,0.3731,POINT
259,CS14_Renison_K_12,0.7471,POINT
260,CS14_Renison_K_13,0.5771,POINT
32,CS13_Saltwater_E1_1,0.055,MEAN
33,CS13_Saltwater_E1_2,0.055,MEAN
34,CS13_Saltwater_E1_3,0.055,MEAN
37,CS13_Saltwater_E1_4,0.055,MEAN
38,CS13_Saltwater_E1_5,0.055,MEAN
39,CS13_Saltwater_E1_6,0.055,MEAN
40,CS13_Saltwater_E1_7,0.055,MEAN
41,CS13_Saltwater_E1_8,0.055,MEAN
42,CS13_Saltwater_E1_9,0.055,MEAN
43,CS13_Saltwater_E1_10,0.055,MEAN
46,CS13_Saltwater_E1_11,0.055,MEAN
47,CS13_Saltwater_E1_12,0.055,MEAN
48,CS13_Saltwater_E1_13,0.055,MEAN
49,CS13_Saltwater_E1_14,0.055,MEAN
50,CS13_Saltwater_E1_15,0.055,MEAN
51,CS13_Saltwater_E1_16,0.055,MEAN
52,CS13_Saltwater_E1_17,0.055,MEAN
55,CS13_Saltwater_E1_18,0.055,MEAN
56,CS13_Saltwater_E1_19,0.055,MEAN
57,CS13_Saltwater_E1_20,0.055,MEAN
58,CS13_Saltwater_E1_21,0.055,MEAN
59,CS13_Saltwater_E1_22,0.055,MEAN
60,CS13_Saltwater_E1_23,0.055,MEAN
98,CS13_Saltwater_E3_1,0.055,MEAN
99,CS13_Saltwater_E3_2,0.055,MEAN
100,CS13_Saltwater_E3_3,0.055,MEAN
101,CS13_Saltwater_E3_4,0.055,MEAN
102,CS13_Saltwater_E3_5,0.055,MEAN
103,CS13_Saltwater_E3_6,0.055,MEAN
104,CS13_Saltwater_E3_7,0.055,MEAN
105,CS13_Saltwater_E3_8,0.055,MEAN
108,CS13_Saltwater_E3_9,0.055,MEAN
109,CS13_Saltwater_E3_10,0.055,MEAN
110,CS13_Saltwater_E3_11,0.055,MEAN
111,CS13_Saltwater_E3_12,0.055,MEAN
112,CS13_Saltwater_E3_13,0.055,MEAN
