Sample ID,SAMPLE,STYLE,Spot ID,IS,Ca_ppm_m44,Sc_ppm_m45,Ti_ppm_m49,Mn_ppm_m55,Fe_ppm_m57,Zr_ppm_m90,Nb_ppm_m93,Sn_ppm_m119,Sb_ppm_m121,La_ppm_m139,Ce_ppm_m140,Pr_ppm_m141,Nd_ppm_m143,Sm_ppm_m147,Eu_ppm_m151,Gd_ppm_m157,Tb_ppm_m159,Dy_ppm_m161,Y_ppm_m89,Ho_ppm_m165,Er_ppm_m167,Tm_ppm_m169,Yb_ppm_m171,Lu_ppm_m175,Hf_ppm_m179,Ta_ppm_m181,W_ppm_m183,Pb_ppm_m208,Bi_ppm_m209,Th_ppm_m232,U_ppm_m238,Ca_ppm_m44_LOD,Sc_ppm_m45_LOD,Ti_ppm_m49_LOD,Mn_ppm_m55_LOD,Fe_ppm_m57_LOD,Zr_ppm_m90_LOD,Nb_ppm_m93_LOD,Sn_ppm_m119_LOD,Sb_ppm_m121_LOD,La_ppm_m139_LOD,Ce_ppm_m140_LOD,Pr_ppm_m141_LOD,Nd_ppm_m143_LOD,Sm_ppm_m147_LOD,Eu_ppm_m151_LOD,Gd_ppm_m157_LOD,Tb_ppm_m159_LOD,Dy_ppm_m161_LOD,Y_ppm_m89_LOD,Ho_ppm_m165_LOD,Er_ppm_m167_LOD,Tm_ppm_m169_LOD,Yb_ppm_m171_LOD,Lu_ppm_m175_LOD,Hf_ppm_m178_LOD,Ta_ppm_m181_LOD,W_ppm_m183_LOD,Pb_ppm_m208_LOD,Bi_ppm_m209_LOD,Th_ppm_m232_LOD,U_ppm_m238_LOD
#169506,Greenbushes - B,Pegmatite,GB04C_02,119Sn,137.78,387.25,3574.93,152.35,6343.54,479.67,2830.28,1914229.25,500.09,0.009,0.009,0.039,0.019,0.03,0.007,3.55,0.575,0.029,0.059,0.004,0.04,-,0.026,0.004,453.69,40975.44,3.17,0.433,0.02,0.012,1.88,85,0.6,1.3,0.8,33,0.04,0.1,0.02,0.2,0.04,0.007,0.008,0.006,0.04,0.03,0.008,0.04,0.004,0.02,0.004,0.01,0.003,0.02,0.003,0.01,0.01,0.05,0.02,0.008,0.004,0.005
#169506,Greenbushes - B,Pegmatite,GB04C_03,119Sn,33.64,30.37,663.7,33.44,1237.23,177.41,442.74,521106.97,29.66,0.002,0.002,0.017,0.016,-,0.003,0.935,0.163,0.003,0.013,0.009,0.006,0.002,0.011,0.001,126.57,7857.82,1.276,0.022,0.003,0.002,0.424,85,0.6,1.3,0.8,33,0.04,0.1,0.02,0.2,0.04,0.007,0.008,0.006,0.04,0.03,0.008,0.04,0.004,0.02,0.004,0.01,0.003,0.02,0.003,0.01,0.01,0.05,0.02,0.008,0.004,0.005
#169506,Greenbushes - B,Pegmatite,GB04C_04,119Sn,45.59,19.87,1165.54,49.86,1758.76,242.12,556.31,670421.13,66.89,0.005,0.002,0.003,0.02,0.014,0.071,1.208,0.203,0.009,0.02,0.027,0.013,0.016,0.015,0.014,151.21,11645.47,1.77,0.025,0.149,0.003,0.619,85,0.6,1.3,0.8,33,0.04,0.1,0.02,0.2,0.04,0.007,0.008,0.006,0.04,0.03,0.008,0.04,0.004,0.02,0.004,0.01,0.003,0.02,0.003,0.01,0.01,0.05,0.02,0.008,0.004,0.005
#169506,Greenbushes - B,Pegmatite,GB04C_05,119Sn,35.7,73.38,929.01,51.55,1680,199.32,603.14,507401.25,196.46,0.002,0.003,0.027,0.014,0.014,-,0.928,0.17,0.012,0.017,-,0.006,-,-,-,132.79,11716.1,4.82,0.321,0.419,0.015,0.682,85,0.6,1.3,0.8,33,0.04,0.1,0.02,0.2,0.04,0.007,0.008,0.006,0.04,0.03,0.008,0.04,0.004,0.02,0.004,0.01,0.003,0.02,0.003,0.01,0.01,0.05,0.02,0.008,0.004,0.005
#169508,Greenbushes - B,Pegmatite,GB04F_01,119Sn,52.76,74.05,2020.45,57.99,2298.44,574.36,1497.92,791454.31,8,0.003,0.023,0.002,0.035,-,0.054,1.359,0.241,0.012,0.024,0.019,0.006,0.003,0.013,0.003,223.29,12095.75,13.62,0.393,0.014,0.006,3.17,85,0.6,1.3,0.8,33,0.04,0.1,0.02,0.2,0.04,0.007,0.008,0.006,0.04,0.03,0.008,0.04,0.004,0.02,0.004,0.01,0.003,0.02,0.003,0.01,0.01,0.05,0.02,0.008,0.004,0.005
#169508,Greenbushes - B,Pegmatite,GB04F_02,119Sn,42.37,109.2,1815.5,131.99,3328.62,638.61,2530.86,653594.06,30.46,0.001,0.002,0.001,0.004,0.009,-,1.244,0.203,0.007,0.022,0.002,0.009,-,0.016,0.001,228.06,18699.85,18.11,0.133,0.316,0.034,4.2,85,0.6,1.3,0.8,33,0.04,0.1,0.02,0.2,0.04,0.007,0.008,0.006,0.04,0.03,0.008,0.04,0.004,0.02,0.004,0.01,0.003,0.02,0.003,0.01,0.01,0.05,0.02,0.008,0.004,0.005
#169508,Greenbushes - B,Pegmatite,GB04F_03,119Sn,44.17,118.15,2060.47,118.46,3648.02,621.01,2869.15,647840.69,5.59,-,0.002,0.003,0.021,0.005,0.004,1.097,0.201,0.004,0.029,-,0.005,0.004,0.017,0.002,200.87,19194.27,23.65,0.037,0.009,0.013,5.36,85,0.6,1.3,0.8,33,0.04,0.1,0.02,0.2,0.04,0.007,0.008,0.006,0.04,0.03,0.008,0.04,0.004,0.02,0.004,0.01,0.003,0.02,0.003,0.01,0.01,0.05,0.02,0.008,0.004,0.005
#169508,Greenbushes - B,Pegmatite,GB04F_04,119Sn,57.02,133.07,2465.63,261.38,3967.33,768.54,3284.9,816268.38,54.78,0.005,0.028,0.006,0.046,0.024,0.004,1.6,0.25,0.031,0.023,-,0.01,0.013,0.018,0.003,245.88,21551.62,34.53,0.192,0.163,0.073,7.3,85,0.6,1.3,0.8,33,0.04,0.1,0.02,0.2,0.04,0.007,0.008,0.006,0.04,0.03,0.008,0.04,0.004,0.02,0.004,0.01,0.003,0.02,0.003,0.01,0.01,0.05,0.02,0.008,0.004,0.005
#169508,Greenbushes - B,Pegmatite,GB04F_05,119Sn,52.7,140.03,2276.87,553.79,3865.46,756.24,3217,775004.56,388.3,0.003,0.005,0.002,0.019,-,0.003,1.263,0.259,0.008,0.025,-,-,0.002,0.036,0.002,243.15,23458.68,40.59,0.138,0.096,0.043,8.42,85,0.6,1.3,0.8,33,0.04,0.1,0.02,0.2,0.04,0.007,0.008,0.006,0.04,0.03,0.008,0.04,0.004,0.02,0.004,0.01,0.003,0.02,0.003,0.01,0.01,0.05,0.02,0.008,0.004,0.005
#169508,Greenbushes - B,Pegmatite,GB04F_06,119Sn,25.95,24.58,858.69,30.84,869.07,221.31,567.94,428684.72,6.57,0.003,0.002,0.002,-,-,-,0.828,0.134,0.002,0.014,-,0.009,-,0.007,-,104.98,5368.04,3.46,0.129,0.005,0.008,0.88,85,0.6,1.3,0.8,33,0.04,0.1,0.02,0.2,0.04,0.007,0.008,0.006,0.04,0.03,0.008,0.04,0.004,0.02,0.004,0.01,0.003,0.02,0.003,0.01,0.01,0.05,0.02,0.008,0.004,0.005
