ROCK,Reference,Sample,country,Location1,Location2,Type,Sub type,Age (Ma),Wt.%,SiO2 ,TiO2,Al2O3,Fe2O3t,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,ZrO2,Nb2O5,Y2O3,B2O3,H2O,H2O+,H2O-,CO2,LOI,Total,,A/CNK,Na+K/Al,A/NK,,ppm,Mg,Mn,Ti,S,P,B,F,Cl,Li ,,Nb,Ta,Nb/Ta,Zr,Hf,Zr/Hf
MPG,Ballouard et al.2017b,PONT-14-18,France ,Armorican Massif,Pontivy-Rostrenen,Equigranular leucogranite,Qtz-Fsp-Bt>Ms-,315,,71.07,0.322,15.4,1.754,,,0.0099,0.507,0.79,2.967,5.033,0.45,,,,,,,,,1.5,99.8029,,1.31,0.67,1.49,,,,,,,,,,,100,,6.199,0.679,9.129602356,137.6,4.14,33.23671498
MPG,Ballouard et al.2017b,PONT-14-3,France ,Armorican Massif,Pontivy-Rostrenen,Equigranular leucogranite,Qtz-Fsp-Bt=Ms,315,,72.15,0.263,15.338,1.531,,,0.0163,0.501,0.873,3.573,4.325,0.35,,,,,,,,,1.77,100.6903,,1.26,0.69,1.45,,,,,,,,,,,174,,5.496,1.193,4.606873428,101.5,3.167,32.04925797
MPG,Ballouard et al.2017b,PONT-14-6,France ,Armorican Massif,Pontivy-Rostrenen,Equigranular leucogranite,Qtz-Fsp-Bt>Ms,315,,71.77,0.24,15.02,1.464,,,0.0202,0.422,0.575,3.276,4.739,0.34,,,,,,,,,1.42,99.2862,,1.30,0.70,1.43,,,,,,,,,,,188,,5.687,1.045,5.442105263,96.76,2.989,32.37203078
MPG,Ballouard et al.2017b,PONT-14-14,France ,Armorican Massif,Pontivy-Rostrenen,Equigranular leucogranite,Qtz-Fsp-Ms,315,,73.42,0.09,14.415,0.381,,,0.0105,0.194,0.416,3.021,4.534,0.41,,,,,,,,,1.82,98.7115,,1.36,0.69,1.46,,,,,,,,,,,135,,6.343,2.172,2.920349908,30.66,1.214,25.2553542
MPG,Ballouard et al.2017b,PONT-14-9,France ,Armorican Massif,Pontivy-Rostrenen,Equigranular leucogranite,Qtz-Fsp-Bt>Ms Trm?,315,,73.83,0.109,15.255,0.937,,,0.0361,0.32,0.726,4.659,3.218,0.26,,,,,,,,,1.13,100.4801,,1.22,0.73,1.37,,,,,,,,,,,225,,4.875,1.798,2.71134594,58.24,2.003,29.07638542
MPG,Ballouard et al.2017b,PONT-14-26,France ,Armorican Massif,Pontivy-Rostrenen,Equigranular leucogranite,Qtz-Fsp-Ms> ou = Bt,315,,71.4,0.207,14.753,1.348,,,0.021,0.394,0.633,3.327,5.007,0.41,,,,,,,,,1.15,98.65,,1.22,0.74,1.35,,,,,,,,,,,176,,6.299,1.263,4.98733175,86.04,2.727,31.55115512
MPG,Ballouard et al.2017b,PONT-14-27,France ,Armorican Massif,Pontivy-Rostrenen,Equigranular leucogranite,Qtz-Fsp-Ms> ou = Bt ou Bt>Ms,315,,71.72,0.241,15.52,1.376,,,0.0145,0.425,0.566,2.948,5.582,0.49,,,,,,,,,1.55,100.4325,,1.30,0.70,1.42,,,,,,,,,,,145,,7.558,1.51,5.005298013,97.2,3.029,32.08979861
MPG,Euzen 1993,bl164,France ,Armorican Massif,Pontivy-Rostrenen,Equigranular leucogranite,,315,,71.98,0.25,14.81,1.18,,,0.01,0.34,0.43,2.21,6.06,0.41,,,,,,,,,1.57,99.25,,1.35,0.69,1.45,,,,,,,,,,,,,12,0.84,14.28571429,115,2.9,39.65517241
MPG,Euzen 1993,bl196,France ,Armorican Massif,Pontivy-Rostrenen,Equigranular leucogranite,,315,,71.92,0.21,15.05,1.37,,,0.02,0.38,0.6,2.72,4.94,0.37,,,,,,,,,1.56,99.14,,1.38,0.65,1.53,,,,,,,,,,,,,12,1.89,6.349206349,104,,
MPG,Tartèse et al. 2012,GUI12,France ,Armorican Massif,Pontivy-Rostrenen,Equigranular leucogranite,,315,,70.94,0.34,14.82,1.76,,,0.01,0.56,0.63,2.91,5.83,0.39,,,,,,,,,1.15,99.34,,1.21,0.75,1.34,,,,,,,,,,,,,6.6,1,6.6,154,4.27,36.06557377
MPG,Tartèse et al. 2012,GUI13,France ,Armorican Massif,Pontivy-Rostrenen,Equigranular leucogranite,,315,,71.26,0.3,14.69,1.63,,,0.01,0.49,0.67,2.94,5.3,0.38,,,,,,,,,1.37,99.04,,1.25,0.72,1.39,,,,,,,,,,,,,6.4,1.07,5.981308411,132,3.67,35.96730245
MPG,Euzen 1993,BL172,France ,Armorican Massif,Pontivy-Rostrenen,Equigranular leucogranite,,315,,71.43,0.15,15.41,1.29,,,0.01,0.47,0.36,2.46,5.98,0.28,,,,,,,,,1.51,99.35,,1.38,0.68,1.46,,,,,,,,,,,,,8,1.09,7.339449541,66,1.6,41.25
MPG,Euzen 1993,BL199,France ,Armorican Massif,Pontivy-Rostrenen,Equigranular leucogranite,,315,,72.49,0.17,14.91,1.1,,,0.02,0.29,0.56,3.25,4.79,0.42,,,,,,,,,1.22,99.22,,1.29,0.71,1.42,,,,,,,,,,,,,15,2.5,6,84,,
MPG,Euzen 1993,BL53,France ,Armorican Massif,Pontivy-Rostrenen,Equigranular leucogranite,,315,,72.89,0.17,14.9,0.87,,,0.02,0.2,0.55,3.61,4.36,0.5,,,,,,,,,1.3,99.37,,1.28,0.72,1.40,,,,,,,,,,,,,17,3.6,4.722222222,83,2.4,34.58333333
MPG,Euzen 1993,BL129,France ,Armorican Massif,Pontivy-Rostrenen,Equigranular leucogranite,,315,,74.59,0.15,14.39,1,,,0.02,0.2,0.5,3.53,4.65,0.45,,,,,,,,,0.92,100.4,,1.22,0.75,1.33,,,,,,,,,,,,,15,2.4,6.25,50,1.5,33.33333333
MPG,Euzen 1993,BL193,France ,Armorican Massif,Pontivy-Rostrenen,Equigranular leucogranite,,315,,70.97,0.25,15.45,1.61,,,0.01,0.49,0.47,2.94,5.19,0.35,,,,,,,,,1.67,99.4,,1.37,0.68,1.48,,,,,,,,,,,,,10,1.49,6.711409396,112,2.9,38.62068966
MPG,Euzen 1993,BL193',France ,Armorican Massif,Pontivy-Rostrenen,Equigranular leucogranite,,315,,72.39,0.19,14.89,1.24,,,0.01,0.38,0.54,2.95,5.2,0.42,,,,,,,,,1.38,99.59,,1.30,0.70,1.42,,,,,,,,,,,,,1.67,1.29,1.294573643,86,2.2,39.09090909
MPG,Ballouard et al.2017b,PONT-14-20,France ,Armorican Massif,Pontivy-Rostrenen,Late equigranular leucogranite,Qtz-Fsp-Bt>Ms,315,,72.32,0.217,15.068,1.206,,,0.0157,0.337,0.679,3.292,4.834,0.24,,,,,,,,,1.67,99.8787,,1.27,0.71,1.42,,,,,,,,,,,119,,6.233,1.076,5.792750929,103.3,3.286,31.43639684
