ROCK,Reference,Sample,country,Location1,Location2,Type,Sub type,Age (Ma),Wt.%,SiO2 ,TiO2,Al2O3,Fe2O3t,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,ZrO2,Nb2O5,Y2O3,B2O3,H2O,H2O+,H2O-,CO2,LOI,Total,,A/CNK,Na+K/Al,A/NK,,ppm,Mg,Mn,Ti,S,P,B,F,Cl,Li ,,Nb,Ta,Nb/Ta,Zr,Hf,Zr/Hf
MPG,Raimbault et al. 1995,ESP 99.3,France ,French Massif Central,Beauvoir,fringe,Highest unit of the beauvoir granite,308,,72.16,0.010678254,17.02,0.495,,,,0.061,0.35,0.1,5.37,0.3,,,,,,,,,2.66,99.32,,2.57,0.35,2.85,,,370,349,64,,,,15100,,4490,,110,462,0.238095238,25.7,5.81,
MPG,Raimbault et al. 1995,ESP 107,France ,French Massif Central,Beauvoir,fringe,Highest unit of the beauvoir granite,308,,68.85,0.009009777,17.61,0.122,,,,0.034,0.86,5.07,3.45,1.45,,,,,,,,,2.07,100.5,,1.29,0.69,1.46,,,208,232,54,,,,17700,,5220,,126.8,362,0.350276243,25.3,3.78,
MPG,Raimbault et al. 1995,ESP 118.5,France ,French Massif Central,Beauvoir,hml,heavy mineral-enrich layer at the fringe of the upper B1 interface,308,,68.31,0.007007604,16.77,0.083,,,,0.043,1.46,5.08,2.62,1.77,,,,,,,,,3.47,99.56,,1.21,0.67,1.50,,,257,214,42,,,,17400,,5840,,160.7,320,0.5021875,23.3,3.03,
MPG,Raimbault et al. 1995,ESP 130,France ,French Massif Central,Beauvoir,upB1,upper part of B1 facies,308,,68.68,0.00583967,16.86,0.08,,,,0.045,1.6,4.29,2.92,1.64,,,,,,,,,2.49,99.57,,1.28,0.61,1.65,,,274,145,35,,,,22700,,5137,,113.8,221,0.514932127,25.8,5.46,
MPG,Raimbault et al. 1995,ESP 209.1,France ,French Massif Central,Beauvoir,B1,Faciès B1,308,,69.75,0.008842929,16.7,0.094,,,,0.034,0.38,4.68,3.14,1.37,,,,,,,,,1.82,99.24,,1.42,0.66,1.50,,,207,201,53,,,,19600,,5516,,79.3,89.7,0.884057971,22.1,2.43,
MPG,Raimbault et al. 1995,ESP 209.5,France ,French Massif Central,Beauvoir,Ab,albitite?,308,,64.59,0.010344559,19.29,0.069,,,,0.021,0.31,6.89,3.51,0.91,,,,,,,,,2.02,98.72,,1.23,0.78,1.27,,,124,223,62,,,,37400,,6150,,41.7,54.6,0.763736264,22.8,2.25,
MPG,Raimbault et al. 1995,ESP 209.7,France ,French Massif Central,Beauvoir,B1,Faciès B1,308,,64.66,0.013681513,19.18,0.116,,,,0.023,0.27,4.25,4.29,1.26,,,,,,,,,2.8,99,,1.58,0.61,1.65,,,137,374,82,,,,24000,,9643,,95.5,120.9,0.789909016,31.8,4.97,
MPG,Raimbault et al. 1995,ESP 270,France ,French Massif Central,Beauvoir,B1,Faciès B1,308,,68.59,0.009176625,17.16,0.097,,,,0.009,0.12,5.35,3.17,1.71,,,,,,,,,1.84,99.43,,1.38,0.71,1.40,,,56,215,55,,,,25200,,5688,,114,177,0.644067797,28.7,2.52,
MPG,Raimbault et al. 1995,ESP 335,France ,French Massif Central,Beauvoir,B1,Faciès B1,308,,70.22,0.010678254,17.21,0.149,,,,0.023,0.17,5.03,2.84,1.42,,,,,,,,,1.6,100.1,,1.48,0.66,1.52,,,140,345,64,,,,25300,,5300,,62.5,150,0.416666667,29.2,3.17,
MPG,Raimbault et al. 1995,ESP 445,France ,French Massif Central,Beauvoir,B2,Faciès B2,308,,68.31,0.011679341,17.48,0.214,,,,0.041,0.6,4.54,3.14,1.82,,,,,,,,,1.82,99.38,,1.46,0.62,1.61,,,245,716,70,,,,23300,,1235,,63,76.2,0.826771654,28.3,2.81,
MPG,Raimbault et al. 1995,ESP 508,France ,French Massif Central,Beauvoir,B2,Faciès B2,308,,69.23,0.009009777,17.478,0.193,,,,0.016,0.48,4.76,3.26,1.56,,,,,,,,,1.58,99.89,,1.43,0.65,1.54,,,96,636,54,,,,,,3793,,37.9,49.4,0.767206478,28.9,2.41,
MPG,Raimbault et al. 1995,ESP 518,France ,French Massif Central,Beauvoir,B2,Faciès B2,308,,69.13,0.007174452,18.01,0.11,,,,0.025,0.46,4.99,2.88,1.47,,,,,,,,,1.32,99.83,,1.48,0.63,1.59,,,152,705,43,,,,25300,,4173,,33,60.3,0.547263682,34.1,2.7,
MPG,Raimbault et al. 1995,ESP 522,France ,French Massif Central,Beauvoir,B2,Faciès B2,308,,69.51,0.005005432,17.27,0.177,,,,0.008,0.17,4.87,3.6,1.75,,,,,,,,,1.36,99.89,,1.41,0.69,1.45,,,47,796,30,,,,20400,,3633,,41.9,57.6,0.727430556,28,2,
MPG,Raimbault et al. 1995,ESP 562,France ,French Massif Central,Beauvoir,B2,Faciès B2,308,,68.81,0.013347818,17.36,0.283,,,,0.010,0.41,5.07,3.14,2.32,,,,,,,,,1.47,100.01,,1.39,0.68,1.48,,,63,646,80,,,,19800,,3256,,62.7,64.4,0.973602484,28.4,1.87,
MPG,Raimbault et al. 1995,ESP 633,France ,French Massif Central,Beauvoir,B'2,Faciès B2',308,,72.61,0.009677168,15.96,0.472,,,,0.007,0.27,4.52,3.66,1.06,,,,,,,,,1.08,100.59,,1.34,0.71,1.40,,,42,573,58,,,,16500,,2305,,48.5,39.2,1.237244898,19.4,1.12,
MPG,Raimbault et al. 1995,ESP 657,France ,French Massif Central,Beauvoir,B'2,Faciès B2',308,,71.69,0.00951032,15.81,0.502,,,,0.016,0.38,4.25,3.76,0.95,,,,,,,,,1.44,99.73,,1.35,0.70,1.43,,,97,605,57,,,,16400,,2192,,49.7,40,1.2425,17.6,1.56,
MPG,Raimbault et al. 1995,ESP 717,France ,French Massif Central,Beauvoir,B'2,Faciès B2',308,,71.65,0.010010863,15.96,0.606,,,,0.062,0.55,4.21,3.91,0.84,,,,,,,,,1.2,99.75,,1.31,0.70,1.43,,,372,648,60,,,,14100,,2292,,58.4,41.7,1.400479616,19.4,1.17,
MPG,Raimbault et al. 1995,ESP 751,France ,French Massif Central,Beauvoir,B3,Faciès B3,308,,69.32,0.007508148,17.34,0.265,,,,0.017,0.36,5.16,3.1,1.98,,,,,,,,,1.16,99.68,,1.39,0.68,1.46,,,101,618,45,,,,17200,,2603,,28,38.9,0.719794344,29.9,2.2,
MPG,Raimbault et al. 1995,ESP 771,France ,French Massif Central,Beauvoir,B3,Faciès B3,308,,69.55,0.012847275,16.68,0.49,,,,0.083,1.24,3.98,3.63,1.63,,,,,,,,,1.8,99.96,,1.31,0.63,1.59,,,500,717,77,,,,16600,,2127,,41.3,34.7,1.190201729,27.6,2.36,
MPG,Raimbault et al. 1995,ESP 786,France ,French Massif Central,Beauvoir,B3,Faciès B3,308,,69.94,0.015850534,16.61,0.429,,,,0.030,0.6,4.26,3.67,1.65,,,,,,,,,1.66,99.81,,1.38,0.66,1.51,,,179,722,95,,,,17100,,1950,,44.4,34.9,1.272206304,28.2,1.72,
MPG,Raimbault et al. 1995,EFP 16,France ,French Massif Central,Beauvoir,"B""",apatite-bearing aplitic veins,308,,69.91,0.009677168,16.85,0.356,,,,0.055,1.65,4.12,3.75,0.99,,,,,,,,,1.65,99.28,,1.22,0.64,1.55,,,329,396,58,,,,,,515,,75.6,40.2,1.880597015,14.5,0.9,
MPG,Raimbault et al. 1995,EFP 39,France ,French Massif Central,Beauvoir,"B""",apatite-bearing aplitic veins,308,,70.54,0.008342386,16.07,0.296,,,,0.048,1.62,4.36,4.46,1.07,,,,,,,,,1.65,100.07,,1.08,0.75,1.34,,,288,421,50,,,,,,442,,63.8,38.6,1.652849741,12,0.8,
MPG,Raimbault et al. 1995,E 11,France ,French Massif Central,Beauvoir,fringe,Highest unit of the beauvoir granite,308,,62.54,0.011846188,19.75,0.668,,,,0.068,2.14,5.99,1.88,2.57,,,,,,,,,2.96,98.5,,1.25,0.60,1.66,,,408,366,71,,,,,,2980,,135,394,0.342639594,19.7,5.8,
MPG,Raimbault et al. 1995,E10 21,France ,French Massif Central,Beauvoir,fringe,Highest unit of the beauvoir granite,308,,68.86,0.009009777,18.95,0.19,,,,0.025,0.07,5.15,2.77,0.27,,,,,,,,,1.44,97.7,,1.63,0.61,1.65,,,152,312,54,,,,,,3430,,147,447,0.32885906,29.4,3.6,
MPG,Raimbault et al. 1995,E10 87,France ,French Massif Central,Beauvoir,B1,Faciès B1,308,,70.2,0.009677168,17.77,0.659,,,,0.040,0.23,3.91,3.01,0.24,,,,,,,,,1.96,97.98,,1.76,0.55,1.83,,,241,585,58,,,,,,3869,,135,176,0.767045455,17.4,3.2,
MPG,Raimbault et al. 1995,E10 108,France ,French Massif Central,Beauvoir,B1,Faciès B1,308,,69.48,0.008842929,17.62,0.682,,,,0.082,1.14,2.49,3.24,0.98,,,,,,,,,2.7,98.33,,1.82,0.43,2.32,,,492,811,53,,,,,,3272,,107,234,0.457264957,25.5,3.4,
MPG,Raimbault et al. 1995,ES4 126,France ,French Massif Central,Beauvoir,apl,aplite?,308,,74.27,0.016517925,16.36,0.57,,,,0.186,0.24,1.87,4.36,0.13,,,,,,,,,2.2,100,,1.99,0.48,2.10,,,1122,536,99,,,,,,910,,139,141,0.985815603,24.7,1.4,
MPG,Raimbault et al. 1995,ES4 172,France ,French Massif Central,Beauvoir,rfds,feldspathic rock,308,,71.1,0.012013036,17.26,0.532,,,,0.033,0.1,5.91,2.36,0.05,,,,,,,,,1.15,98.46,,1.39,0.71,1.41,,,197,281,72,,,,,,598,,97.4,140,0.695714286,26.2,2.95,
MPG,Raimbault et al. 1995,ES4 194,France ,French Massif Central,Beauvoir,up.B1,upper part of B1 facies,308,,67.57,0.012013036,17.33,0.252,,,,0.029,0.28,4.71,3.3,1.16,,,,,,,,,1.72,96.32,,1.46,0.65,1.53,,,177,346,72,,,,,,4349,,135,246,0.548780488,23,6.1,
MPG,Raimbault et al. 1995,ES4 198,France ,French Massif Central,Beauvoir,up.B1,upper part of B1 facies,308,,69.68,0.01318097,17.17,0.349,,,,0.032,0.88,4.92,4.34,0.86,,,,,,,,,1.15,99.35,,1.19,0.75,1.34,,,195,432,79,,,,,,1193,,122,230,0.530434783,26,2,
MPG,Raimbault et al. 1995,ES5 97,France ,French Massif Central,Beauvoir,Cl,,308,,76.21,0.124134707,14.98,0.839,,,,0.215,0.59,3.71,3.91,0.33,,,,,,,,,1.06,101.63,,1.31,0.69,1.45,,,1294,120,744,,,,,,482,,20.4,5.15,3.961165049,58.5,2.05,
MPG,Raimbault et al. 1995,ES5 100,France ,French Massif Central,Beauvoir,rfds,feldspathic rock,308,,71.07,0.012346732,18,0.335,,,,0.044,0.07,5.92,3.04,0.21,,,,,,,,,1.36,100.22,,1.37,0.72,1.38,,,268,231,74,,,,3600,,989,,31.9,43.8,0.728310502,18.5,0.81,
MPG,Raimbault et al. 1995,ES5 102,France ,French Massif Central,Beauvoir,rfds,feldspathic rock,308,,69.06,0.016184229,17.69,0.4,,,,0.049,0.08,5.58,3.33,0.24,,,,,,,,,1.32,97.9,,1.37,0.72,1.38,,,297,295,97,,,,3400,,1148,,28.9,32.1,0.900311526,17,0.8,
MPG,Raimbault et al. 1995,ES5 110,France ,French Massif Central,Beauvoir,B1,Faciès B1,308,,67.06,0.008842929,19.37,0.269,,,,0.025,0.51,4.8,2.96,1,,,,,,,,,2.12,99.25,,1.61,0.57,1.74,,,148,462,53,,,,20000,,4151,,86.5,94.5,0.915343915,26.6,2.9,
MPG,Raimbault et al. 1995,S56 67,France ,French Massif Central,Beauvoir,B1,Faciès B1,308,,69.29,0.01101195,17.51,0.35,,,,0.024,0.41,4.34,3.12,0.86,,,,,,,,,1.86,97.74,,1.55,0.60,1.66,,,144,1064,66,,,,,,3657,,123,160,0.76875,22.3,2.6,
MPG,Raimbault et al. 1995,S57 55,France ,French Massif Central,Beauvoir,B1,Faciès B2,308,,67.36,0.009343473,17.4,0.365,,,,0.053,1.61,3.97,2.92,1.27,,,,,,,,,2.17,97.07,,1.38,0.56,1.80,,,321,259,56,,,,,,3249,,89,195,0.456410256,21.2,3.4,
MPG,Raimbault et al. 1995,S57 56,France ,French Massif Central,Beauvoir,B1,Faciès B3,308,,66.98,0.00951032,17.61,0.355,,,,0.065,0.79,4.06,3.53,1.11,,,,,,,,,2.18,96.61,,1.48,0.60,1.68,,,394,209,57,,,,,,2961,,99,188,0.526595745,28.1,3.6,
MPG,Raimbault et al. 1995,S58 58,France ,French Massif Central,Beauvoir,B1,Faciès B4,308,,69.68,0.009343473,17.08,0.683,,,,0.035,0.82,4.73,2.01,1.04,,,,,,,,,2.28,98.32,,1.49,0.58,1.72,,,214,334,56,,,,,,2616,,87,136,0.639705882,27.1,4.3,
MPG,Canosa et al. 2012,,Spain,Iberian Massif,Ponte Segade,Leucogranites sensu stricto,G2?,Late Carboniferous-Early Permian,,74.04,0.05,14.94,0.64,,,0.02,0.15,0.43,4.13,3.99,0.22,,,,,,,,,1.3,,,1.26,0.74,1.34,,,,,,,,,,,164,,8,2,4,29,1,29
MPG,Canosa et al. 2012,,Spain,Iberian Massif,Ponte Segade,Albite-rich leucogranites I,G2?,Late Carboniferous-Early Permian,,73.89,,15.47,0.48,,,0.04,0.03,0.19,5.24,3.34,0.2,,,,,,,,,0.99,,,1.23,0.79,1.26,,,,,,,,,,,95,,15,7,2.142857143,16,1,16
MPG,Canosa et al. 2012,,Spain,Iberian Massif,Ponte Segade,Albite-rich leucogranites II,G2?,Late Carboniferous-Early Permian,,72.91,,16.02,0.61,,,0.05,0.02,0.24,4.58,3.39,0.35,,,,,,,,,1.7,,,1.38,0.70,1.43,,,,,,,,,,,273,,15,7,2.142857143,16,2,8
MPG,Canosa et al. 2012,,Spain,Iberian Massif,Ponte Segade,Zoned pegmatites,G2?,Late Carboniferous-Early Permian,,70.54,0.04,15.38,0.04,,,1.1,0.02,0.05,0.77,9.5,0.01,,,,,,,,,0.1,,,1.32,0.75,1.33,,,,,,,,,,,185,,52,187,0.278074866,4,0.4,10
MPG,Canosa et al. 2012,,Spain,Iberian Massif,Ponte Segade,Banded pegmatites,G2?,Late Carboniferous-Early Permian,,76.77,0.41,13.37,0.01,,,1.1,,0.33,3.68,3.89,0.03,,,,,,,,,0.1,,,1.23,0.77,1.30,,,,,,,,,,,230,,15,9,1.666666667,13,2,6.5
MPG,Ram??rez and Grundvig 2000,JAL-26,Spain-Portugal,Iberian Massif,Jalama,porphyritic granite,G2?,300,,68.88,0.54,15.59,2.85,,,0.99,0.05,1.36,3.12,4.66,0.43,,,,,,,,,1.17,,,1.23,0.65,1.53,,,,,,,,,,,208,,22.5,7.1,3.169014085,124,3.6,34.44444444
MPG,Ram??rez and Grundvig 2000,JAL-89,Spain-Portugal,Iberian Massif,Jalama,porphyritic granite,G2?,300,,69.86,0.44,15.04,2.43,,,0.78,0.03,1,2.87,5.81,0.41,,,,,,,,,1.06,,,1.17,0.73,1.37,,,,,,,,,,,189,,15.1,2,7.55,110,3.4,32.35294118
MPG,Ram??rez and Grundvig 2000,JAL-93,Spain-Portugal,Iberian Massif,Jalama,porphyritic granite,G2?,300,,70.74,0.35,15.22,2.18,,,0.54,0.03,0.81,3.38,5.11,0.37,,,,,,,,,1.09,,,1.21,0.73,1.37,,,,,,,,,,,183,,13.3,2,6.65,99,3.1,31.93548387
MPG,Ram??rez and Grundvig 2000,JAL-54,Spain-Portugal,Iberian Massif,Jalama,porphyritic granite,G2?,300,,74.15,0.23,13.81,1.64,,,0.43,0.02,0.7,3.45,4.13,0.3,,,,,,,,,1.02,,,1.21,0.73,1.36,,,,,,,,,,,198,,15.7,6.2,2.532258065,58,1.9,30.52631579
MPG,Ram??rez and Grundvig 2000,JAL-110,Spain-Portugal,Iberian Massif,Jalama,equigranular granite,G2?,300,,71.21,0.3,15.22,1.89,,,0.53,0.02,0.58,2.96,5.18,0.44,,,,,,,,,1.41,,,1.32,0.69,1.45,,,,,,,,,,,170,,15.3,3.3,4.636363636,81,2.6,31.15384615
MPG,Ram??rez and Grundvig 2000,JAL-113,Spain-Portugal,Iberian Massif,Jalama,equigranular granite,G2?,300,,73.17,0.22,14.55,1.59,,,0.32,0.04,0.46,3.14,4.48,0.4,,,,,,,,,1.3,,,1.34,0.69,1.45,,,,,,,,,,,322,,14.4,3.2,4.5,64,2.4,26.66666667
MPG,Ram??rez and Grundvig 2000,JAL-117,Spain-Portugal,Iberian Massif,Jalama,Sillimanite monzogranite,G2?,300,,69.14,0.51,15.42,2.94,,,0.92,0.03,0.97,2.89,4.99,0.31,,,,,,,,,1.35,,,1.29,0.66,1.52,,,,,,,,,,,218,,15.6,1.5,10.4,164,4.7,34.89361702
MPG,Ram??rez and Grundvig 2000,JAL-60,Spain-Portugal,Iberian Massif,Jalama,Sillimanite monzogranite,G2?,300,,69.91,0.49,15.12,2.38,,,0.7,0.03,0.94,2.88,5.45,0.41,,,,,,,,,1.26,,,1.22,0.70,1.42,,,,,,,,,,,95,,21.4,5.6,3.821428571,188,5.3,35.47169811
MPG,Ram??rez and Grundvig 2000,JAL-62,Spain-Portugal,Iberian Massif,Jalama,Sillimanite monzogranite,G2?,300,,70.26,0.48,15.09,2.38,,,0.68,0.03,0.96,3.01,5.22,0.42,,,,,,,,,1.22,,,1.22,0.70,1.42,,,,,,,,,,,116,,21.9,4.7,4.659574468,179,5,35.8
MPG,Ram??rez and Grundvig 2000,JAL-99,Spain-Portugal,Iberian Massif,Jalama,Tourmaline leucogranite,G2?,300,,73.81,0.1,14.7,1.08,,,0.19,0.03,0.5,3.87,4.15,0.4,,,,,,,,,1.13,,,1.25,0.74,1.35,,,,,,,,,,,265,,14.6,3.7,3.945945946,39,1.6,24.375
MPG,Ram??rez and Grundvig 2000,JAL-43,Spain-Portugal,Iberian Massif,Jalama,Late leucogranite,G2?,300,,73.7,0.14,14.78,1.23,,,0.19,0.04,0.395,3.015,4.8,0.4,,,,,,,,,1.44,,,1.36,0.69,1.46,,,,,,,,,,,526.9,,28.33,6.17,4.591572123,49.04,1.57,31.23566879
MPG,Ram??rez and Grundvig 2000,JAL-108,Spain-Portugal,Iberian Massif,Jalama,Late leucogranite,G2?,300,,74.19,0.13,14.56,1.21,,,0.18,0.05,0.32,2.77,4.6,0.37,,,,,,,,,1.6,,,1.44,0.65,1.53,,,,,,,,,,,475,,26.7,7,3.814285714,58,2.1,27.61904762
MPG,Ram??rez and Grundvig 2000,JAL-41,Spain-Portugal,Iberian Massif,Jalama,Late leucogranite,G2?,300,,72.96,0.19,14.79,1.37,,,0.25,0.05,0.48,3.19,4.65,0.46,,,,,,,,,1.36,,,1.33,0.70,1.44,,,,,,,,,,,558,,27.6,7,3.942857143,82,2.3,35.65217391
MPG,Gloaguen 2006,BE3,Spain,Iberian Massif,Beariz (avion),2 micas,G1,Late Carboniferous-Early Permian,,72.74,0.22,15.03,1.82,,,0.065,0.45,1.1,3.63,4.4,0.26,,,,,,,,,0.98,,,1.18,0.71,1.40,,,,,,,,,,,,,15.48,5.36,2.888059701,96.4,2.92,33.01369863
MPG,Gloaguen 2006,BE20,Spain,Iberian Massif,Beariz (avion),2 micas,G1,Late Carboniferous-Early Permian,,72.09,0.21,14.96,1.75,,,0.062,0.44,1.12,3.63,4.32,0.24,,,,,,,,,0.99,,,1.18,0.71,1.40,,,,,,,,,,,,,14.96,5.11,2.927592955,91.4,2.76,33.11594203
MPG,Gloaguen 2006,PC2,Spain,Iberian Massif,BearizW,leuco Mu-Gt-Tur,G2,Late Carboniferous-Early Permian,,76.37,0.01,14.3,0.7,,,0.218,0.03,0.22,4.21,3.67,0.16,,,,,,,,,0.88,,,1.27,0.76,1.31,,,,,,,,,,,,,40.08,45.83,0.87453633,17.3,4.56,3.793859649
MPG,Gloaguen 2006,MA33,Spain,Iberian Massif,BearizE,leuco Mu-Gt-Tur,G2,Late Carboniferous-Early Permian,,74.26,0.01,15.07,0.63,,,0.06,0.01,0.23,4.48,3.89,0.3,,,,,,,,,1.01,,,1.26,0.77,1.30,,,,,,,,,,,,,32.91,39.5,0.833164557,19.4,1.66,11.68674699
MPG,Gloaguen 2006,FV9,Spain,Iberian Massif,Carballino,2 micas,G2,Late Carboniferous-Early Permian,,72.87,0.17,15.26,1.19,,,0.015,0.3,0.41,3.12,5.07,0.47,,,,,,,,,1.65,,,1.34,0.70,1.44,,,,,,,,,,,,,9.92,1.95,5.087179487,68.1,2.22,30.67567568
MPG,Gloaguen 2006,CE1,Spain,Iberian Massif,Carballino,2 micas,G2,Late Carboniferous-Early Permian,,72.64,0.22,15.07,1.34,,,0.025,0.34,0.66,3.11,4.97,0.41,,,,,,,,,1.37,,,1.29,0.70,1.44,,,,,,,,,,,,,7.35,2.35,3.127659574,114.7,3.41,33.63636364
MPG,Gloaguen 2006,PV1,Spain,Iberian Massif,boboras,2 micas,G3,Late Carboniferous-Early Permian,,71.77,0.23,15.66,1.69,,,0.035,0.61,1.55,4.17,3.04,0.17,,,,,,,,,0.9,,,1.21,0.65,1.54,,,,,,,,,,,,,7.71,1.25,6.168,91,2.65,34.33962264
MPG,Gloaguen 2006,BR10.1,Spain,Iberian Massif,boboras,2 micas,G3,Late Carboniferous-Early Permian,,71.67,0.24,15.67,1.81,,,0.036,0.68,1.47,4.06,3.58,0.18,,,,,,,,,1,,,1.18,0.67,1.48,,,,,,,,,,,,,7.12,1.21,5.884297521,82.5,2.4,34.375
MPG,Gloaguen 2006,XU9,Spain,Iberian Massif,boboras,2 micas,G3,Late Carboniferous-Early Permian,,73.42,0.21,14.92,1.6,,,0.036,0.54,1.35,4.03,3.26,0.16,,,,,,,,,0.76,,,1.18,0.68,1.47,,,,,,,,,,,,,7.4,1.4,5.285714286,71.5,2.15,33.25581395
MPG,Gloaguen 2006,BR02,Spain,Iberian Massif,boboras,2 micas,G3,Late Carboniferous-Early Permian,,72.47,0.19,15.39,1.69,,,0.03,0.53,1.28,4.44,2.84,0.2,,,,,,,,,0.93,,,1.21,0.67,1.48,,,,,,,,,,,,,7.15,1.66,4.307228916,81.9,2.34,35
MPG,Gloaguen 2006,BR04,Spain,Iberian Massif,boboras,2 micas,G3,Late Carboniferous-Early Permian,,70.91,0.32,15.76,2.71,,,0.05,0.92,1.1,5.13,2.16,0.21,,,,,,,,,0.97,,,1.23,0.68,1.46,,,,,,,,,,,,,12.4,3.6,3.444444444,82.4,2.24,36.78571429
MPG,Gloaguen 2006,Pi106,Spain,Iberian Massif,boboras,2 micas,G3,Late Carboniferous-Early Permian,,72.42,0.17,15.51,1.56,,,,0.4,1.41,4.18,3.01,0.14,,,,,,,,,0.98,,,1.22,0.65,1.53,,,,,,,,,,,,,7.2,1.49,4.832214765,80.2,2.49,32.20883534
MPG,Gloaguen 2006,IR1,Spain,Iberian Massif,Irixo,2 micas,G3,Late Carboniferous-Early Permian,,72.62,0.23,15.39,1.72,,,0.035,0.59,1.35,4.01,3.5,0.18,,,,,,,,,0.76,,,1.20,0.67,1.48,,,,,,,,,,,,,8.02,1.37,5.854014599,80.7,2.39,33.76569038
MPG,Bea et al. 1994,B-500,Spain,Iberian Massif,Pedrobernardo,lower zone,G2-G3?,295,,72.36,0.33,14.36,1.9639696,,,0.02,0.56,0.93,3.06,5.12,0.28,,,,,,,,,0.81,,,1.17,0.74,1.36,,,,,,,,,210,,55,,12,1.7,7.058823529,129,2.5,51.6
MPG,Bea et al. 1994,B-501,Spain,Iberian Massif,Pedrobernardo,lower zone,G2-G3?,295,,71.48,0.37,14.39,2.0229677,,,0.02,0.59,1.01,3.13,5.19,0.32,,,,,,,,,1.09,,,1.14,0.75,1.34,,,,,,,,,195,,59,,13.3,1.6,8.3125,132,2.7,48.88888889
MPG,Bea et al. 1994,B-502,Spain,Iberian Massif,Pedrobernardo,lower zone,G2-G3?,295,,71.62,0.34,14.22,2.0439696,,,0.02,0.57,0.96,3.11,5.14,0.29,,,,,,,,,0.93,,,1.14,0.75,1.33,,,,,,,,,208,,60,,11.5,1.9,6.052631579,101,2.6,38.84615385
MPG,Bea et al. 1994,B-503,Spain,Iberian Massif,Pedrobernardo,lower zone,G2-G3?,295,,72.8,0.33,14.04,1.7229677,,,0.02,0.51,0.77,3.1,5.28,0.36,,,,,,,,,0.96,,,1.15,0.77,1.30,,,,,,,,,193,,65,,12.3,1.6,7.6875,78,1.7,45.88235294
MPG,Bea et al. 1994,B-504,Spain,Iberian Massif,Pedrobernardo,middle zone,G2-G3?,295,,73.4,0.28,13.52,1.6679582,,,0.02,0.47,0.72,3.2,4.98,0.26,,,,,,,,,1.07,,,1.13,0.79,1.27,,,,,,,,,300,,72,,13.2,1.9,6.947368421,85,2.7,31.48148148
MPG,Bea et al. 1994,B-505,Spain,Iberian Massif,Pedrobernardo,middle zone,G2-G3?,295,,73.36,0.23,13.71,1.3379582,,,0.02,0.36,0.64,3.29,5.35,0.32,,,,,,,,,1.22,,,1.11,0.82,1.22,,,,,,,,,310,,67,,12.7,2.1,6.047619048,73,2.2,33.18181818
MPG,Bea et al. 1994,B-506,Spain,Iberian Massif,Pedrobernardo,middle zone,G2-G3?,295,,72.91,0.27,13.65,1.7019658,,,0.03,0.44,0.72,3.24,5.03,0.4,,,,,,,,,1.24,,,1.13,0.79,1.27,,,,,,,,,325,,69,,12.9,2.1,6.142857143,95,2.6,36.53846154
MPG,Bea et al. 1994,B-510,Spain,Iberian Massif,Pedrobernardo,middle zone,G2-G3?,295,,72.69,0.28,13.88,1.9839696,,,0.03,0.41,0.74,3.12,4.95,0.39,,,,,,,,,1.16,,,1.17,0.76,1.32,,,,,,,,,290,,74,,13.7,1.9,7.210526316,94,2.7,34.81481481
MPG,Bea et al. 1994,B-507,Spain,Iberian Massif,Pedrobernardo,upper zone,G2-G3?,295,,75.24,0.04,13.66,0.6769373,,,0.01,0.1,0.16,4.22,3.6,0.42,,,,,,,,,1.69,,,1.23,0.79,1.26,,,,,,,,,490,,156,,10.6,1.4,7.571428571,19,0.3,63.33333333
MPG,Bea et al. 1994,B-508,Spain,Iberian Massif,Pedrobernardo,upper zone,G2-G3?,295,,74.29,0.06,14.08,0.7649335,,,0.03,0.12,0.29,4.04,4.03,0.64,,,,,,,,,1.39,,,1.22,0.78,1.28,,,,,,,,,455,,144,,9.5,1.5,6.333333333,17,1.1,15.45454545
MPG,Bea et al. 1994,B-509,Spain,Iberian Massif,Pedrobernardo,upper zone,G2-G3?,295,,76.01,0.04,13.35,0.6069563,,,0.02,0.07,0.14,4.03,4.1,0.51,,,,,,,,,1.39,,,1.18,0.83,1.21,,,,,,,,,503,,218,,12.7,3.4,3.735294118,12,0.4,30
MPG,Neiva 2002,1a,Portugal,Iberian Massif,S. Mamede de Ribatua;,unaltered fine- to medium-grained porphyritic muscovite biotite granite,unalt fine- med-grained porphyr Ms-Bt ,Late Carboniferous-Early Permian,,72.33,0.23,15.22,,0.34,1.08,0.02,0.12,0.65,3.73,4.94,0.35,,,,0.06,,0.91,0.16,,,,,1.20,0.75,1.33,,,,,,,,,,,195,,25,6,4.166666667,108,,
MPG,Neiva 2002,2a,Portugal,Iberian Massif,Panasqueira,fine- to medium-grained porphyritic two-mica granite,unalt fine- med-grained porphyr Ms-Bt ,Late Carboniferous-Early Permian,,73.41,0.2,14.4,,0.28,1.33,0.05,0.44,0.49,3.02,4.58,0.37,,,,,,1.3,0.15,,,,,1.33,0.69,1.45,,,,,,300,,,3421,,237,,23,4,5.75,85,,
MPG,Chicharro et al. 2016,AQ1,Spain,Iberian Massif,Logrosán,Main Unit,,308,,72.46,0.18,14.43,,,1.25,0.02,0.28,0.59,3.68,4.46,0.5,,,,,,,,,1.33,99.16,,1.21,0.75,1.33,,,,,,,,,,,,,8.7,2.26,3.85,76,2.2,34.5
