SPOT_ID,LOCALITY,SAMPLE,STYLE,IS,RELDIST,Source file,DateTime,Date,Time,Duration(s),Comments,Total points,Selection type,Components,Sn117_CPS,Sn117_CPS_Int2SE,Sn117_CPS_LOD,IntStdWv,IntStdWv_Int2SE,IntStdWv_LOD,Li_ppm_m7,Li_ppm_m7_Int2SE,Li_ppm_m7_LOD,Al_ppm_m27,Al_ppm_m27_Int2SE,Al_ppm_m27_LOD,Si_ppm_m29,Si_ppm_m29_Int2SE,Si_ppm_m29_LOD,P_ppm_m31,P_ppm_m31_Int2SE,P_ppm_m31_LOD,Ca_ppm_m44,Ca_ppm_m44_Int2SE,Ca_ppm_m44_LOD,Sc_ppm_m45,Sc_ppm_m45_Int2SE,Sc_ppm_m45_LOD,Ti_ppm_m49,Ti_ppm_m49_Int2SE,Ti_ppm_m49_LOD,V_ppm_m51,V_ppm_m51_Int2SE,V_ppm_m51_LOD,Cr_ppm_m52,Cr_ppm_m52_Int2SE,Cr_ppm_m52_LOD,Mn_ppm_m55,Mn_ppm_m55_Int2SE,Mn_ppm_m55_LOD,Fe_ppm_m57,Fe_ppm_m57_Int2SE,Fe_ppm_m57_LOD,Co_ppm_m59,Co_ppm_m59_Int2SE,Co_ppm_m59_LOD,Ni_ppm_m60,Ni_ppm_m60_Int2SE,Ni_ppm_m60_LOD,Cu_ppm_m65,Cu_ppm_m65_Int2SE,Cu_ppm_m65_LOD,Zn_ppm_m66,Zn_ppm_m66_Int2SE,Zn_ppm_m66_LOD,Ga_ppm_m69,Ga_ppm_m69_Int2SE,Ga_ppm_m69_LOD,Ga_ppm_m71,Ga_ppm_m71_Int2SE,Ga_ppm_m71_LOD,Ge_ppm_m72,Ge_ppm_m72_Int2SE,Ge_ppm_m72_LOD,As_ppm_m75,As_ppm_m75_Int2SE,As_ppm_m75_LOD,m77__Cl_CPS,m77__Cl_CPS_Int2SE,m77__Cl_CPS_LOD,Se_ppm_m82,Se_ppm_m82_Int2SE,Se_ppm_m82_LOD,Kr83_CPS,Kr83_CPS_Int2SE,Kr83_CPS_LOD,Rb_ppm_m85,Rb_ppm_m85_Int2SE,Rb_ppm_m85_LOD,Sr_ppm_m88,Sr_ppm_m88_Int2SE,Sr_ppm_m88_LOD,Y_ppm_m89,Y_ppm_m89_Int2SE,Y_ppm_m89_LOD,Zr_ppm_m90,Zr_ppm_m90_Int2SE,Zr_ppm_m90_LOD,Nb_ppm_m93,Nb_ppm_m93_Int2SE,Nb_ppm_m93_LOD,Mo_ppm_m97,Mo_ppm_m97_Int2SE,Mo_ppm_m97_LOD,In_ppm_m113,In_ppm_m113_Int2SE,In_ppm_m113_LOD,Sn_ppm_m119,Sn_ppm_m119_Int2SE,Sn_ppm_m119_LOD,Sb_ppm_m121,Sb_ppm_m121_Int2SE,Sb_ppm_m121_LOD,Cs_ppm_m133,Cs_ppm_m133_Int2SE,Cs_ppm_m133_LOD,Ba_ppm_m138,Ba_ppm_m138_Int2SE,Ba_ppm_m138_LOD,La_ppm_m139,La_ppm_m139_Int2SE,La_ppm_m139_LOD,Ce_ppm_m140,Ce_ppm_m140_Int2SE,Ce_ppm_m140_LOD,Nd_ppm_m146,Nd_ppm_m146_Int2SE,Nd_ppm_m146_LOD,Lu_ppm_m175,Lu_ppm_m175_Int2SE,Lu_ppm_m175_LOD,Hf_ppm_m179,Hf_ppm_m179_Int2SE,Hf_ppm_m179_LOD,Ta_ppm_m181,Ta_ppm_m181_Int2SE,Ta_ppm_m181_LOD,W_ppm_m182,W_ppm_m182_Int2SE,W_ppm_m182_LOD,W_ppm_m183,W_ppm_m183_Int2SE,W_ppm_m183_LOD,Tl_ppm_m205,Tl_ppm_m205_Int2SE,Tl_ppm_m205_LOD,Pb_ppm_m208,Pb_ppm_m208_Int2SE,Pb_ppm_m208_LOD,Bi_ppm_m209,Bi_ppm_m209_Int2SE,Bi_ppm_m209_LOD,Th_ppm_m232,Th_ppm_m232_Int2SE,Th_ppm_m232_LOD,U_ppm_m238,U_ppm_m238_Int2SE,U_ppm_m238_LOD
Goias_9,Buriti Mine,BM1,Greisen,117Sn,NA,Jason_cass_3,21/02/2018 (4) 15:00:00.14,21/02/2018 (4),00:00.1,26.482,CS13_Goias_D3_9,26,Normal,1,1.46E+07,1.00E+06,NaN,78.8,1,NaN,Below LOD,Below LOD,1.7,97,27,8.2,Below LOD,Below LOD,96000,Below LOD,Below LOD,340,Below LOD,Below LOD,930,54,5,2.8,9100,340,4.2,13.4,1.4,1.3,Below LOD,Below LOD,15,Below LOD,Below LOD,19,1910,110,36,13.4,1.4,0.45,83.7,7.4,5.3,Below LOD,Below LOD,4.4,Below LOD,Below LOD,2.9,3.8,1,1.2,3.38,0.62,0.16,Below LOD,Below LOD,5.1,7.3,2.7,3.1,5,13,NaN,Below LOD,Below LOD,16,-17,55,NaN,2.2,2,0.92,Below LOD,Below LOD,0.21,0.96,0.22,0.061,3110,120,0.15,4510,150,0.08,1.92,0.83,0.55,6.4,1.6,2,7.13E+05,1.40E+04,12,2,24,1,1.54,0.43,0.49,0.57,0.23,0.17,0.84,0.2,0.023,0.54,0.18,0.076,0.36,0.25,0.1,0.55,0.11,0.014,145,11,0.28,299,34,0.014,928,79,0.064,923,78,0.12,Below LOD,Below LOD,0.16,3.14,0.83,0.27,0.78,0.31,0.34,15.2,3.8,0.022,13.16,0.9,0.02
Goias_10,Buriti Mine,BM1,Greisen,117Sn,NA,Jason_cass_3,21/02/2018 (4) 15:01:24.12,21/02/2018 (4),01:24.1,21.133,CS12_Goias_D3_10,21,Normal,1,7.30E+06,2.40E+06,NaN,78.8,1,NaN,Below LOD,Below LOD,1.8,276,99,8.8,Below LOD,Below LOD,1.00E+05,Below LOD,Below LOD,350,Below LOD,Below LOD,990,88,19,3,8720,310,6.2,23.5,4.8,1.5,26,16,16,Below LOD,Below LOD,20,1630,210,40,14.4,2.4,0.62,75,15,6.8,5.6,3.4,4.1,Below LOD,Below LOD,7,4.6,1.4,1.4,8.6,2.4,0.18,5.2,5.5,5,134,24,2.3,4,19,NaN,Below LOD,Below LOD,17,47,68,NaN,1.4,1.5,0.98,0.76,0.53,0.26,700,280,0.024,9.00E+03,2.00E+03,0.26,4220,360,0.18,3.2,1.5,0.78,7.7,2.4,1.6,7.09E+05,2.00E+04,13,48,46,0.89,2.11,0.49,0.58,3.2,1.2,0.22,5,1.9,0.024,390,160,0.085,30,15,0.31,16.1,6.1,0.015,450,47,0.11,1436,44,0.041,300,36,0.19,298,30,0.36,Below LOD,Below LOD,0.14,13.8,2.4,0.25,16.5,2.5,0.23,850,340,0.023,127,31,0.06
Goias_11,Buriti Mine,BM1,Greisen,117Sn,NA,Jason_cass_3,21/02/2018 (4) 15:02:17.93,21/02/2018 (4),02:17.9,17.962,CS12_Goias_D3_11,18,Normal,1,1.60E+07,1.50E+06,NaN,78.8,1,NaN,Below LOD,Below LOD,1.6,95,37,9.3,Below LOD,Below LOD,1.00E+05,Below LOD,Below LOD,350,Below LOD,Below LOD,980,58.4,4.7,3.1,8780,310,6,14.2,1.8,1.6,Below LOD,Below LOD,16,Below LOD,Below LOD,20,1400,130,37,13.6,1.6,0.53,75.5,5.7,6,Below LOD,Below LOD,5.6,Below LOD,Below LOD,3.4,2.89,0.7,1.3,2.73,0.57,0.22,Below LOD,Below LOD,5,Below LOD,Below LOD,2.5,-14.2,5.9,NaN,Below LOD,Below LOD,17,9,75,NaN,Below LOD,Below LOD,1,Below LOD,Below LOD,0.19,5.2,8.4,0.024,4750,220,0.13,4420,320,0.13,2.3,1.3,0.76,8.7,2.2,1.8,7.01E+05,1.50E+04,12,19,18,0.86,1.5,0.51,0.55,1.15,0.78,0.16,0.38,0.14,0.024,8.6,9.4,0.024,0.36,0.42,0.11,0.46,0.38,0.015,349,16,0.11,1593,70,0.015,194,14,0.19,186,13,0.13,Below LOD,Below LOD,0.12,0.83,0.71,0.3,0.4,0.53,0.22,13,15,0.066,12.2,2.9,0.021
Goias_12,Buriti Mine,BM1,Greisen,117Sn,NA,Jason_cass_3,21/02/2018 (4) 15:03:28.31,21/02/2018 (4),03:28.3,20.646,CS12_Goias_D3_12,20,Normal,1,1.55E+07,1.20E+06,NaN,78.8,1,NaN,Below LOD,Below LOD,1.5,63,13,9,Below LOD,Below LOD,1.00E+05,Below LOD,Below LOD,350,Below LOD,Below LOD,970,45.6,4.1,2.8,7830,460,4.6,11.4,1.5,1.5,23,11,16,Below LOD,Below LOD,20,1120,120,38,13.5,1.6,0.46,79.3,9.4,5.9,Below LOD,Below LOD,4.4,Below LOD,Below LOD,3.4,2.45,0.79,1.4,2.76,0.54,0.17,Below LOD,Below LOD,4.8,Below LOD,Below LOD,2.3,8,20,NaN,Below LOD,Below LOD,17,10,87,NaN,Below LOD,Below LOD,1,Below LOD,Below LOD,0.25,0.59,0.18,0.065,4020,180,0.25,3320,310,0.068,2.01,0.78,0.59,7.3,2.6,1.7,7.02E+05,1.80E+04,15,14,15,0.82,1.65,0.41,0.49,0.41,0.22,0.2,0.36,0.13,0.084,0.18,0.074,0.065,Below LOD,Below LOD,0.11,0.45,0.15,0.015,286,24,0.11,980,240,0.014,248,44,0.066,245,49,0.12,Below LOD,Below LOD,0.12,Below LOD,Below LOD,0.24,Below LOD,Below LOD,0.24,0.03,0.033,0.023,9.43,0.84,0.021
Goias_13,Buriti Mine,BM1,Greisen,117Sn,NA,Jason_cass_3,21/02/2018 (4) 15:04:38.78,21/02/2018 (4),04:38.8,29.072,CS12_Goias_D3_13,29,Normal,1,1.44E+07,1.30E+06,NaN,78.8,1,NaN,Below LOD,Below LOD,1.5,50.8,7,9.1,Below LOD,Below LOD,1.00E+05,Below LOD,Below LOD,350,Below LOD,Below LOD,970,49.4,3.8,3.1,7880,280,5.4,11.5,1.6,1.5,Below LOD,Below LOD,16,Below LOD,Below LOD,20,1390,130,38,10.9,1.1,0.52,84.8,7.4,9.5,Below LOD,Below LOD,15,Below LOD,Below LOD,3.5,2.63,0.72,1.3,2.64,0.54,0.29,Below LOD,Below LOD,4.8,Below LOD,Below LOD,2.4,0.7,9.2,NaN,Below LOD,Below LOD,17,13,52,NaN,Below LOD,Below LOD,0.98,Below LOD,Below LOD,0.22,1.17,0.34,0.024,4490,120,0.13,4260,240,0.21,Below LOD,Below LOD,1.6,6.1,1.3,1.5,7.17E+05,1.30E+04,19,33,21,0.94,1.55,0.36,0.56,0.47,0.18,0.18,0.41,0.16,0.024,0.27,0.1,0.14,Below LOD,Below LOD,0.11,0.7,0.15,0.042,284,14,0.11,682,51,0.015,423,32,0.068,427,33,0.13,Below LOD,Below LOD,0.1,Below LOD,Below LOD,0.27,Below LOD,Below LOD,0.21,0.061,0.091,0.023,12.23,0.71,0.059
Goias_14,Buriti Mine,BM1,Greisen,117Sn,NA,Jason_cass_3,21/02/2018 (4) 15:05:48.96,21/02/2018 (4),05:49.0,29.084,CS12_Goias_D3_14,28,Normal,1,1.45E+07,1.20E+06,NaN,78.8,1,NaN,Below LOD,Below LOD,1.5,46.4,5.8,8.8,Below LOD,Below LOD,97000,Below LOD,Below LOD,340,Below LOD,Below LOD,970,54.7,4,3,8400,280,3.5,11.2,1.4,1.5,Below LOD,Below LOD,16,22.9,9.6,20,1656,90,39,12.8,1.2,0.44,66.7,6,11,Below LOD,Below LOD,4.2,Below LOD,Below LOD,2.9,2.05,0.63,1.4,2.11,0.46,0.21,Below LOD,Below LOD,4.8,Below LOD,Below LOD,2.5,1,11,NaN,Below LOD,Below LOD,18,-16,61,NaN,Below LOD,Below LOD,1,Below LOD,Below LOD,0.24,1.68,0.88,0.064,4220,170,0.13,4320,150,0.39,2.5,1.1,1.3,5.1,1.4,1.7,7.11E+05,1.50E+04,6.7,34,21,0.85,1.38,0.38,0.49,1.2,1.2,0.26,0.58,0.2,0.065,0.43,0.25,0.13,0.34,0.31,0.11,0.61,0.11,0.041,257,18,0.11,594,60,0.039,551,63,0.18,556,62,0.12,Below LOD,Below LOD,0.14,0.45,0.45,0.26,Below LOD,Below LOD,0.25,0.174,0.094,0.023,12.97,0.76,0.057
Goias_15,Buriti Mine,BM1,Greisen,117Sn,NA,Jason_cass_3,21/02/2018 (4) 15:09:19.97,21/02/2018 (4),09:20.0,29.04,CS12_Goias_D3_15,29,Normal,1,1.42E+07,1.10E+06,NaN,78.8,1,NaN,Below LOD,Below LOD,1.7,69,14,8.6,Below LOD,Below LOD,97000,Below LOD,Below LOD,340,Below LOD,Below LOD,960,57.2,3.6,2.9,8520,300,6.8,12.5,1.3,1.4,Below LOD,Below LOD,15,26.8,7.8,19,1650,140,40,13.1,1.4,0.47,76.3,8.5,6.1,Below LOD,Below LOD,4.2,Below LOD,Below LOD,3.5,3.79,0.86,1.3,3.96,0.69,0.3,Below LOD,Below LOD,5.8,7,1.5,3.2,11,13,NaN,Below LOD,Below LOD,17,-20,55,NaN,Below LOD,Below LOD,0.99,Below LOD,Below LOD,0.15,1.27,0.25,0.081,3780,290,0.13,4440,170,0.14,2.61,0.94,1,7.5,2,1.5,7.08E+05,1.20E+04,7,59,27,1.3,1.66,0.38,0.54,0.62,0.23,0.16,1.42,0.21,0.096,0.63,0.16,0.1,0.5,0.25,0.3,0.49,0.11,0.084,214,24,0.37,567,95,0.076,661,81,0.18,663,78,0.12,Below LOD,Below LOD,0.14,1.12,0.42,0.34,Below LOD,Below LOD,0.31,13.3,2.5,0.081,12.5,1.1,0.1
Goias_16,Buriti Mine,BM1,Greisen,117Sn,NA,Jason_cass_3,21/02/2018 (4) 15:10:30.13,21/02/2018 (4),10:30.1,29.056,CS12_Goias_D3_16,29,Normal,1,1.39E+07,1.20E+06,NaN,78.8,1,NaN,Below LOD,Below LOD,1.7,56.4,7.4,8.9,Below LOD,Below LOD,1.00E+05,Below LOD,Below LOD,350,Below LOD,Below LOD,1000,55.9,4,3.1,8970,390,3.9,12.1,1.1,1.6,Below LOD,Below LOD,16,21,11,20,1564,94,41,13.2,1.4,0.53,86.1,8.2,6,Below LOD,Below LOD,4.4,Below LOD,Below LOD,3.7,2.29,0.62,1.4,3.03,0.54,0.28,Below LOD,Below LOD,5.4,Below LOD,Below LOD,2.6,-3,10,NaN,Below LOD,Below LOD,17,32,47,NaN,Below LOD,Below LOD,1.1,Below LOD,Below LOD,0.26,1.21,0.23,0.11,3340,260,0.047,4420,130,0.094,2,0.89,0.22,6,1.5,1.9,7.06E+05,1.00E+04,13,53,29,0.94,1.32,0.31,0.53,0.47,0.18,0.041,0.63,0.22,0.025,0.195,0.087,0.1,Below LOD,Below LOD,0.11,0.5,0.11,0.015,165,21,0.41,430,110,0.015,836,92,0.2,844,92,0.37,Below LOD,Below LOD,0.13,Below LOD,Below LOD,0.26,Below LOD,Below LOD,0.24,0.82,0.4,0.024,13.24,0.77,0.022
Goias_17,Buriti Mine,BM1,Greisen,117Sn,NA,Jason_cass_3,21/02/2018 (4) 15:11:40.29,21/02/2018 (4),11:40.3,29.071,CS12_Goias_D3_17,29,Normal,1,1.46E+07,1.30E+06,NaN,78.8,1,NaN,Below LOD,Below LOD,1.6,60.5,7.4,9.2,Below LOD,Below LOD,1.00E+05,Below LOD,Below LOD,350,Below LOD,Below LOD,990,60.1,5,2.9,10470,430,7,15.1,2,1.5,Below LOD,Below LOD,16,Below LOD,Below LOD,20,1720,120,40,14.7,1.6,0.44,75.9,7.3,8.4,Below LOD,Below LOD,4.2,Below LOD,Below LOD,5.8,3.41,0.7,1.3,3.17,0.56,0.062,Below LOD,Below LOD,4.9,Below LOD,Below LOD,2.5,-3,12,NaN,Below LOD,Below LOD,17,-26,47,NaN,Below LOD,Below LOD,0.97,Below LOD,Below LOD,0.37,0.99,0.19,0.065,3498,97,0.16,4380,140,0.085,2.05,0.9,0.21,7.7,1.6,1.7,7.11E+05,1.10E+04,17,20,19,0.99,1.51,0.34,0.56,0.75,0.23,0.16,0.34,0.13,0.067,0.28,0.1,0.12,Below LOD,Below LOD,0.11,0.58,0.13,0.015,152.9,8.8,0.11,247,38,0.015,2080,450,0.19,2050,440,0.12,Below LOD,Below LOD,0.13,Below LOD,Below LOD,0.87,Below LOD,Below LOD,0.26,Below LOD,Below LOD,0.023,20.3,2.8,0.074
Goias_18,Buriti Mine,BM1,Greisen,117Sn,NA,Jason_cass_3,21/02/2018 (4) 15:12:50.59,21/02/2018 (4),12:50.6,29.067,CS12_Goias_D3_18,28,Normal,1,1.50E+07,1.30E+06,NaN,78.8,1,NaN,Below LOD,Below LOD,1.5,86.8,6.8,8.8,Below LOD,Below LOD,98000,Below LOD,Below LOD,330,Below LOD,Below LOD,930,67.7,5.5,2.7,10990,420,5.6,15.4,1.5,1.4,Below LOD,Below LOD,15,Below LOD,Below LOD,19,1857,99,44,12.9,1.4,0.48,74.8,7.1,7.5,Below LOD,Below LOD,4.2,Below LOD,Below LOD,3.4,4.95,0.92,1.2,4.27,0.59,0.21,Below LOD,Below LOD,4.8,Below LOD,Below LOD,2.3,1,11,NaN,Below LOD,Below LOD,17,-27,49,NaN,Below LOD,Below LOD,0.93,Below LOD,Below LOD,0.27,0.95,0.16,0.062,4062,93,0.2,4900,140,0.081,2.15,0.88,0.82,10.3,2.5,1.7,7.22E+05,1.30E+04,13,17,19,0.83,1.55,0.25,0.49,0.58,0.21,0.13,0.3,0.11,0.18,0.219,0.089,0.061,Below LOD,Below LOD,0.11,0.6,0.14,0.015,158.2,7.9,0.1,117,24,0.014,2530,260,0.065,2530,250,0.12,Below LOD,Below LOD,0.14,Below LOD,Below LOD,0.25,Below LOD,Below LOD,0.21,Below LOD,Below LOD,0.023,27.4,1.4,0.02
Goias_19,Buriti Mine,BM1,Greisen,117Sn,NA,Jason_cass_3,21/02/2018 (4) 15:14:00.75,21/02/2018 (4),14:00.8,29.041,CS12_Goias_D3_19,29,Normal,1,1.49E+07,1.20E+06,NaN,78.8,1,NaN,Below LOD,Below LOD,1.5,90.9,9.9,8.7,Below LOD,Below LOD,98000,Below LOD,Below LOD,330,Below LOD,Below LOD,930,67.3,5,2.9,11060,470,6.3,18.3,1.4,1.4,Below LOD,Below LOD,15,Below LOD,Below LOD,19,1790,100,38,13.3,1.5,0.46,79,6.4,6.7,Below LOD,Below LOD,4,Below LOD,Below LOD,3.4,4.74,0.98,1.3,4.24,0.7,0.27,Below LOD,Below LOD,4.4,Below LOD,Below LOD,2.3,2,13,NaN,Below LOD,Below LOD,17,20,48,NaN,Below LOD,Below LOD,0.99,Below LOD,Below LOD,0.21,0.79,0.15,0.022,4230,140,0.21,5200,180,0.066,2.7,0.96,0.57,7.1,1.9,1,7.07E+05,1.20E+04,14,14,13,0.71,1.37,0.36,0.57,0.57,0.2,0.16,0.249,0.087,0.023,0.184,0.099,0.092,Below LOD,Below LOD,0.1,0.67,0.12,0.014,170.8,7.1,0.1,99.5,5.3,0.014,1882,85,0.23,1920,91,0.12,Below LOD,Below LOD,0.099,Below LOD,Below LOD,0.3,Below LOD,Below LOD,0.23,Below LOD,Below LOD,0.063,26.6,1.4,0.02
Goias_20,Buriti Mine,BM1,Greisen,117Sn,NA,Jason_cass_3,21/02/2018 (4) 15:15:10.93,21/02/2018 (4),15:10.9,29.077,CS12_Goias_D3_20,29,Normal,1,1.53E+07,1.30E+06,NaN,78.8,1,NaN,Below LOD,Below LOD,1.5,80,15,8.7,Below LOD,Below LOD,98000,Below LOD,Below LOD,330,Below LOD,Below LOD,940,64.4,5,2.8,10980,480,3.4,15.2,1.9,1.4,Below LOD,Below LOD,15,37,16,19,2060,260,34,12.5,1.1,0.45,82.4,6.4,8.1,Below LOD,Below LOD,4.2,14.2,4.9,5.3,2.96,0.77,1.2,3.98,0.7,0.059,Below LOD,Below LOD,4.7,Below LOD,Below LOD,2.2,6,12,NaN,Below LOD,Below LOD,18,89,75,NaN,1.7,1.4,0.9,Below LOD,Below LOD,0.19,62,63,0.079,4100,200,0.044,4730,330,0.023,2.2,1,0.7,8,1.4,1.4,7.09E+05,1.30E+04,14,9,18,0.81,1.33,0.37,0.5,0.56,0.2,0.038,0.38,0.16,0.023,1.21,0.98,0.11,2.5,3.1,0.1,5.9,6.1,0.014,161,11,0.28,101,15,0.014,2150,230,0.26,2160,220,0.12,Below LOD,Below LOD,0.13,5.4,2.3,0.24,0.38,0.2,0.22,8.4,9.4,0.022,68,47,0.02
Goias_21,Buriti Mine,BM1,Greisen,117Sn,NA,Jason_cass_3,21/02/2018 (4) 15:16:21.11,21/02/2018 (4),16:21.1,29.06,CS12_Goias_D3_21,28,Normal,1,1.49E+07,1.30E+06,NaN,78.8,1,NaN,Below LOD,Below LOD,1.5,96.1,7.1,8.6,Below LOD,Below LOD,99000,Below LOD,Below LOD,330,Below LOD,Below LOD,930,67.3,4.1,2.8,10640,390,5.8,14,2,1.4,Below LOD,Below LOD,15,24,14,19,1770,110,41,12.5,1.3,0.45,79.7,7.9,5.9,70,140,4.2,Below LOD,Below LOD,3.2,4.06,0.94,1.3,4.01,0.61,0.27,Below LOD,Below LOD,4.4,Below LOD,Below LOD,2.1,3,13,NaN,Below LOD,Below LOD,15,-33,52,NaN,Below LOD,Below LOD,0.92,Below LOD,Below LOD,0.2,1,0.26,0.023,4010,150,0.22,4860,150,0.13,2.7,1,0.57,7.1,1.8,1.8,7.08E+05,1.30E+04,10,41,24,0.82,1.75,0.37,0.54,0.55,0.21,0.14,0.286,0.098,0.024,0.136,0.083,0.062,Below LOD,Below LOD,0.11,0.66,0.13,0.015,153.9,7.4,0.1,80.9,3.5,0.014,2136,71,0.33,2148,77,0.64,Below LOD,Below LOD,0.078,Below LOD,Below LOD,0.39,Below LOD,Below LOD,0.22,Below LOD,Below LOD,0.023,27.4,1.5,0.02
Goias_22,Buriti Mine,BM1,Greisen,117Sn,NA,Jason_cass_3,21/02/2018 (4) 15:19:51.93,21/02/2018 (4),19:51.9,29.041,CS12_Goias_D3_22,28,Normal,1,1.48E+07,1.20E+06,NaN,78.8,1,NaN,Below LOD,Below LOD,1.4,87.1,8.4,9,Below LOD,Below LOD,1.00E+05,Below LOD,Below LOD,330,Below LOD,Below LOD,940,65.4,4.4,2.8,10460,460,6.8,17.1,2,1.4,Below LOD,Below LOD,15,Below LOD,Below LOD,19,1840,100,36,12.2,1.2,0.46,82.8,6.6,5.9,Below LOD,Below LOD,4.5,Below LOD,Below LOD,4.5,4.02,0.97,1.2,4.3,0.57,0.25,Below LOD,Below LOD,4.8,Below LOD,Below LOD,2.4,2,11,NaN,Below LOD,Below LOD,17,3,44,NaN,Below LOD,Below LOD,0.97,Below LOD,Below LOD,0.21,0.8,0.18,0.081,3860,180,0.16,5150,260,0.067,2.12,0.99,0.72,7.4,1.9,1.6,7.05E+05,1.50E+04,14,4,16,0.81,1.2,0.27,0.47,0.39,0.18,0.2,0.39,0.14,0.024,0.23,0.11,0.079,Below LOD,Below LOD,0.11,0.77,0.14,0.041,151.3,9,0.1,92.2,5.4,0.014,2133,81,0.18,2139,88,0.42,Below LOD,Below LOD,0.11,Below LOD,Below LOD,0.38,Below LOD,Below LOD,0.24,Below LOD,Below LOD,0.023,25.7,1.7,0.021
Goias_23,Buriti Mine,BM1,Greisen,117Sn,NA,Jason_cass_3,21/02/2018 (4) 15:21:02.18,21/02/2018 (4),21:02.2,29.036,CS12_Goias_D3_23,29,Normal,1,1.50E+07,1.30E+06,NaN,78.8,1,NaN,Below LOD,Below LOD,1.4,85.9,7,9.3,Below LOD,Below LOD,1.00E+05,Below LOD,Below LOD,330,Below LOD,Below LOD,930,67,3.2,2.9,9980,320,6.5,15.4,1.5,1.3,Below LOD,Below LOD,16,Below LOD,Below LOD,19,1840,100,36,12.4,1,0.53,78.9,7.9,5.8,Below LOD,Below LOD,4.3,Below LOD,Below LOD,13,3.61,0.95,1.2,4.57,0.65,0.27,Below LOD,Below LOD,4.6,Below LOD,Below LOD,2.1,1,12,NaN,Below LOD,Below LOD,16,22,43,NaN,Below LOD,Below LOD,0.95,Below LOD,Below LOD,0.22,0.8,0.17,0.022,3730,150,0.15,4840,190,0.081,2.4,1.2,0.55,9.6,1.6,1.2,7.06E+05,1.40E+04,7.2,5,10,0.93,1.53,0.37,0.56,0.54,0.18,0.038,0.25,0.1,0.063,0.222,0.094,0.06,Below LOD,Below LOD,0.29,0.57,0.13,0.04,150.6,6.8,0.1,116.7,9.7,0.014,2260,110,0.22,2230,110,0.12,Below LOD,Below LOD,0.15,0.68,0.99,0.27,Below LOD,Below LOD,0.2,Below LOD,Below LOD,0.078,24.37,0.75,0.055
Goias_24,Buriti Mine,BM1,Greisen,117Sn,NA,Jason_cass_3,21/02/2018 (4) 15:22:12.39,21/02/2018 (4),22:12.4,29.13,CS12_Goias_D3_24,29,Normal,1,1.52E+07,1.30E+06,NaN,78.8,1,NaN,Below LOD,Below LOD,1.6,70.9,6.8,8.6,Below LOD,Below LOD,1.10E+05,Below LOD,Below LOD,340,Below LOD,Below LOD,950,67.6,4.6,2.8,10080,360,3.4,17,1.5,1.4,Below LOD,Below LOD,15,Below LOD,Below LOD,19,2160,160,39,13.5,1.5,0.5,77.5,6.5,5.7,Below LOD,Below LOD,3.8,3.9,3,2.8,3.37,0.82,1.3,3.67,0.74,0.24,Below LOD,Below LOD,5.5,Below LOD,Below LOD,3.1,9,15,NaN,Below LOD,Below LOD,17,16,53,NaN,Below LOD,Below LOD,0.96,Below LOD,Below LOD,0.22,1.35,0.4,0.079,3990,100,0.12,5220,270,0.12,2.17,0.9,0.92,8.9,2.5,1.8,7.04E+05,1.10E+04,7.2,16,17,1.3,1.52,0.33,0.51,0.8,0.25,0.19,0.32,0.11,0.12,0.273,0.087,0.09,Below LOD,Below LOD,0.29,0.72,0.12,0.087,173.9,8.5,0.1,246,37,0.049,1870,150,0.23,1870,150,0.33,Below LOD,Below LOD,0.19,1.05,0.49,0.62,Below LOD,Below LOD,0.27,Below LOD,Below LOD,0.063,24.3,1.3,0.071
Goias_25,Buriti Mine,BM1,Greisen,117Sn,NA,Jason_cass_3,21/02/2018 (4) 15:23:22.66,21/02/2018 (4),23:22.7,29.046,CS12_Goias_D3_25,28,Normal,1,1.52E+07,1.30E+06,NaN,78.8,1,NaN,Below LOD,Below LOD,1.5,57,9.2,8.6,Below LOD,Below LOD,1.00E+05,Below LOD,Below LOD,330,Below LOD,Below LOD,910,57.6,7,2.7,8990,570,1.2,13.9,1.9,1.3,Below LOD,Below LOD,15,20,11,19,2040,170,36,12.7,1,0.33,77.7,7.3,5.3,Below LOD,Below LOD,4.2,7.2,6.2,2.8,2.77,0.83,1.3,2.64,0.53,0.21,Below LOD,Below LOD,4.8,Below LOD,Below LOD,2.5,11,17,NaN,Below LOD,Below LOD,16,-13,40,NaN,Below LOD,Below LOD,0.92,Below LOD,Below LOD,0.21,0.99,0.19,0.063,4330,140,0.22,4880,410,0.11,2.1,0.98,1,6.5,1.8,1.5,7.16E+05,1.50E+04,13,13,17,0.94,1.27,0.36,0.51,0.59,0.22,0.038,0.34,0.12,0.11,0.35,0.1,0.091,Below LOD,Below LOD,0.1,0.74,0.13,0.014,194.3,7.2,0.1,285,26,0.014,1550,160,0.18,1540,160,0.33,Below LOD,Below LOD,0.077,1.7,1.4,0.23,Below LOD,Below LOD,0.23,Below LOD,Below LOD,0.022,22.2,1.9,0.056
