SPOT_ID,LOCALITY,SAMPLE,STYLE,IS,RELDIST,Source file,DateTime,Date,Time,Duration(s),Comments,Total points,Selection type,Components,Fe57_CPS,Fe57_CPS_Int2SE,Fe57_CPS_LOD,IntStdWv,IntStdWv_Int2SE,IntStdWv_LOD,Li_ppm_m7,Li_ppm_m7_Int2SE,Li_ppm_m7_LOD,Al_ppm_m27,Al_ppm_m27_Int2SE,Al_ppm_m27_LOD,Si_ppm_m29,Si_ppm_m29_Int2SE,Si_ppm_m29_LOD,P_ppm_m31,P_ppm_m31_Int2SE,P_ppm_m31_LOD,Ca_ppm_m44,Ca_ppm_m44_Int2SE,Ca_ppm_m44_LOD,Sc_ppm_m45,Sc_ppm_m45_Int2SE,Sc_ppm_m45_LOD,Ti_ppm_m49,Ti_ppm_m49_Int2SE,Ti_ppm_m49_LOD,V_ppm_m51,V_ppm_m51_Int2SE,V_ppm_m51_LOD,Cr_ppm_m52,Cr_ppm_m52_Int2SE,Cr_ppm_m52_LOD,Mn_ppm_m55,Mn_ppm_m55_Int2SE,Mn_ppm_m55_LOD,Co_ppm_m59,Co_ppm_m59_Int2SE,Co_ppm_m59_LOD,Ni_ppm_m60,Ni_ppm_m60_Int2SE,Ni_ppm_m60_LOD,Cu_ppm_m65,Cu_ppm_m65_Int2SE,Cu_ppm_m65_LOD,Zn_ppm_m66,Zn_ppm_m66_Int2SE,Zn_ppm_m66_LOD,Ga_ppm_m69,Ga_ppm_m69_Int2SE,Ga_ppm_m69_LOD,Ga_ppm_m71,Ga_ppm_m71_Int2SE,Ga_ppm_m71_LOD,Ge_ppm_m72,Ge_ppm_m72_Int2SE,Ge_ppm_m72_LOD,As_ppm_m75,As_ppm_m75_Int2SE,As_ppm_m75_LOD,m77__Cl_CPS,m77__Cl_CPS_Int2SE,m77__Cl_CPS_LOD,Se_ppm_m82,Se_ppm_m82_Int2SE,Se_ppm_m82_LOD,Kr83_CPS,Kr83_CPS_Int2SE,Kr83_CPS_LOD,Rb_ppm_m85,Rb_ppm_m85_Int2SE,Rb_ppm_m85_LOD,Sr_ppm_m88,Sr_ppm_m88_Int2SE,Sr_ppm_m88_LOD,Y_ppm_m89,Y_ppm_m89_Int2SE,Y_ppm_m89_LOD,Zr_ppm_m90,Zr_ppm_m90_Int2SE,Zr_ppm_m90_LOD,Nb_ppm_m93,Nb_ppm_m93_Int2SE,Nb_ppm_m93_LOD,Mo_ppm_m97,Mo_ppm_m97_Int2SE,Mo_ppm_m97_LOD,In_ppm_m113,In_ppm_m113_Int2SE,In_ppm_m113_LOD,Sn_ppm_m117,Sn_ppm_m117_Int2SE,Sn_ppm_m117_LOD,Sn_ppm_m119,Sn_ppm_m119_Int2SE,Sn_ppm_m119_LOD,Sb_ppm_m121,Sb_ppm_m121_Int2SE,Sb_ppm_m121_LOD,Cs_ppm_m133,Cs_ppm_m133_Int2SE,Cs_ppm_m133_LOD,Ba_ppm_m138,Ba_ppm_m138_Int2SE,Ba_ppm_m138_LOD,La_ppm_m139,La_ppm_m139_Int2SE,La_ppm_m139_LOD,Ce_ppm_m140,Ce_ppm_m140_Int2SE,Ce_ppm_m140_LOD,Nd_ppm_m146,Nd_ppm_m146_Int2SE,Nd_ppm_m146_LOD,Lu_ppm_m175,Lu_ppm_m175_Int2SE,Lu_ppm_m175_LOD,Hf_ppm_m179,Hf_ppm_m179_Int2SE,Hf_ppm_m179_LOD,Ta_ppm_m181,Ta_ppm_m181_Int2SE,Ta_ppm_m181_LOD,W_ppm_m182,W_ppm_m182_Int2SE,W_ppm_m182_LOD,W_ppm_m183,W_ppm_m183_Int2SE,W_ppm_m183_LOD,Tl_ppm_m205,Tl_ppm_m205_Int2SE,Tl_ppm_m205_LOD,Pb_ppm_m208,Pb_ppm_m208_Int2SE,Pb_ppm_m208_LOD,Bi_ppm_m209,Bi_ppm_m209_Int2SE,Bi_ppm_m209_LOD,Th_ppm_m232,Th_ppm_m232_Int2SE,Th_ppm_m232_LOD,U_ppm_m238,U_ppm_m238_Int2SE,U_ppm_m238_LOD,Fe_EPMA_ppm
BT_48,Blue Tier,BT1,Greisen,57Fe,1203.704406,Jason_cass_49,20/02/2018 (3) 13:05:19.69,20/02/2018 (3),05:19.7,29.08,BT_main_48,29,Normal,1,7830,830,NaN,0,1,NaN,Below LOD,Below LOD,0.16,32,2.3,1.6,1.96E+04,2.40E+03,NaN,34,10,NaN,Below LOD,Below LOD,180,1.58,0.29,0.41,88,5.3,0.39,0.51,0.14,0.16,Below LOD,Below LOD,2,Below LOD,Below LOD,2.5,1.81,0.15,0.044,13.4,1.2,0.87,Below LOD,Below LOD,1.1,Below LOD,Below LOD,0.42,0.79,0.11,0.16,1.08,0.2,NaN,Below LOD,Below LOD,0.52,Below LOD,Below LOD,0.21,2,13,NaN,Below LOD,Below LOD,1.8,41,70,NaN,Below LOD,Below LOD,0.12,Below LOD,Below LOD,0.022,Below LOD,Below LOD,0.0058,176.4,7.7,0.014,9.37,0.43,NaN,0.179,0.096,0.07,2.76,0.32,0.22,1.10E+05,5.60E+03,13,9.83E+04,4.60E+03,4.9,12.4,4.2,0.069,0.34,0.054,0.041,0.071,0.021,0.017,0.127,0.03,NaN,0.036,0.013,0.0096,0.0029,0.0059,NaN,0.0024,0.0024,NaN,10.25,0.47,0.018,0.583,0.059,NaN,9.7,0.64,0.011,10.1,1.1,NaN,Below LOD,Below LOD,0.014,Below LOD,Below LOD,0.031,Below LOD,Below LOD,0.016,Below LOD,Below LOD,NaN,0.636,0.062,NaN,394.48
BT_49,Blue Tier,BT1,Greisen,57Fe,1229.601111,Jason_cass_50,20/02/2018 (3) 13:06:29.90,20/02/2018 (3),06:29.9,29.044,BT_main_49,30,Normal,1,8010,770,NaN,0,1,NaN,Below LOD,Below LOD,0.18,37.8,2.8,2.2,2.21E+04,2.20E+03,NaN,36.5,7.9,NaN,Below LOD,Below LOD,160,1.82,0.26,0.51,101.5,6.4,0.63,0.78,0.18,0.16,2.6,1.2,2.2,Below LOD,Below LOD,2.8,2.22,0.25,0.069,12.81,0.89,0.72,Below LOD,Below LOD,0.71,Below LOD,Below LOD,0.54,0.95,0.13,0.15,1.14,0.21,NaN,Below LOD,Below LOD,0.54,Below LOD,Below LOD,0.16,15,16,NaN,Below LOD,Below LOD,2.9,40,40,NaN,Below LOD,Below LOD,0.12,Below LOD,Below LOD,0.024,0.0007,0.0016,NaN,186,9.1,0.013,6.5,0.36,NaN,0.31,0.11,NaN,3.82,0.45,0.15,1.22E+05,6.10E+03,21,1.07E+05,4.50E+03,10,11.3,4,0.081,0.358,0.048,0.068,0.085,0.027,0.028,0.103,0.026,0.0046,0.021,0.011,0.015,0.0039,0.0079,NaN,0.0064,0.0045,NaN,9.33,0.64,0.021,0.326,0.034,NaN,12.03,0.9,NaN,12.7,1.2,NaN,Below LOD,Below LOD,0.0056,Below LOD,Below LOD,0.075,Below LOD,Below LOD,0.017,Below LOD,Below LOD,NaN,0.759,0.064,NaN,462.385
BT_50,Blue Tier,BT1,Greisen,57Fe,1254.255935,Jason_cass_51,20/02/2018 (3) 13:07:40.07,20/02/2018 (3),07:40.1,29.039,BT_main_50,29,Normal,1,7330,650,NaN,0,1,NaN,Below LOD,Below LOD,0.16,35.9,2.6,2,2.33E+04,2.10E+03,NaN,43.8,9.3,NaN,Below LOD,Below LOD,170,1.73,0.28,0.47,93.5,8.2,1.1,0.46,0.14,0.24,Below LOD,Below LOD,2.1,Below LOD,Below LOD,3.3,2.29,0.22,0.054,13.8,1,0.83,Below LOD,Below LOD,1.6,Below LOD,Below LOD,0.71,0.98,0.18,0.16,0.98,0.11,0.026,Below LOD,Below LOD,0.63,Below LOD,Below LOD,0.22,-3.3,8.6,NaN,Below LOD,Below LOD,2.7,-27,54,NaN,Below LOD,Below LOD,0.14,Below LOD,Below LOD,0.021,Below LOD,Below LOD,0.008,208,12,NaN,16.6,1.4,NaN,0.187,0.099,NaN,3.6,0.51,0.19,1.28E+05,8.00E+03,28,1.15E+05,7.80E+03,8.3,13.1,4.3,0.083,0.397,0.069,0.074,Below LOD,Below LOD,0.13,0.08,0.021,0.0064,0.049,0.018,0.012,Below LOD,Below LOD,NaN,0.0039,0.0034,0.0029,13.5,1.1,NaN,2.02,0.23,NaN,10.88,0.86,0.013,10.5,1.2,NaN,Below LOD,Below LOD,0.0094,Below LOD,Below LOD,0.051,Below LOD,Below LOD,0.021,Below LOD,Below LOD,NaN,0.634,0.08,NaN,433.9633333
BT_51,Blue Tier,BT1,Greisen,57Fe,1275.242827,Jason_cass_52,20/02/2018 (3) 13:08:50.39,20/02/2018 (3),08:50.4,29.048,BT_main_51,29,Normal,1,9.10E+03,1.00E+03,NaN,0,1,NaN,Below LOD,Below LOD,0.14,37.7,2.4,2,1.81E+04,2.30E+03,NaN,23.8,8,NaN,Below LOD,Below LOD,200,2,0.28,0.36,101.1,6.7,0.51,0.53,0.13,0.16,Below LOD,Below LOD,2.1,Below LOD,Below LOD,2.4,2.02,0.25,0.03,12.5,1.1,0.76,Below LOD,Below LOD,0.64,Below LOD,Below LOD,1.9,1.06,0.14,0.17,1.41,0.25,NaN,Below LOD,Below LOD,0.36,Below LOD,Below LOD,0.2,-4.3,8.7,NaN,Below LOD,Below LOD,2.3,-19,66,NaN,Below LOD,Below LOD,0.12,Below LOD,Below LOD,0.015,0.0057,0.0048,NaN,197.5,9.1,NaN,18.5,1.5,NaN,0.31,0.13,0.063,3.04,0.38,0.23,1.13E+05,6.00E+03,9.9,9.99E+04,5.40E+03,25,11.1,4.3,0.073,0.364,0.064,0.043,0.104,0.03,0.018,0.114,0.028,NaN,0.022,0.012,0.016,0.0043,0.0087,NaN,0.0059,0.0035,NaN,12.81,0.93,NaN,2.35,0.69,0.0025,10.48,0.56,0.012,10.91,0.72,NaN,Below LOD,Below LOD,0.007,Below LOD,Below LOD,0.051,Below LOD,Below LOD,0.015,Below LOD,Below LOD,NaN,0.764,0.075,NaN,469.23
BT_52,Blue Tier,BT1,Greisen,57Fe,1293.150122,Jason_cass_53,20/02/2018 (3) 13:12:20.93,20/02/2018 (3),12:20.9,29.072,BT_main_52,29,Normal,1,8810,630,NaN,0,1,NaN,Below LOD,Below LOD,0.13,29.1,2.4,1.4,1.42E+04,1.30E+03,NaN,14.2,5.5,NaN,Below LOD,Below LOD,160,1.42,0.22,0.27,81.1,5.6,0.54,0.495,0.087,0.12,Below LOD,Below LOD,1.5,Below LOD,Below LOD,1.8,1.5,0.15,0.035,8.78,0.87,0.68,Below LOD,Below LOD,0.56,Below LOD,Below LOD,0.37,0.93,0.14,0.16,1.15,0.19,0.026,Below LOD,Below LOD,0.5,Below LOD,Below LOD,0.24,-3,11,NaN,Below LOD,Below LOD,1.2,3,65,NaN,Below LOD,Below LOD,0.092,Below LOD,Below LOD,0.019,Below LOD,Below LOD,0.0095,159.1,8.5,0.0067,13,1.7,0.0048,0.208,0.092,NaN,2.83,0.41,0.14,8.56E+04,3.80E+03,0.52,7.66E+04,3.40E+03,0.68,9.9,3.3,0.053,0.242,0.045,0.04,0.09,0.027,0.015,0.072,0.021,0.0032,0.0211,0.0099,0.0097,Below LOD,Below LOD,NaN,Below LOD,Below LOD,0.0034,12.8,1.2,NaN,1.77,0.53,0.0039,9.11,0.46,NaN,9.62,0.59,NaN,Below LOD,Below LOD,0.01,Below LOD,Below LOD,0.032,Below LOD,Below LOD,0.025,Below LOD,Below LOD,NaN,0.549,0.045,0.0039,370.04
BT_53,Blue Tier,BT1,Greisen,57Fe,1316.3687,Jason_cass_54,20/02/2018 (3) 13:13:31.12,20/02/2018 (3),13:31.1,29.08,BT_main_53,29,Normal,1,8920,890,NaN,0.1,1,NaN,Below LOD,Below LOD,0.23,47,2.4,1.5,2.87E+04,2.50E+03,NaN,40,11,NaN,Below LOD,Below LOD,240,2,0.38,0.55,145,10,0.78,0.92,0.22,0.23,Below LOD,Below LOD,2.7,Below LOD,Below LOD,3.5,2.44,0.22,0.065,16.2,1.4,0.95,Below LOD,Below LOD,1.2,Below LOD,Below LOD,0.63,1.46,0.18,0.23,1.83,0.28,0.03,Below LOD,Below LOD,0.7,Below LOD,Below LOD,0.35,10,14,NaN,Below LOD,Below LOD,2.6,7,79,NaN,Below LOD,Below LOD,0.15,Below LOD,Below LOD,0.046,Below LOD,Below LOD,0.016,242,10,0.018,12.58,0.81,NaN,0.61,0.15,0.067,4.13,0.4,0.21,1.44E+05,6.00E+03,14,1.28E+05,5.30E+03,12,18.4,6.7,0.14,0.492,0.073,0.081,0.114,0.033,0.016,0.141,0.039,NaN,0.03,0.013,0.01,0.019,0.022,NaN,0.0057,0.0044,NaN,13.69,0.66,NaN,0.697,0.068,NaN,16.7,0.79,NaN,18.5,1.5,NaN,Below LOD,Below LOD,0.021,Below LOD,Below LOD,0.065,Below LOD,Below LOD,0.032,Below LOD,Below LOD,NaN,0.914,0.08,NaN,609.79
BT_54,Blue Tier,BT1,Greisen,57Fe,1342.323061,Jason_cass_55,20/02/2018 (3) 13:14:41.31,20/02/2018 (3),14:41.3,29.371,BT_main_54,30,Normal,1,1.16E+04,1.10E+03,NaN,0.1,1,NaN,Below LOD,Below LOD,0.14,55.7,3.1,1.6,2.27E+04,2.30E+03,NaN,40.1,7.8,NaN,Below LOD,Below LOD,190,3.44,0.39,0.39,171,11,0.8,1.58,0.15,0.16,Below LOD,Below LOD,2.1,Below LOD,Below LOD,2.9,2.24,0.17,0.041,13.2,1.1,0.82,Below LOD,Below LOD,0.59,Below LOD,Below LOD,0.61,1.59,0.19,0.17,2.15,0.24,NaN,Below LOD,Below LOD,0.68,Below LOD,Below LOD,0.2,14,19,NaN,Below LOD,Below LOD,2.3,-70,56,NaN,Below LOD,Below LOD,0.11,Below LOD,Below LOD,0.02,Below LOD,Below LOD,0.014,257.2,9.2,0.027,34.8,3.1,NaN,0.45,0.14,0.058,4.71,0.49,0.12,1.20E+05,5.20E+03,19,1.09E+05,5.50E+03,18,13.7,4.6,0.077,0.403,0.062,0.056,0.092,0.033,0.014,0.086,0.013,0.0045,0.031,0.012,0.017,0.0032,0.0066,NaN,0.009,0.0062,NaN,21.6,1.1,NaN,4.23,0.51,NaN,18.62,0.84,NaN,19,1.1,NaN,Below LOD,Below LOD,0.0093,Below LOD,Below LOD,0.061,Below LOD,Below LOD,0.018,Below LOD,Below LOD,NaN,1.15,0.082,NaN,663.87
BT_55,Blue Tier,BT1,Greisen,57Fe,1369.588117,Jason_cass_56,20/02/2018 (3) 13:15:51.80,20/02/2018 (3),15:51.8,29.043,BT_main_55,29,Normal,1,9.60E+03,1.20E+03,NaN,0,1,NaN,Below LOD,Below LOD,0.12,33.7,1.7,1.2,1.39E+04,1.90E+03,NaN,21.8,6.7,NaN,Below LOD,Below LOD,160,2.19,0.25,0.3,91.2,6.8,0.59,0.61,0.1,0.15,Below LOD,Below LOD,1.4,Below LOD,Below LOD,2.1,1.6,0.14,0.035,11.2,1.1,0.65,Below LOD,Below LOD,0.4,Below LOD,Below LOD,0.48,1.017,0.092,0.16,1.23,0.24,NaN,Below LOD,Below LOD,0.35,Below LOD,Below LOD,0.23,12,14,NaN,Below LOD,Below LOD,1.7,27,67,NaN,Below LOD,Below LOD,0.092,Below LOD,Below LOD,0.019,Below LOD,Below LOD,0.0037,181.2,7.3,0.023,29.9,1.2,0.0038,0.27,0.15,NaN,2.67,0.41,0.097,9.53E+04,5.60E+03,5,8.58E+04,5.00E+03,20,7.9,2.7,0.069,0.289,0.058,0.03,0.087,0.02,0.017,0.073,0.023,NaN,0.029,0.012,0.012,Below LOD,Below LOD,NaN,0.0035,0.0031,0.0022,11.41,0.67,NaN,3.36,0.23,NaN,10.99,0.79,NaN,11.6,1,NaN,Below LOD,Below LOD,0.012,Below LOD,Below LOD,0.027,Below LOD,Below LOD,0.019,Below LOD,Below LOD,0.0048,0.636,0.058,NaN,430.735
BT_56,Blue Tier,BT1,Greisen,57Fe,1392.870983,Jason_cass_57,20/02/2018 (3) 13:17:02.03,20/02/2018 (3),17:02.0,29.059,BT_main_56,29,Normal,1,11170,910,NaN,0.1,1,NaN,Below LOD,Below LOD,0.14,47,1.9,2.2,1.84E+04,2.80E+03,NaN,37.1,9.7,NaN,Below LOD,Below LOD,210,3.41,0.38,0.47,128.3,8.5,0.38,1.23,0.17,0.14,Below LOD,Below LOD,1.6,Below LOD,Below LOD,2.4,2.16,0.22,0.054,13.65,0.9,0.86,Below LOD,Below LOD,0.58,Below LOD,Below LOD,4.2,1.57,0.22,0.17,1.82,0.3,NaN,Below LOD,Below LOD,0.46,Below LOD,Below LOD,0.19,-8.4,7.2,NaN,Below LOD,Below LOD,2.5,22,59,NaN,Below LOD,Below LOD,0.12,Below LOD,Below LOD,0.022,Below LOD,Below LOD,0.0045,231.5,8.8,0.009,41.5,2.1,0.01,0.37,0.19,0.081,4.36,0.52,0.14,1.16E+05,3.70E+03,19,1.04E+05,4.00E+03,24,8.2,3.7,0.067,0.36,0.068,0.063,0.086,0.03,0.02,0.108,0.028,NaN,0.03,0.011,0.014,Below LOD,Below LOD,NaN,0.0041,0.003,NaN,17.35,0.89,NaN,8.5,1,0.0026,15.7,0.67,0.02,16.2,1.3,NaN,Below LOD,Below LOD,0.0054,Below LOD,Below LOD,0.053,Below LOD,Below LOD,0.019,Below LOD,Below LOD,NaN,1.041,0.066,NaN,628.7366667
BT_57,Blue Tier,BT1,Greisen,57Fe,1420.106785,Jason_cass_58,20/02/2018 (3) 13:18:12.21,20/02/2018 (3),18:12.2,29.036,BT_main_57,29,Normal,1,9870,850,NaN,0,1,NaN,Below LOD,Below LOD,0.11,33.4,1.7,0.97,1.55E+04,1.60E+03,NaN,23.2,6.5,NaN,Below LOD,Below LOD,160,2.08,0.31,0.24,109.5,5.8,0.33,1.01,0.13,0.14,Below LOD,Below LOD,1.6,Below LOD,Below LOD,2.4,1.62,0.16,0.031,9.69,0.52,0.43,Below LOD,Below LOD,0.53,Below LOD,Below LOD,0.47,1.13,0.11,0.11,1.42,0.19,0.027,Below LOD,Below LOD,0.44,Below LOD,Below LOD,0.13,-1,12,NaN,Below LOD,Below LOD,1.5,26,53,NaN,Below LOD,Below LOD,0.091,Below LOD,Below LOD,0.02,0.0039,0.0033,NaN,186.3,7.6,0.02,26.6,1.3,NaN,0.27,0.099,NaN,3.89,0.44,0.14,8.86E+04,3.40E+03,8.8,7.91E+04,3.70E+03,8.3,7,3.8,0.039,0.273,0.033,0.033,0.067,0.021,0.013,0.073,0.016,0.0033,0.029,0.013,0.0085,Below LOD,Below LOD,NaN,0.0041,0.0032,NaN,15.35,0.72,NaN,10.56,0.44,NaN,11.37,0.61,NaN,12.2,1,NaN,Below LOD,Below LOD,0.0078,Below LOD,Below LOD,0.054,Below LOD,Below LOD,0.017,Below LOD,Below LOD,NaN,0.685,0.05,NaN,416.505
BT_58,Blue Tier,BT1,Greisen,57Fe,1445.553213,Jason_cass_59,20/02/2018 (3) 13:19:22.35,20/02/2018 (3),19:22.4,29.099,BT_main_58,29,Normal,1,10330,790,NaN,0,1,NaN,Below LOD,Below LOD,0.095,37.6,2.1,1.5,1.74E+04,1.50E+03,NaN,31.6,8.5,NaN,Below LOD,Below LOD,120,2.55,0.23,0.41,120,6.5,0.82,0.918,0.094,0.1,Below LOD,Below LOD,2,Below LOD,Below LOD,2.2,1.79,0.16,0.037,10.43,0.89,0.63,Below LOD,Below LOD,0.57,Below LOD,Below LOD,0.46,1.19,0.11,0.15,1.32,0.26,0.065,Below LOD,Below LOD,0.46,Below LOD,Below LOD,0.17,14,15,NaN,Below LOD,Below LOD,1.6,-61,76,NaN,Below LOD,Below LOD,0.1,Below LOD,Below LOD,0.021,0.0019,0.0028,NaN,215.6,9.4,0.011,32.6,1.5,0.004,0.165,0.077,0.035,4.72,0.36,0.15,1.01E+05,4.20E+03,15,9.02E+04,3.90E+03,11,7.2,2.6,0.052,0.303,0.043,0.034,0.068,0.022,0.016,0.082,0.018,NaN,0.027,0.01,0.014,Below LOD,Below LOD,NaN,0.0077,0.0043,NaN,14.57,0.66,0.017,7.2,0.46,0.0023,13.42,0.6,0.015,13.07,0.72,NaN,Below LOD,Below LOD,0.0077,Below LOD,Below LOD,0.12,Below LOD,Below LOD,0.018,Below LOD,Below LOD,NaN,0.797,0.078,NaN,491.4466667
BT_59,Blue Tier,BT1,Greisen,57Fe,1471.097355,Jason_cass_60,20/02/2018 (3) 13:22:52.97,20/02/2018 (3),22:53.0,29.029,BT_main_59,29,Normal,1,1.21E+04,1.10E+03,NaN,0.1,1,NaN,Below LOD,Below LOD,0.1,48.3,2.3,2.1,1.73E+04,2.00E+03,NaN,29,10,NaN,Below LOD,Below LOD,240,3.81,0.26,0.31,127.1,8.5,0.6,0.96,0.16,0.18,Below LOD,Below LOD,2.2,Below LOD,Below LOD,2.1,1.99,0.18,0.038,11.3,1,0.79,Below LOD,Below LOD,2.4,Below LOD,Below LOD,0.51,1.43,0.14,0.14,1.84,0.29,0.047,Below LOD,Below LOD,0.44,Below LOD,Below LOD,0.2,1,11,NaN,Below LOD,Below LOD,2.1,8,57,NaN,Below LOD,Below LOD,0.091,Below LOD,Below LOD,0.019,Below LOD,Below LOD,0.0043,245.8,9.3,0.02,47.5,2.7,0.0044,0.26,0.1,0.039,5.09,0.4,0.14,1.11E+05,4.80E+03,0.9,9.77E+04,4.60E+03,1.2,7.6,3.3,0.084,0.348,0.055,0.038,0.08,0.033,0.023,0.073,0.028,0.012,0.024,0.013,0.013,Below LOD,Below LOD,NaN,0.0144,0.0073,0.0026,16.53,0.9,0.037,10.4,1.1,0.0025,16.26,0.94,NaN,17.2,1.3,NaN,Below LOD,Below LOD,0.011,Below LOD,Below LOD,0.047,Below LOD,Below LOD,0.032,Below LOD,Below LOD,0.004,1.073,0.089,NaN,633.395
BT_60,Blue Tier,BT1,Greisen,57Fe,1496.101341,Jason_cass_61,20/02/2018 (3) 13:24:03.11,20/02/2018 (3),24:03.1,29.115,BT_main_60,29,Normal,1,9820,840,NaN,0.1,1,NaN,Below LOD,Below LOD,0.12,38.3,2.1,1.3,2.17E+04,2.00E+03,NaN,39,6.1,NaN,Below LOD,Below LOD,220,2.64,0.29,0.39,117.8,8.5,0.55,0.95,0.12,0.16,Below LOD,Below LOD,1.8,Below LOD,Below LOD,2.4,2.01,0.17,0.048,12.5,1.2,0.7,Below LOD,Below LOD,0.84,Below LOD,Below LOD,0.57,1.35,0.13,0.15,1.53,0.19,NaN,Below LOD,Below LOD,0.53,Below LOD,Below LOD,0.27,4,12,NaN,Below LOD,Below LOD,1.6,-7,51,NaN,Below LOD,Below LOD,0.1,Below LOD,Below LOD,0.017,Below LOD,Below LOD,0.0043,235,11,0.014,43.8,2.9,NaN,0.56,0.13,NaN,4.84,0.58,0.17,1.11E+05,4.70E+03,29,9.93E+04,4.30E+03,11,9.2,3.4,0.099,0.376,0.058,0.047,0.079,0.019,0.021,0.076,0.016,0.0041,0.04,0.016,0.014,0.023,0.019,NaN,0.0076,0.0049,NaN,19.7,1.1,NaN,13.1,1.6,NaN,15.64,0.78,NaN,16.1,1.1,NaN,Below LOD,Below LOD,0.021,Below LOD,Below LOD,0.056,Below LOD,Below LOD,0.016,Below LOD,Below LOD,NaN,0.763,0.059,NaN,514.0866667
BT_61,Blue Tier,BT1,Greisen,57Fe,1519.384206,Jason_cass_62,20/02/2018 (3) 13:25:13.31,20/02/2018 (3),25:13.3,29.084,BT_main_61,29,Normal,1,11100,850,NaN,0.1,1,NaN,Below LOD,Below LOD,0.14,42.2,2.2,1.6,1.86E+04,2.30E+03,NaN,32.5,7.3,NaN,Below LOD,Below LOD,190,3.63,0.43,0.24,115.5,6.9,0.82,1.14,0.15,0.15,1.9,1,1.8,2.8,1.4,2.3,1.61,0.16,0.042,11.5,1.1,0.58,Below LOD,Below LOD,0.67,Below LOD,Below LOD,0.65,1.49,0.14,0.17,1.62,0.22,NaN,Below LOD,Below LOD,0.58,Below LOD,Below LOD,0.21,21,17,NaN,Below LOD,Below LOD,1.8,29,64,NaN,Below LOD,Below LOD,0.13,Below LOD,Below LOD,0.027,0.004,0.0039,0.0039,206,11,0.011,34.8,2.7,0.21,0.35,0.16,0.048,5,0.52,0.16,1.02E+05,5.50E+03,9.9,9.13E+04,4.90E+03,11,8.9,3,0.055,0.31,0.053,0.038,0.071,0.025,0.016,0.07,0.018,0.0037,0.023,0.011,0.01,Below LOD,Below LOD,NaN,0.0059,0.0035,NaN,15.06,0.96,NaN,8.1,2.3,0.0023,13.01,0.72,0.011,12.9,1.2,0.04,Below LOD,Below LOD,0.0088,0.032,0.03,0.031,Below LOD,Below LOD,0.02,Below LOD,Below LOD,0.0036,0.922,0.067,NaN,528.435
BT_62,Blue Tier,BT1,Greisen,57Fe,1544.846294,Jason_cass_63,20/02/2018 (3) 13:26:23.60,20/02/2018 (3),26:23.6,29.036,BT_main_62,30,Normal,1,7850,760,NaN,0,1,NaN,Below LOD,Below LOD,0.14,28.9,1.6,1.1,1.85E+04,2.60E+03,NaN,38,11,NaN,Below LOD,Below LOD,190,2.02,0.27,0.35,88.1,5.9,0.77,0.55,0.14,0.17,Below LOD,Below LOD,1.7,Below LOD,Below LOD,2.2,1.7,0.15,0.052,11.95,0.93,0.64,Below LOD,Below LOD,0.6,Below LOD,Below LOD,0.47,0.9,0.15,0.13,0.99,0.18,0.031,Below LOD,Below LOD,0.53,Below LOD,Below LOD,0.18,3,11,NaN,Below LOD,Below LOD,1.9,28,49,NaN,Below LOD,Below LOD,0.085,Below LOD,Below LOD,0.023,0.0072,0.0066,NaN,195.7,8.7,0.029,34.7,2.6,0.0041,0.186,0.092,0.036,3.73,0.5,0.18,1.05E+05,4.70E+03,12,9.48E+04,4.80E+03,21,8.9,3.6,0.056,0.377,0.062,0.04,0.09,0.027,0.018,0.085,0.018,0.0039,0.031,0.015,0.011,0.019,0.018,NaN,0.0049,0.0031,NaN,15.5,1.1,NaN,22.3,3.3,NaN,5.82,0.48,NaN,6.46,0.69,0.041,Below LOD,Below LOD,0.013,Below LOD,Below LOD,0.054,Below LOD,Below LOD,0.019,Below LOD,Below LOD,NaN,0.554,0.055,NaN,391.4366667
BT_63,Blue Tier,BT1,Greisen,57Fe,1569.909989,Jason_cass_64,20/02/2018 (3) 13:27:33.96,20/02/2018 (3),27:34.0,29.403,BT_main_63,30,Normal,1,9300,700,NaN,0.1,1,NaN,Below LOD,Below LOD,0.28,41.6,2.7,4.7,2.14E+04,3.50E+03,NaN,31.1,9.7,NaN,Below LOD,Below LOD,460,3.51,0.44,0.78,117.7,8.2,1.4,0.98,0.15,0.31,Below LOD,Below LOD,3.3,Below LOD,Below LOD,4.3,2.19,0.18,0.1,13.9,1.2,1.4,Below LOD,Below LOD,1.5,Below LOD,Below LOD,1.1,1.37,0.14,0.32,1.69,0.22,NaN,Below LOD,Below LOD,1.3,Below LOD,Below LOD,0.36,-6.5,7.6,NaN,Below LOD,Below LOD,3.5,-16,68,NaN,Below LOD,Below LOD,0.18,Below LOD,Below LOD,0.059,0.0068,0.0052,NaN,241,12,NaN,35.6,2,NaN,0.25,0.1,NaN,5.3,0.53,0.24,1.21E+05,5.60E+03,1.5,1.07E+05,5.40E+03,0.79,13.7,4.2,0.2,0.349,0.053,0.21,0.074,0.019,NaN,0.111,0.035,NaN,Below LOD,Below LOD,0.042,Below LOD,Below LOD,0.099,0.0053,0.0037,NaN,15.68,0.98,NaN,7.31,0.92,NaN,10.46,0.71,NaN,10.7,1,NaN,Below LOD,Below LOD,0.027,Below LOD,Below LOD,0.1,Below LOD,Below LOD,0.044,Below LOD,Below LOD,NaN,0.849,0.064,NaN,535.955
