Sample ID,SAMPLE,LOCALITY,STYLE,SPOT_ID,IS,Ca_ppm_m44,Sc_ppm_m45,Ti_ppm_m49,Mn_ppm_m55,Fe_ppm_m57,Y_ppm_m89,Zr_ppm_m90,Nb_ppm_m93,Sn_ppm_m119,Sb_ppm_m121,La_ppm_m139,Ce_ppm_m140,Pr_ppm_m141,Nd_ppm_m143,Sm_ppm_m147,Eu_ppm_m151,Gd_ppm_m157,Tb_ppm_m159,Dy_ppm_m161,Ho_ppm_m165,Er_ppm_m167,Tm_ppm_m169,Yb_ppm_m171,Lu_ppm_m175,Hf_ppm_m179,Ta_ppm_m181,W_ppm_m183,Pb_ppm_m208,Bi_ppm_m209,Th_ppm_m232,U_ppm_m238,Ca44_ERR,Sc45_ERR,Ti49_ERR,Mn55_ERR,Fe57_ERR,Y89_ERR,Zr90_ERR,Nb93_ERR,Sn119_ERR,Sb121_ERR,La139_ERR,Ce140_ERR,Pr141_ERR,Nd143_ERR,Sm147_ERR,Eu151_ERR,Gd157_ERR,Tb159_ERR,Dy161_ERR,Ho165_ERR,Er167_ERR,Tm169_ERR,Yb171_ERR,Lu175_ERR,Hf178_ERR,Ta181_ERR,W183_ERR,Pb208_ERR,Bi209_ERR,Th232_ERR,U238_ERR,Ca_ppm_m44_LOD,Sc_ppm_m45_LOD,Ti_ppm_m49_LOD,Mn_ppm_m55_LOD,Fe_ppm_m57_LOD,Zr_ppm_m90_LOD,Nb_ppm_m93_LOD,Sn_ppm_m119_LOD,Sb_ppm_m121_LOD,La_ppm_m139_LOD,Ce_ppm_m140_LOD,Pr_ppm_m141_LOD,Nd_ppm_m143_LOD,Sm_ppm_m147_LOD,Eu_ppm_m151_LOD,Gd_ppm_m157_LOD,Tb_ppm_m159_LOD,Dy_ppm_m161_LOD,Y_ppm_m89_LOD,Ho_ppm_m165_LOD,Er_ppm_m167_LOD,Tm_ppm_m169_LOD,Yb_ppm_m171_LOD,Lu_ppm_m175_LOD,Hf_ppm_m178_LOD,Ta_ppm_m181_LOD,W_ppm_m183_LOD,Pb_ppm_m208_LOD,Bi_ppm_m209_LOD,Th_ppm_m232_LOD,U_ppm_m238_LOD,Ca44_CPS,Sc45_CPS,Ti49_CPS,Mn55_CPS,Fe57_CPS,Y89_CPS,Zr90_CPS,Nb93_CPS,Sn119_CPS,Sb121_CPS,La139_CPS,Ce140_CPS,Pr141_CPS,Nd143_CPS,Sm147_CPS,Eu151_CPS,Gd157_CPS,Tb159_CPS,Dy161_CPS,Ho165_CPS,Er167_CPS,Tm169_CPS,Yb171_CPS,Lu175_CPS,Hf178_CPS,Ta181_CPS,W183_CPS,Pb208_CPS,Bi209_CPS,Th232_CPS,U238_CPS
#169537,WG03,Siffleetes Reward,Pegmatite,WG03-101,119Sn,<12.52,1.6,342.87,198.85,3083.88,0.269,839.81,4403.82,600717.56,,0.0067,0.0077,0.00121,<0.0138,0.0223,<0.0024,0.36,0.0645,0.0291,0.0064,0.028,0.0077,0.129,0.0287,236.68,13773.26,5.02,0.0112,<0.0028,<0.0033,5.02,14.74,0.11,26.86,19.24,317.93,0.019,54.8,282.79,36998.72,,0.0011,0.0013,0.00065,0.0062,0.0052,0.0013,0.027,0.0039,0.0069,0.0014,0.0051,0.0014,0.013,0.0025,7.47,435.55,0.19,0.0023,0.0012,0.0013,0.19,12.52,0.0489,0.201,0.103,4.49,0.00745,0.0174,0.00215,0.0837,,<0.00000,0.00151,0.00116,0.0138,0.00461,0.00241,0.031,0.00155,0.0111,0.00231,0.00561,0.0018,0.00757,0.00163,0.00703,0.00316,0.0209,<0.00000,0.00279,0.00326,0.0015,0,3977,45376,500412,150124,929,1399789,12090203,233851568,,26,30,5,1,14,4,234,274,21,24,25,30,70,104,243326,44531004,2236,16,1,0,13970
#169537,WG03,Siffleetes Reward,Pegmatite,WG03-104,119Sn,<9.84,1.012,202.63,99.63,1479.89,0.14,587.64,2209.34,478425.59,,<0.00150,0.1932,0.00209,<0.0087,<0.0107,<0.0037,0.277,0.0509,<0.0096,0.00413,0.0088,0.0065,0.102,0.0141,176.31,7239.79,1.959,<0.0057,<0.00193,0.00316,2.446,12.84,0.071,15.88,9.64,152.59,0.01,38.35,141.87,29466.68,,0.00075,0.0096,0.00066,0.0041,0.004,0.0014,0.021,0.0031,0.0045,0.00093,0.0037,0.0011,0.011,0.0015,5.56,228.95,0.081,0.0026,0.00079,0.00098,0.096,9.84,0.0375,0.157,0.0804,3.47,0.00558,0.0123,0.00655,0.0627,,0.0015,<0.00000,0.00104,0.00874,0.0107,0.00373,0.0233,0.00076,0.00962,0.00134,0.0071,0.0014,0.00718,0.00089,0.00629,0.00173,0.0162,0.00566,0.00193,0.00146,0.00232,0,3244,34603,323549,92962,624,1263914,7826934,240331264,,6,973,11,2,0,0,232,279,6,20,10,33,72,66,233892,30204916,1125,5,0,11,8790
#169518,MY02,Moolyella,Pegmatite,MY02_02,119Sn,<76.14,0.74,369.87,197.21,4803.43,0.24,1387.78,4206.79,646864.69,1.063,0.0086,<0.0095,0.0069,<0.026,<0.0177,<0.0051,1.224,0.1927,0.0176,0.008,0.017,0.0081,0.15,0.0292,414.23,16112.95,4.51,<0.0146,<0.00210,<0.0047,11.12,31.01,0.2,29.39,16.84,463.26,0.023,70.53,220.39,25168.96,0.08,0.0024,0.0041,0.0018,0.01,0.0082,0.0022,0.061,0.0091,0.0054,0.0015,0.0044,0.0015,0.017,0.0028,13.13,509.54,0.18,0.0059,0.00099,0.0015,0.37,76.14,0.468,0.903,0.447,20.71,0.0339,0.0603,0.0175,0.162,0.0265,0.0036,0.00951,0.00269,0.0262,0.0177,0.00514,0.0315,0.00125,0.00655,0.00122,0.00483,0.00156,0.016,0.0023,0.00554,0.00243,0.0145,0.0146,0.0021,0.00466,0.00142,0,254,7919,63510,34391,147,434681,2462101,62125772,289,12,6,13,0,2,0,413,453,7,19,10,21,55,75,311709,39135468,1301,0,1,0,32622
#169518,MY02,Moolyella,Pegmatite,MY02_04,119Sn,<86.53,0.79,435.48,170.14,4695.92,0.275,1587.76,4355.82,762599.88,1.55,0.0058,0.0328,0.0048,<0.030,<0.02,<0.00,1.483,0.255,0.0279,0.0049,0.0314,0.0112,0.213,0.0407,458.1,14850.4,4.15,0.032,<0.0034,0.0056,10.25,36.57,0.23,34.6,14.54,452.99,0.026,80.69,228.2,29672.15,0.11,0.0025,0.0043,0.0019,0.013,<0.00,<0.00,0.073,0.012,0.0076,0.0013,0.0066,0.0017,0.021,0.0035,14.52,469.62,0.17,0.0067,0.0015,0.0012,0.34,86.53,0.543,0.895,0.503,24.63,0.0359,0.0825,0.0228,0.197,0.03,0.00471,0.00449,0.00352,0.0297,0.02,<0.00000,0.0383,0.00142,0.0105,0.00138,0.00772,0.00125,0.0128,0.0013,<0.00000,0.00194,0.0231,0.0127,0.00336,<0.00000,0.00197,0,225,7723,45393,27852,140,411990,2111918,60674660,348,6,40,7,2,0,0,414,496,10,9,15,24,65,86,285575,29880370,991,32,1,12,24904
#169518,MY02,Moolyella,Pegmatite,MY02_06,119Sn,<78.20,1.41,480.96,171.39,5205.11,0.373,1527.84,5588.73,728621.44,1.041,0.0421,0.0695,0.0154,0.044,0.0078,<0.0053,1.495,0.261,0.06,0.0111,0.0165,0.0122,0.205,0.0473,372.93,13923.35,7.48,0.144,<0.0034,0.1776,14.51,34.22,0.25,38.23,14.65,502.12,0.032,77.65,292.79,28350.15,0.084,0.005,0.0067,0.0029,0.021,0.0045,0.0021,0.077,0.012,0.011,0.0024,0.0055,0.0019,0.022,0.0041,11.83,440.3,0.29,0.012,0.0017,0.0093,0.48,78.2,0.484,0.818,0.477,22.81,0.035,0.0741,0.0147,0.206,0.0224,0.00215,0.00502,0.00322,0.0383,<0.00000,0.00531,0.035,0.00224,0.00677,0.00334,0.00706,<0.00000,0.00828,0.00168,<0.00000,0.00177,0.0259,0.0124,0.00343,<0.00000,0.00147,0,443,9339,50064,33801,208,434045,2966697,63469592,257,54,93,26,9,2,0,457,557,24,24,9,29,68,110,254528,30672186,1957,160,2,432,38620
#169518,MY02,Moolyella,Pegmatite,MY02_08,119Sn,<62.91,0.85,354.27,130.12,3924.09,0.202,1192.24,3887.59,549737.94,0.754,0.0083,0.0087,0.0039,<0.041,<0.0265,<0.0036,0.995,0.1793,0.0242,0.0057,0.0185,0.0095,0.151,0.0238,315.93,11504.2,4.17,<0.0114,<0.00222,<0.00134,9.56,25.47,0.18,28.13,11.12,378.47,0.021,60.59,203.67,21389.86,0.059,0.0021,0.0027,0.0011,0.015,0.0089,0.0019,0.051,0.0083,0.0056,0.0013,0.0045,0.0014,0.015,0.0023,10.01,363.8,0.17,0.0045,0.00098,0.00063,0.31,62.91,0.394,0.724,0.378,18.3,0.0318,0.0558,0.0123,0.184,0.0132,0.00312,0.00514,0.00134,0.0409,0.0265,0.00363,0.032,0.00108,0.00566,0.00183,0.0059,0.00095,0.012,0.00199,0.00677,0.00148,<0.00000,0.0114,0.00222,0.00134,0.00087,0,338,8775,48479,32503,144,432018,2632221,61080320,237,13,14,8,0,0,3,388,488,12,16,13,29,64,70,275031,32325054,1390,0,1,1,32434
#169518,MY02,Moolyella,Pegmatite,MY02_10,119Sn,<87.24,1.2,494.03,163.94,5206.06,0.327,1598.97,5426.81,778957.38,1.091,0.0098,0.0156,0.004,<0.039,<0.027,<0.0050,1.578,0.277,0.0209,0.0074,0.035,0.0128,0.226,0.041,410.51,14806.25,5.88,<0.0153,<0.0036,<0.00187,13.5,36.83,0.25,39.22,14.01,502.14,0.03,81.26,284.31,30308.61,0.085,0.0027,0.0031,0.0016,0.016,0.01,0.0023,0.076,0.012,0.0054,0.0014,0.0073,0.0019,0.022,0.0034,13.01,468.22,0.23,0.0065,0.0017,0.00081,0.44,87.24,0.554,1.03,0.531,26.25,0.0446,0.0839,<0.00000,0.181,0.0345,0.00433,0.00413,0.00264,0.0386,0.0275,0.00504,0.0315,0.00213,<0.00000,<0.00000,0.0101,0.00133,0.0167,<0.00000,0.00816,<0.00000,<0.00000,0.0153,0.00357,0.00187,0.00567,0,345,8796,43909,30998,167,416510,2641393,62216580,246,11,19,6,1,0,1,443,543,7,14,17,28,69,87,256898,29907136,1409,9,4,0,32937
#169518,MY02,Moolyella,Pegmatite,MY02_12,119Sn,<42.73,0.63,257.99,89.08,2863.85,0.157,808.93,3075.58,376540.25,0.477,<0.0030,0.01,0.00135,<0.0190,<0.0105,0.0018,0.708,0.1231,0.0237,0.00434,0.0142,0.0071,0.113,0.0218,195.86,7787.19,3.77,<0.0146,<0.00196,<0.00112,8.24,17.35,0.13,20.48,7.61,276.2,0.015,41.11,161.13,14650.88,0.038,0.0013,0.0018,0.00071,0.0079,0.0045,0.001,0.036,0.0057,0.0042,0.00083,0.0034,0.001,0.011,0.0018,6.21,246.26,0.15,0.0052,0.00072,0.0004,0.27,42.73,0.272,0.509,0.263,12.82,0.0219,0.0394,0.0073,0.115,0.0111,0.00301,0.00235,0.0013,0.019,0.0105,0.00175,0.0231,0.00128,<0.00000,0.00072,0.00494,0.00092,<0.00000,0.00096,0.00463,<0.00000,0.0121,0.0146,0.00196,0.00112,0.00059,0,367,9338,48505,34667,163,428389,3043379,61142568,219,2,25,4,0,0,2,404,490,18,17,14,32,70,94,249183,31977918,1836,0,0,0,40849
#169518,MY02,Moolyella,Pegmatite,MY02_14,119Sn,<88.69,1.62,545,140.14,5009.68,0.355,1695.38,5197.39,836819.13,1.059,<0.0049,0.0124,0.0044,0.032,<0.027,<0.0070,1.668,0.283,0.0188,0.0055,0.0324,0.0131,0.209,0.0435,455.85,14691.47,4.13,<0.0166,<0.0035,<0.00184,13.9,41.3,0.28,43.29,11.98,483.33,0.031,86.16,272.29,32560.01,0.085,0.0026,0.0032,0.002,0.017,0.011,0.0029,0.084,0.013,0.008,0.0015,0.0076,0.002,0.022,0.0039,14.45,464.6,0.18,0.0069,0.0014,0.00082,0.46,88.69,0.571,0.911,0.545,26.33,0.0364,0.0783,0.0147,0.193,0.0129,0.00494,0.00471,0.00369,0.0311,0.0272,0.00704,0.0508,<0.00000,0.0135,0.00145,0.00993,<0.00000,<0.00000,0.00193,<0.00000,<0.00000,<0.00000,0.0166,0.00353,0.00184,0.00292,0,441,9210,35623,28312,172,419163,2401073,63438840,227,4,14,6,5,0,0,444,526,6,10,15,27,60,88,270766,28166070,939,0,0,0,32176
#169518,MY02,Moolyella,Pegmatite,MY02_16,119Sn,<94.77,2.39,585.25,173.66,6336.47,0.447,1700.61,6919.01,827144.13,1.029,<0.0100,0.0341,0.0111,<0.039,0.0196,<0.0079,1.75,0.286,0.042,0.0098,0.0419,0.0185,0.276,0.0487,415.81,17481.44,8.52,0.0356,<0.0034,0.0049,17.15,41.39,0.33,46.45,14.84,611.09,0.035,86.42,362.48,32183.5,0.081,0.0045,0.0047,0.0022,0.018,0.0087,0.0024,0.085,0.013,0.01,0.0019,0.0079,0.0023,0.025,0.004,13.18,552.82,0.33,0.0083,0.0016,0.0011,0.56,94.77,0.604,1.07,0.594,29.09,0.0384,0.0906,0.019,0.519,0.0251,0.01,0.00592,0.00208,0.0392,0.0137,0.00792,0.0481,0.00236,0.0152,0.00231,0.00911,0.00147,0.0185,0.00153,0.00523,<0.00000,0.0386,0.0173,0.00344,<0.00000,0.00268,0,632,9596,42834,34745,210,407954,3101379,60840948,214,8,38,16,3,4,0,452,515,14,18,19,37,77,95,239636,32518408,1881,33,2,10,38525
