Sample ID,SAMPLE,LOCALITY,STYLE,SPOT_ID,IS,Ca_ppm_m44,Sc_ppm_m45,Ti_ppm_m49,Mn_ppm_m55,Fe_ppm_m57,Y_ppm_m89,Zr_ppm_m90,Nb_ppm_m93,Sn_ppm_m119,Sb_ppm_m121,La_ppm_m139,Ce_ppm_m140,Pr_ppm_m141,Nd_ppm_m143,Sm_ppm_m147,Eu_ppm_m151,Gd_ppm_m157,Tb_ppm_m159,Dy_ppm_m161,Ho_ppm_m165,Er_ppm_m167,Tm_ppm_m169,Yb_ppm_m171,Lu_ppm_m175,Hf_ppm_m179,Ta_ppm_m181,W_ppm_m183,Pb_ppm_m208,Bi_ppm_m209,Th_ppm_m232,U_ppm_m238,Ca44_ERR,Sc45_ERR,Ti49_ERR,Mn55_ERR,Fe57_ERR,Y89_ERR,Zr90_ERR,Nb93_ERR,Sn119_ERR,Sb121_ERR,La139_ERR,Ce140_ERR,Pr141_ERR,Nd143_ERR,Sm147_ERR,Eu151_ERR,Gd157_ERR,Tb159_ERR,Dy161_ERR,Ho165_ERR,Er167_ERR,Tm169_ERR,Yb171_ERR,Lu175_ERR,Hf178_ERR,Ta181_ERR,W183_ERR,Pb208_ERR,Bi209_ERR,Th232_ERR,U238_ERR,Ca_ppm_m44_LOD,Sc_ppm_m45_LOD,Ti_ppm_m49_LOD,Mn_ppm_m55_LOD,Fe_ppm_m57_LOD,Zr_ppm_m90_LOD,Nb_ppm_m93_LOD,Sn_ppm_m119_LOD,Sb_ppm_m121_LOD,La_ppm_m139_LOD,Ce_ppm_m140_LOD,Pr_ppm_m141_LOD,Nd_ppm_m143_LOD,Sm_ppm_m147_LOD,Eu_ppm_m151_LOD,Gd_ppm_m157_LOD,Tb_ppm_m159_LOD,Dy_ppm_m161_LOD,Y_ppm_m89_LOD,Ho_ppm_m165_LOD,Er_ppm_m167_LOD,Tm_ppm_m169_LOD,Yb_ppm_m171_LOD,Lu_ppm_m175_LOD,Hf_ppm_m178_LOD,Ta_ppm_m181_LOD,W_ppm_m183_LOD,Pb_ppm_m208_LOD,Bi_ppm_m209_LOD,Th_ppm_m232_LOD,U_ppm_m238_LOD,Ca44_CPS,Sc45_CPS,Ti49_CPS,Mn55_CPS,Fe57_CPS,Y89_CPS,Zr90_CPS,Nb93_CPS,Sn119_CPS,Sb121_CPS,La139_CPS,Ce140_CPS,Pr141_CPS,Nd143_CPS,Sm147_CPS,Eu151_CPS,Gd157_CPS,Tb159_CPS,Dy161_CPS,Ho165_CPS,Er167_CPS,Tm169_CPS,Yb171_CPS,Lu175_CPS,Hf178_CPS,Ta181_CPS,W183_CPS,Pb208_CPS,Bi209_CPS,Th232_CPS,U238_CPS
#169518,MY02,Moolyella,Pegmatite,MY02_18,119Sn,<73.58,2.15,544.38,185,6495.89,0.407,1503.59,6937.22,648150.56,0.791,<0.0044,0.0116,<0.0040,<0.031,<0.024,<0.0062,1.364,0.222,0.0367,0.0066,0.0351,0.017,0.303,0.056,358.09,17516.76,10.72,<0.0134,0.0278,<0.00200,18.16,29.8,0.28,43.18,15.8,626.32,0.031,76.41,363.43,25218.99,0.064,0.0022,0.0027,0.0019,0.014,0.01,0.0026,0.067,0.01,0.0074,0.0013,0.0071,0.002,0.024,0.004,11.35,553.94,0.4,0.0051,0.0032,0.00095,0.6,73.58,0.48,0.739,0.459,22.89,0.0352,0.0747,0.0168,0.209,0.0228,0.00438,0.00417,0.00401,0.0308,0.0241,0.00624,0.0411,0.00228,0.00689,<0.00000,0.0102,<0.00000,0.0119,0.00242,0.00583,0.00181,0.0152,0.0134,0.00312,0.002,0.00183,0,722,11333,57936,45225,243,457959,3948091,60531476,209,5,16,7,3,0,0,447,508,16,15,20,44,108,139,262027,41371032,3005,0,53,3,51816
#169518,MY02,Moolyella,Pegmatite,MY02_20,119Sn,<85.87,1.75,526.7,136.1,5076.46,0.324,1483.41,5097.99,781854,0.888,0.0084,0.0153,0.0082,<0.053,<0.028,<0.0052,1.546,0.286,0.0368,0.0088,0.02,0.0111,0.211,0.0396,394.03,13967.5,5.56,0.0434,<0.0041,<0.00191,11.16,34.86,0.28,41.81,11.63,489.66,0.029,75.39,267.08,30421.32,0.072,0.003,0.0032,0.0021,0.021,0.013,0.0018,0.076,0.013,0.0092,0.0016,0.0046,0.0017,0.021,0.0034,12.49,441.7,0.22,0.0079,0.002,0.00087,0.37,85.87,0.556,0.928,0.547,27.35,0.0404,0.0843,0.00876,0.245,0.0326,0.00572,0.00488,0.00331,0.0535,0.0281,0.00516,0.0456,0.00344,0.014,0.0015,<0.00000,0.00136,0.0171,0.002,0.00482,<0.00000,0.0178,0.0153,0.00408,0.00191,0.00175,0,504,9378,36452,30228,166,386427,2481473,62451080,200,9,18,12,0,4,0,434,559,13,17,10,24,64,84,246598,28214350,1332,44,6,1,27219
#169504,GB01,Greenbushes,Pegmatite,GB01_02,119Sn,<107.32,222.03,2883.1,788.35,11329.44,0.166,1463.54,11227.41,952305.06,38.16,<0.0065,0.0228,<0.0059,<0.065,<0.028,<0.0104,1.977,0.325,0.0259,<0.0038,<0.0130,0.0039,0.049,0.0064,410.63,47235.21,88.19,0.102,0.0197,0.1045,24.35,43.09,19.52,228.05,67.31,1092.18,0.027,74.38,588.19,37053.3,2.36,0.0031,0.0046,0.0027,0.024,0.013,0.0036,0.096,0.015,0.0089,0.0018,0.0055,0.0014,0.011,0.0017,13.02,1493.72,3.09,0.011,0.004,0.0067,0.8,107.32,0.722,1.03,0.739,35.75,0.0528,0.116,0.0111,0.225,0.0293,0.0065,0.00758,0.00595,0.0647,0.0276,0.0104,0.0609,0.00339,0.0145,0.00381,0.013,0.00243,0.0125,0.00254,0.00865,0.00268,<0.00000,0.0168,0.00696,0.00343,0.0105,0,49221,39548,162662,51969,65,293695,4209937,58597084,6655,5,21,4,0,3,0,427,489,7,4,1,6,11,10,197969,73502656,16292,80,25,179,45761
#169504,GB01,Greenbushes,Pegmatite,GB01_03,119Sn,<46.27,92.42,1500.53,277.56,5209.23,0.055,655.35,4843.98,403822.19,20.56,<0.0035,0.0124,<0.0028,<0.0236,<0.0120,<0.0029,0.771,0.126,<0.0063,<0.00144,<0.0066,0.00122,0.0147,0.00396,187.02,21595.76,37.08,0.0472,0.0132,0.0825,14.77,18.62,8.12,118.67,23.7,502.18,0.011,33.31,253.77,15712.35,1.27,0.0016,0.0018,0.0012,0.0087,0.0056,0.0012,0.039,0.006,0.0033,0.00065,0.003,0.00059,0.0049,0.00087,5.93,682.92,1.3,0.0053,0.0017,0.0043,0.48,46.27,0.31,0.513,0.305,15.81,0.023,0.0508,0.00685,0.129,0.0104,0.00347,0.00135,0.0028,0.0236,0.012,0.00285,0.0272,0.00085,0.0063,0.00144,0.00656,0.00106,0.0077,0.0011,<0.00000,0.00117,0.0688,0.00864,0.00143,<0.00000,0.00118,0,47042,47259,131491,54864,49,301958,4170389,57051616,8234,5,27,2,0,2,0,382,436,4,2,3,4,7,14,207016,77158456,15725,85,38,325,63721
#169504,GB01,Greenbushes,Pegmatite,GB01_04,119Sn,<13.57,41.34,531.83,336.51,2112.36,0.1013,214.33,2496.9,111182.27,11.26,0.06,0.0999,0.01009,0.0148,0.0243,<0.00134,0.252,0.0418,0.0251,0.0024,0.0054,0.0015,0.0122,0.00247,53.48,8996.76,31.93,0.533,0.0425,0.1457,11.54,5.46,3.63,42.06,28.73,203.6,0.0071,10.89,130.81,4326,0.69,0.003,0.0043,0.00089,0.0049,0.0031,0.00047,0.013,0.002,0.0026,0.00039,0.0011,0.00028,0.0021,0.00037,1.7,284.5,1.11,0.019,0.0022,0.0055,0.38,13.57,0.0918,0.142,0.0893,4.59,0.00677,0.0158,0.00203,0.0304,0.00379,0.00103,0.00113,0.00083,0.0103,<0.00000,0.00134,0.00827,0.00091,<0.00000,0.00049,0.00097,0.00031,0.00229,0.0004,0.00112,0.00049,<0.00000,0.00279,0.0006,0.00022,0.00045,73,72452,57680,548972,76611,316,340068,7402615,54090812,15526,430,752,96,16,35,0,430,498,57,29,16,20,22,32,203867,110690776,46638,3317,426,1982,171559
#169504,GB01,Greenbushes,Pegmatite,GB01_05,119Sn,<187.63,229.99,3747.93,1546.26,9360.47,5.04,3794.05,15911.05,1790810.5,433.39,0.17,0.217,0.0269,<0.104,0.09,0.0071,3.71,0.735,0.707,0.0838,0.285,0.0478,0.523,0.0496,672.35,24138.52,140.47,1.018,0.171,2.349,65.23,77.53,20.23,296.62,132.02,903.35,0.28,192.82,833.56,69679.24,26.55,0.015,0.017,0.0054,0.048,0.032,0.0034,0.19,0.032,0.056,0.0081,0.03,0.0055,0.052,0.0059,21.33,763.35,4.94,0.052,0.013,0.088,2.14,187.63,1.27,1.71,1.23,63.36,0.0959,0.225,0.0189,0.475,0.249,0.0078,0.00744,0.00583,0.104,0.0542,<0.00000,0.131,0.00332,0.0246,0.00458,0.0181,<0.00000,0.0368,0.00305,0.0345,<0.00000,0.0384,0.0337,<0.00000,0.00412,0.00377,7,27558,27789,172452,23208,1075,411541,3224873,59561736,40856,83,111,17,4,9,2,433,598,110,70,60,44,66,44,175210,20303248,14026,432,117,2184,66272
#169504,GB01,Greenbushes,Pegmatite,GB01_07,119Sn,<146.14,398.05,5346.49,3829.77,20051.93,0.632,2154.51,25208.65,1191588.38,149.68,<0.0112,<0.0257,<0.0123,0.081,0.046,0.0108,2.55,0.414,0.149,0.0127,0.041,0.0068,0.126,0.0139,542.33,84202.28,344.97,0.208,0.0777,0.531,50.96,58.33,34.98,422.8,326.93,1932.79,0.055,109.5,1320.63,46363.59,9.18,0.0045,0.0092,0.0048,0.026,0.018,0.0043,0.13,0.019,0.023,0.0031,0.01,0.0022,0.022,0.0033,17.2,2662.72,11.99,0.018,0.0072,0.023,1.67,146.14,0.999,1.65,0.979,50.24,0.0727,0.158,0.0382,0.356,0.0475,0.0112,0.0257,0.0123,0.0406,0.0317,0.0065,0.0897,0.00549,0.0321,0.00463,0.015,0.00342,0.0248,0.00563,0.0192,0.00652,<0.00000,0.0252,0.00325,0.0034,0.00492,0,64280,53424,575638,67004,181,314956,6885804,53411548,19016,0,0,0,8,6,5,401,454,31,14,11,8,21,16,190466,95448696,46421,119,71,665,69769
#169504,GB01,Greenbushes,Pegmatite,GB01_08,119Sn,<20.25,58.26,734.41,586.89,2841.08,0.0815,307.78,3633.5,182239.22,23.58,0.00158,0.0067,0.00118,0.0115,0.0063,<0.00193,0.374,0.0605,0.0184,0.00234,0.0067,0.00126,0.0178,0.00351,77.87,12016.28,49.82,0.0421,0.0149,0.0855,7.06,8.32,5.12,58.08,50.1,273.86,0.0078,15.64,190.35,7090.76,1.45,0.00074,0.001,0.00045,0.0053,0.0026,0.00069,0.019,0.0028,0.0031,0.00041,0.0015,0.00031,0.003,0.00051,2.47,379.99,1.73,0.0031,0.0013,0.0037,0.23,20.25,0.138,0.286,0.135,6.96,0.0116,0.0229,0.00358,0.152,<0.00000,0.00148,0.00129,0.00078,0.0108,0.0042,0.00193,0.0108,0.00036,0.0038,<0.00000,0.0014,0.00032,0.00233,0.00033,0.00161,0.0005,<0.00000,0.0032,0.00061,0.00032,0.00051,0,65075,50763,610193,65670,162,311233,6865412,56505088,20723,7,32,7,8,5,0,408,460,26,18,13,10,21,29,189184,94222168,46370,167,95,741,66908
#169504,GB01,Greenbushes,Pegmatite,GB01_11,119Sn,<97.46,133.98,1975.02,750.04,6246.45,0.181,1102.5,6392.32,973168.5,140.4,0.0109,0.0144,0.009,<0.061,<0.025,<0.0072,1.921,0.33,0.0274,<0.0038,0.0202,0.0034,0.073,0.0082,345.77,27078.58,42.24,0.277,0.55,0.1481,11.26,40.33,11.78,156.3,64.04,602.54,0.027,56.04,334.89,37865.14,8.61,0.0025,0.0028,0.0023,0.023,0.011,0.003,0.094,0.015,0.0088,0.0017,0.0065,0.0012,0.014,0.0017,10.97,856.31,1.5,0.018,0.025,0.0091,0.37,97.46,0.673,0.987,0.66,33.67,0.049,0.117,0.0265,0.323,0.0264,<0.00000,<0.00000,0.00309,0.0611,0.0249,0.00722,0.0535,<0.00000,0.013,0.00384,0.0096,0.00155,0.0113,0.00161,<0.00000,0.00935,0.0203,0.0179,0.00467,0.00913,0.00316,0,30912,28196,161065,29821,74,230262,2494628,62321664,25483,10,14,11,0,0,0,432,517,8,1,8,6,18,14,173495,43854488,8121,226,728,265,22030
#169504,GB01,Greenbushes,Pegmatite,GB01_12,119Sn,<67.10,121.44,1588.05,541.48,5638.8,5.04,1521.82,5472.13,648431.56,47.62,<0.0049,0.0145,<0.0042,<0.025,<0.0171,<0.0049,1.339,0.281,0.639,0.1143,0.318,0.0687,0.744,0.1176,324.68,24147.35,39.55,0.312,0.519,0.963,40.62,27.65,10.68,125.65,46.23,543.76,0.26,77.34,286.68,25229.89,2.93,0.0024,0.0034,0.0019,0.012,0.0075,0.0022,0.066,0.012,0.035,0.0063,0.02,0.0044,0.042,0.0063,10.29,763.61,1.4,0.016,0.022,0.036,1.33,67.1,0.464,0.714,0.464,23.31,0.0309,0.0811,0.0137,0.151,0.0148,0.00491,0.00573,0.00424,0.0253,0.0171,0.00495,0.0394,0.00241,0.00892,<0.00000,0.00657,0.0015,0.0109,0.00156,0.02,0.00165,<0.00000,0.00566,<0.00000,0.00183,0.00137,0,40908,33101,169771,39304,3021,464054,3117921,60628540,12620,6,20,3,4,0,0,440,644,279,268,188,179,266,293,237856,57097824,11100,373,1002,2516,116013
#169504,GB01,Greenbushes,Pegmatite,GB01_13,119Sn,<46.54,90.29,1281.95,355.87,4699.99,0.065,632.82,4527.24,437341.16,20.43,<0.0035,0.006,0.003,0.034,<0.0156,<0.0035,0.88,0.1558,0.0082,0.00158,0.0048,0.00308,0.0275,<0.0055,176.97,19847.62,34.58,0.0508,0.0151,0.0758,8.67,19.19,7.94,101.41,30.38,453.13,0.012,32.16,237.18,17016.54,1.26,0.0016,0.002,0.0012,0.012,0.0069,0.0011,0.044,0.0071,0.0032,0.00076,0.0025,0.00084,0.0062,0.0019,5.61,627.64,1.21,0.0051,0.0019,0.0042,0.28,46.54,0.31,0.515,0.318,16.17,0.0229,0.0506,0.00687,0.122,0.0553,0.00348,0.00383,0.00237,0.0219,0.0156,0.0035,0.026,0.00209,0.00447,0.00144,0.00466,0.0013,0.00773,0.00554,0.00535,0.00117,0.0197,0.00676,0.00143,0.0013,0.00153,0,44797,39354,164330,48249,57,284202,3799129,60224756,7972,4,12,8,10,2,0,426,526,5,5,4,11,14,0,190943,69119456,14297,89,43,291,36457
#169504,GB01,Greenbushes,Pegmatite,GB01_14,119Sn,<65.14,135.32,1887.9,660.38,7207.25,0.174,923.43,7110.31,608775,45.96,<0.0057,0.0138,0.0062,<0.077,<0.0171,0.0045,1.231,0.2106,0.0362,<0.0029,0.013,<0.0026,0.0343,0.0049,262.94,29665.48,53.26,0.0869,0.0204,0.179,12.75,27.24,11.9,149.33,56.38,694.82,0.02,46.93,372.5,23686.88,2.83,0.0027,0.003,0.0017,0.027,0.0065,0.0019,0.061,0.0097,0.0084,0.0014,0.0034,0.0012,0.0089,0.0013,8.34,938.11,1.87,0.0083,0.0028,0.0085,0.42,65.14,0.45,0.842,0.429,22.68,0.0334,0.0804,0.0119,0.126,0.0314,0.00569,0.00469,0.0026,0.0771,0.0171,0.00287,0.0377,0.0021,0.0127,0.00289,<0.00000,0.00261,0.0134,0.00192,0.00379,<0.00000,0.0198,0.0118,0.00321,0.00106,<0.00000,0,48444,41821,220048,53390,111,299264,4305686,60494320,12945,6,21,12,0,0,4,430,513,16,5,8,3,13,13,204723,74549784,15887,110,41,497,38689
#169527,MF01,Mount Francisco,Pegmatite,MF01_01,119Sn,<61.98,20.34,1272.38,40.83,1079.48,0.268,606.52,663.79,653397.13,0.479,<0.0067,<0.0184,<0.0037,<0.038,<0.024,<0.0040,1.297,0.201,0.0171,0.0068,0.0414,0.0152,0.167,0.0261,202.31,5394.53,0.487,0.0166,<0.0052,0.0053,0.1207,27.13,1.81,100.76,3.5,105.07,0.028,30.84,34.79,25423.51,0.047,0.003,0.0065,0.002,0.016,0.012,0.002,0.07,0.01,0.006,0.0016,0.008,0.0021,0.02,0.003,6.42,170.6,0.041,0.0062,0.0019,0.0012,0.0068,61.98,0.459,0.728,0.48,24.31,0.0398,0.0813,0.0138,0.173,0.0148,0.00666,0.0184,0.00368,0.038,0.0242,0.00405,0.0395,0.00121,0.00633,0.00167,0.00807,0.00106,0.0155,0.00222,0.00535,0.00234,0.0279,0.012,0.00517,<0.00000,0.00168,0,6976,27010,13036,7663,163,188361,385194,62220192,129,1,0,6,0,3,1,434,469,7,16,25,40,60,66,150943,12991062,139,20,0,14,351
#169527,MF01,Mount Francisco,Pegmatite,MF01_02,119Sn,<81.54,29.58,4388.9,120.2,3745.35,1.591,824.55,2108.25,802622.94,0.7,0.0072,0.0202,0.0119,<0.053,<0.028,0.0322,1.676,0.296,0.276,0.0325,0.065,0.031,0.33,0.0662,242.05,16660.35,2.86,0.171,0.0049,0.43,7.23,34.52,2.62,347.07,10.28,361.75,0.095,41.92,110.46,31229.5,0.065,0.003,0.0055,0.0027,0.022,0.014,0.0057,0.089,0.014,0.026,0.0039,0.011,0.0034,0.032,0.0054,7.68,526.86,0.14,0.014,0.0026,0.019,0.24,81.54,0.594,0.985,0.622,32.46,0.0467,0.108,0.0193,0.311,0.0146,0.00487,0.01,0.00297,0.0532,0.0277,0.00401,0.0515,0.00239,0.0153,0.0033,0.0131,0.00149,0.0217,0.00311,0.0053,0.00232,<0.00000,0.0142,0.00492,0.00257,0.00136,0,8110,74467,30677,21250,776,204669,977827,61088028,150,8,23,17,0,4,25,448,552,98,62,31,65,96,134,144343,32067548,653,166,7,915,16807
#169527,MF01,Mount Francisco,Pegmatite,MF01_03,119Sn,<100.02,41.98,5072.56,101.97,3307.51,0.717,987.38,2438.73,1071565.5,0.795,0.0144,0.0207,0.0081,<0.055,<0.028,<0.0094,2.08,0.34,0.057,0.0078,0.0337,0.0212,0.271,0.0543,249.72,13790.92,2.55,0.506,<0.0066,<0.0136,4.31,43.89,3.72,401.17,8.73,319.95,0.058,50.2,127.78,41694.02,0.078,0.0053,0.0049,0.0027,0.027,0.013,0.0043,0.11,0.017,0.012,0.0027,0.0087,0.0031,0.031,0.0053,7.93,436.12,0.13,0.029,0.0032,0.0046,0.15,100.02,0.746,1.17,0.744,39.41,0.0615,0.132,0.0195,0.329,0.0484,0.00931,0.00627,0.00348,0.0548,0.028,0.00938,0.0662,0.00343,<0.00000,0.00432,0.00763,<0.00000,0.0179,0.00257,0.00876,0.00271,<0.00000,0.0197,0.00664,0.0136,0.00355,346,8795,65766,19885,14340,267,187279,864316,62320692,131,12,18,9,4,0,0,424,485,15,11,12,34,60,84,113794,20283546,445,376,3,0,7655
#169527,MF01,Mount Francisco,Pegmatite,MF01_04,119Sn,<72.57,4.03,1700.6,166.9,4389.06,0.146,2021.82,5305.09,741204.13,0.495,<0.0054,0.0123,0.0071,0.041,<0.0239,<0.0035,1.44,0.259,<0.0132,<0.0028,<0.0098,0.00159,0.0292,<0.00232,451.85,14064.62,10.07,0.0175,<0.0030,0.00193,11.86,29.95,0.42,134.56,14.26,423.46,0.022,102.74,277.93,28839.67,0.047,0.0023,0.0028,0.0024,0.017,0.0094,0.0013,0.072,0.012,0.0065,0.0013,0.0043,0.0008,0.008,0.00097,14.32,444.77,0.38,0.0049,0.0015,0.00085,0.39,72.57,0.537,0.865,0.562,27.99,0.0414,0.105,0.0186,0.232,0.031,0.00543,0.00401,0.00445,0.0342,0.0239,0.00346,0.0478,0.00207,0.0132,0.00285,0.00975,0.00129,0.00935,0.00232,0.0152,0.00283,0.0169,0.00971,0.003,0.00128,0.00117,0,1193,31204,46065,26931,76,542725,2660929,61007376,115,1,15,11,7,0,0,416,522,3,3,1,3,9,0,291398,29275860,2488,18,4,4,29819
#169527,MF01,Mount Francisco,Pegmatite,MF01_05,119Sn,<58.62,3.57,1313.65,122.28,3212.99,0.07,1406.81,3901.84,615863.06,0.506,<0.0059,0.0073,<0.0051,<0.037,<0.0235,<0.0039,1.273,0.2053,0.013,<0.0028,<0.0078,0.00213,<0.0184,0.00321,325.72,10497.7,8.6,0.15,0.0029,0.00112,8.16,23.92,0.36,103.95,10.45,310.06,0.018,71.49,204.42,23962.76,0.044,0.0026,0.0022,0.0022,0.015,0.0079,0.0017,0.061,0.0093,0.0058,0.0012,0.0033,0.00076,0.0075,0.0008,10.33,331.97,0.32,0.01,0.001,0.00046,0.27,58.62,0.426,0.659,0.44,23.1,0.0384,0.0744,0.0149,0.248,0.0176,0.00586,0.00372,0.00506,0.0369,0.0235,0.00394,0.0328,<0.00000,0.0106,0.00281,0.00784,0.00103,0.0184,<0.00000,0.0052,0.00161,<0.00000,0.0101,0.00139,<0.00000,0.00094,306,1286,29320,41052,23981,44,459354,2380601,61660156,143,4,11,4,1,0,0,448,503,6,2,0,5,0,8,255508,26579796,2584,191,5,3,24963
#169527,MF01,Mount Francisco,Pegmatite,MF01_06,119Sn,<61.97,3.9,1565.27,138.12,3777.54,0.125,1552.4,4831.46,650344.63,<0.193,<0.0057,0.0094,<0.0050,<0.031,<0.0223,<0.0076,1.193,0.2159,0.0153,0.00193,0.0167,<0.00152,0.0149,0.0053,339.42,10965.63,12.37,0.0173,<0.0025,<0.00107,9.04,25.66,0.4,123.85,11.8,364.48,0.018,78.89,253.12,25304.42,0.085,0.0024,0.0023,0.0021,0.015,0.0083,0.0025,0.06,0.0099,0.0073,0.00082,0.0058,0.00081,0.0057,0.0012,10.76,346.77,0.45,0.0045,0.0011,0.00048,0.3,61.97,0.449,0.747,0.467,24.59,0.0333,0.074,0.0155,0.236,0.193,0.00574,0.00335,0.00503,0.0313,0.0223,0.00765,0.0351,<0.00000,0.0143,0.00119,0.0105,0.00152,0.00781,0.00112,0.0054,0.00167,<0.00000,0.00844,0.00251,0.00107,0.00139,0,1324,32914,43687,26563,75,477559,2777186,61344340,0,1,13,0,4,0,0,395,499,6,4,10,3,5,13,250848,26157836,3501,20,1,0,26052
#169527,MF01,Mount Francisco,Pegmatite,MF01_07,119Sn,<60.56,3.57,1519.44,146.81,4014.28,0.091,1492.56,4806.3,620574.38,0.413,0.0067,0.0044,<0.0048,<0.055,<0.0142,<0.0065,1.096,0.1977,<0.0129,0.0029,<0.0067,<0.00,<0.0136,0.003,324.53,11495.37,14.26,<0.031,<0.0053,<0.00187,9.38,24.56,0.37,120.21,12.54,387.22,0.017,75.85,251.8,24146.05,0.039,0.0025,0.0016,0.002,0.019,0.007,0.0025,0.056,0.0091,0.0061,0.0011,0.0032,<0.00,0.006,0.0011,10.29,363.52,0.52,0.011,0.0019,0.00076,0.31,60.56,0.436,0.753,0.445,23.44,0.0358,0.0751,0.0221,0.176,0.0281,0.00501,0.00275,0.00483,0.0546,0.0142,0.00651,0.0437,0.00246,0.0129,0.00208,0.0067,0.00216,0.0136,0.00195,0.0128,0.00169,<0.00000,0.0306,0.00526,0.00187,0.00369,0,1286,33881,49243,29934,58,486907,2929724,62074596,117,9,6,2,0,3,0,385,484,4,7,2,0,1,7,254345,29079056,4282,0,0,0,28646
#169527,MF01,Mount Francisco,Pegmatite,MF01_09,119Sn,<88.95,4.44,2037.54,177.58,5024.42,0.127,2022.26,5836.09,877572.81,0.55,<0.0085,0.0079,0.0056,<0.046,<0.026,<0.0043,1.739,0.301,0.0071,<0.0025,<0.0099,0.0034,0.0276,<0.0029,465.8,14585.53,14.89,<0.0134,<0.0043,<0.00159,9.68,35.4,0.48,161.21,15.17,484.79,0.026,102.77,305.75,34145.69,0.051,0.0035,0.002,0.0019,0.019,0.01,0.0022,0.087,0.014,0.0034,0.0012,0.0036,0.0011,0.0087,0.0012,14.77,461.24,0.55,0.0057,0.0018,0.00081,0.32,88.95,0.646,0.954,0.681,35.22,0.0553,0.103,0.0272,0.28,<0.00000,0.0085,<0.00000,0.00318,0.0464,0.0256,0.00428,0.0643,0.00181,<0.00000,0.00249,0.00986,0.00159,0.0116,0.00287,<0.00000,<0.00000,<0.00000,0.0134,0.00429,0.00159,0.00205,0,1088,30891,40497,25473,55,448536,2418722,59683012,106,2,8,7,0,0,1,415,501,2,2,0,6,7,1,248204,25085740,3039,6,0,1,20099
#169527,MF01,Mount Francisco,Pegmatite,MF01_10,119Sn,<92.93,4.18,2012.85,155.21,4435.18,0.118,1919.41,5174.06,950578,0.604,0.0119,0.0177,<0.0057,<0.056,<0.031,<0.0077,1.815,0.305,0.0415,0.0032,<0.0162,<0.0023,<0.0120,0.003,444.88,13358.29,12.53,<0.0184,<0.0032,<0.0029,8.34,37.63,0.47,159.28,13.27,428.12,0.026,97.54,271.07,36986.31,0.056,0.004,0.0033,0.0025,0.023,0.013,0.0032,0.091,0.014,0.0086,0.0013,0.0065,0.0011,0.0052,0.0015,14.1,422.44,0.47,0.0075,0.0014,0.0011,0.28,92.93,0.683,0.993,0.694,36.39,0.0543,0.166,0.0186,0.48,<0.00000,0.00766,0.00298,0.00573,0.0558,0.0307,0.00772,0.0616,0.00326,<0.00000,0.00184,0.0162,0.00234,0.012,0.00299,0.00833,<0.00000,0.0307,0.0184,0.00316,0.00286,0.00302,0,983,29318,34005,21602,49,408996,2060092,62107824,111,11,17,2,0,1,0,417,488,12,5,0,2,0,5,227744,22072260,2457,2,0,0,16636
#169527,MF01,Mount Francisco,Pegmatite,MF01_11,119Sn,<104.11,4.45,2242.98,149.14,4524.72,0.174,2136.27,5619.03,1060523.75,0.703,<0.0116,<0.053,<0.0078,<0.054,0.054,<0.0050,2.14,0.351,<0.025,<0.0029,<0.0140,<0.0032,<0.0190,<0.0039,470.91,13005.13,13.76,<0.0161,<0.0061,<0.00,9.23,41.77,0.5,177.49,12.75,436.86,0.028,108.57,294.38,41264.27,0.065,0.0046,0.02,0.0034,0.021,0.013,0.0026,0.1,0.016,0.01,0.0015,0.0063,0.0014,0.0091,0.0016,14.93,411.27,0.52,0.0071,0.0021,<0.00,0.31,104.11,0.753,1.2,0.783,41.07,0.0527,0.138,0.227,0.349,0.0363,0.0116,0.0533,0.00783,0.0539,<0.00000,0.00498,0.0655,0.00297,0.0246,0.0029,0.014,0.0032,0.019,0.00385,0.00657,0.05,0.0543,0.0161,0.0061,<0.00000,0.00238,0,918,28623,28628,19308,63,398819,1960134,60708368,114,0,0,3,0,9,1,430,492,0,3,2,1,2,0,211208,18826962,2364,8,0,0,16142
#169527,MF01,Mount Francisco,Pegmatite,MF01_12,119Sn,<60.88,2.86,1406.33,122.16,3517.02,0.059,1480.8,3788.91,634656.19,0.456,<0.0055,0.0082,0.0029,<0.054,<0.0176,<0.0059,1.193,0.2193,0.0106,<0.00172,<0.01,0.00124,0.02,<0.00162,368.27,11204.02,7.89,<0.0083,<0.0030,0.00123,6.21,24.18,0.31,111.27,10.44,339.34,0.017,75.25,198.5,24693.97,0.041,0.0023,0.0024,0.0014,0.02,0.0074,0.0022,0.06,0.0098,0.0043,0.00063,<0.00,0.00065,0.0052,0.00068,11.67,354.31,0.3,0.0037,0.0012,0.00064,0.2,60.88,0.45,0.75,0.447,23.98,0.0375,0.0749,0.01,0.167,0.0187,0.00547,0.00441,0.00268,0.0538,0.0176,0.0059,0.0459,<0.00000,0.00651,0.00172,0.0096,0.0011,<0.00000,0.00162,<0.00000,<0.00000,<0.00000,0.00827,0.00295,0.00109,0.00141,0,1017,30970,40467,25900,37,477077,2280913,62695496,127,1,12,5,0,1,0,414,531,4,0,0,3,7,0,285045,27990378,2340,9,1,3,18725
